table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_all_r_d_expenditures,field_federal_government,field_state_and_local_government,field_business,field_nonprofit_organizations,field_all_other_sources
4575,r001,All FFRDCs,All FFRDCs,,,1,"['23,514,241', ' ']","['23,133,501', ' ']","['43,995', ' ']","['172,866', ' ']","['47,056', ' ']","['116,823', ' ']"
4575,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['7,003,132', ' ']","['6,867,741', ' ']","['15,445', ' ']","['47,427', ' ']","['19,034', ' ']","['53,485', ' ']"
4575,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['32,844', '']","['32,302', '']","['299', '']","['243', '']","['0', '']","['0', '']"
4575,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['859,658', '']","['840,237', '']","['0', '']","['14,882', '']","['381', '']","['4,158', '']"
4575,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['300,002', '']","['299,811', '']","['0', '']","['108', '']","['32', '']","['51', '']"
4575,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,638,412', '']","['2,638,412', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['916,082', '']","['862,965', '']","['10,791', '']","['22,342', '']","['4,857', '']","['15,127', '']"
4575,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,115,927', '']","['1,093,081', '']","['0', '']","['1,731', '']","['0', '']","['21,115', '']"
4575,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['188,484', '']","['175,316', '']","['0', '']","['4,920', '']","['8,248', '']","['0', '']"
4575,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['100,078', '']","['98,458', '']","['0', '']","['243', '']","['808', '']","['569', '']"
4575,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['16,892', '']","['16,472', '']","['0', '']","['0', '']","['0', '']","['420', '']"
4575,r012,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory,All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory,3,"['72,686', '']","['69,685', '']","['0', '']","['0', '']","['0', '']","['3,001', '']"
4575,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['107,662', '']","['103,856', '']","['0', '']","['87', '']","['0', '']","['3,719', '']"
4575,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['382,264', '']","['366,936', '']","['3,048', '']","['2,294', '']","['4,696', '']","['5,290', '']"
4575,r015,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['141,291', '']","['141,291', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r016,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['130,850', '']","['128,919', '']","['1,307', '']","['577', '']","['12', '']","['35', '']"
4575,r017,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['7,419,509', ' ']","['7,279,066', ' ']","['26,063', ' ']","['62,498', ' ']","['27,432', ' ']","['24,450', ' ']"
4575,r018,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['1,114,741', '']","['1,109,291', '']","['0', '']","['4,867', '']","['0', '']","['583', '']"
4575,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['35,248', '']","['35,248', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,"['595,466', '']","['569,925', '']","['17,174', '']","['4,482', '']","['404', '']","['3,481', '']"
4575,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"['180,634', '']","['163,497', '']","['97', '']","['4,175', '']","['1,126', '']","['11,739', '']"
4575,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"['67,072', '']","['67,072', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"['190,408', '']","['190,408', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"['95,874', '']","['95,874', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,"['6,762', '']","['6,359', '']","['53', '']","['311', '']","['16', '']","['23', '']"
4575,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"['228,162', '']","['228,162', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"['44,736', '']","['44,736', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"['136,874', '']","['135,713', '']","['248', '']","['14', '']","['385', '']","['514', '']"
4575,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering and Modernization Center,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering and Modernization Center,3,"['6,765', '']","['6,708', '']","['57', '']","['0', '']","['0', '']","['0', '']"
4575,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"['42,330', '']","['42,330', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"['23,557', '']","['23,557', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"['64,134', '']","['64,134', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,"['511,585', '']","['456,336', '']","['5,983', '']","['33,885', '']","['15,381', '']","['0', '']"
4575,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"['1,143,701', '']","['1,142,013', '']","['0', '']","['0', '']","['841', '']","['847', '']"
4575,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,"['1,632,684', '']","['1,616,580', '']","['232', '']","['8,943', '']","['1,756', '']","['5,173', '']"
4575,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,"['1,071,249', '']","['1,053,982', '']","['2,219', '']","['5,821', '']","['7,523', '']","['1,704', '']"
4575,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"['46,936', '']","['46,936', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,"['9,256', '']","['9,256', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"['171,335', '']","['170,949', '']","['0', '']","['0', '']","['0', '']","['386', '']"
4575,r040,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,"['9,091,600', ' ']","['8,986,694', ' ']","['2,487', ' ']","['62,941', ' ']","['590', ' ']","['38,888', ' ']"
4575,r041,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"['745,726', '']","['745,726', '']","['0', '']","['0', '']","['0', '']","['0', '']"
4575,r042,All FFRDCs -> Industry-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Industry-administered FFRDCs,Idaho National Laboratory,3,"['494,094', '']","['481,146', '']","['717', '']","['4,585', '']","['150', '']","['7,496', '']"
4575,r043,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,"['1,558,071', '']","['1,526,467', '']","['935', '']","['17,292', '']","['440', '']","['12,937', '']"
4575,r044,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,"['2,722,375', '']","['2,701,388', '']","['0', '']","['20,987', '']","['0', '']","['0', '']"
4575,r045,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,"['3,395,241', '']","['3,358,481', '']","['835', '']","['17,574', '']","['NA', '']","['18,351', '']"
4575,r046,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory,3,"['176,093', '']","['173,486', '']","['0', '']","['2,503', '']","['0', '']","['104', '']"
