table_id,row_id,_b_type_of_institution_b_full_path,_b_type_of_institution_b_level_1,_b_type_of_institution_b_level_2,_b_type_of_institution_b_level_3,_b_type_of_institution_b_hierarchy_depth,field_started_in_fy_2006_or_fy_2007,field_started_in_fy_2008_or_fy_2009,field_started_in_fy_2010_or_fy_2011,field_started_in_fy_2012_or_fy_2013,field_started_in_fy_2014_or_fy_2015,field_started_in_fy_2016_or_fy_2017,field_started_in_fy_2018_or_fy_2019,field_started_in_fy_2020_or_fy_2021,field_started_in_fy_2022_or_fy_2023
12855,r001,All institutions,All institutions,,,1,757.4,725.1,513.0,992.9,421.0,400.4,335.7,223.9,387.4
12855,r002,All institutions -> Doctorate granting,All institutions,Doctorate granting,,2,738.0,659.0,491.8,984.6,417.3,393.7,313.4,223.9,378.2
12855,r003,All institutions -> Doctorate granting -> Public,All institutions,Doctorate granting,Public,3,508.1,417.1,459.5,292.1,337.4,271.3,284.9,126.5,212.4
12855,r004,All institutions -> Doctorate granting -> Private,All institutions,Doctorate granting,Private,3,229.9,241.9,32.3,692.5,79.9,122.4,28.5,97.3,165.8
12855,r005,All institutions -> Nondoctorate granting,All institutions,Nondoctorate granting,,2,19.4,66.1,21.2,8.3,3.7,6.8,22.3,0.0,9.2
