table_id,row_id,time_period,column_level_1,column_level_2,column_level_3,column_hierarchy_depth,value
10316,r001,1967,Total,,,1,11898
10316,r002,1967,Intramural,Federal agenciesa,,2,1934
10316,r003,1967,Intramural,FFRDCs,,2,803
10316,r004,1967,Extramural,United States and U.S. territories,Businesses,3,8839
10316,r005,1967,Extramural,United States and U.S. territories,Higher educationb,3,142
10316,r006,1967,Extramural,United States and U.S. territories,Nonprofit organizations,3,151
10316,r007,1967,Extramural,United States and U.S. territories,State and local governments,3,10
10316,r008,1967,Extramural,Non-U.S. performers,,2,17
10316,r009,1968,Total,,,1,11140
10316,r010,1968,Intramural,Federal agenciesa,,2,1952
10316,r011,1968,Intramural,FFRDCs,,2,879
10316,r012,1968,Extramural,United States and U.S. territories,Businesses,3,7953
10316,r013,1968,Extramural,United States and U.S. territories,Higher educationb,3,186
10316,r014,1968,Extramural,United States and U.S. territories,Nonprofit organizations,3,143
10316,r015,1968,Extramural,United States and U.S. territories,State and local governments,3,18
10316,r016,1968,Extramural,Non-U.S. performers,,2,9
10316,r017,1969,Total,,,1,10996
10316,r018,1969,Intramural,Federal agenciesa,,2,1856
10316,r019,1969,Intramural,FFRDCs,,2,937
10316,r020,1969,Extramural,United States and U.S. territories,Businesses,3,7817
10316,r021,1969,Extramural,United States and U.S. territories,Higher educationb,3,207
10316,r022,1969,Extramural,United States and U.S. territories,Nonprofit organizations,3,143
10316,r023,1969,Extramural,United States and U.S. territories,State and local governments,3,27
10316,r024,1969,Extramural,Non-U.S. performers,,2,9
10316,r025,1970,Total,,,1,10438
10316,r026,1970,Intramural,Federal agenciesa,,2,2175
10316,r027,1970,Intramural,FFRDCs,,2,929
10316,r028,1970,Extramural,United States and U.S. territories,Businesses,3,6894
10316,r029,1970,Extramural,United States and U.S. territories,Higher educationb,3,199
10316,r030,1970,Extramural,United States and U.S. territories,Nonprofit organizations,3,214
10316,r031,1970,Extramural,United States and U.S. territories,State and local governments,3,16
10316,r032,1970,Extramural,Non-U.S. performers,,2,10
10316,r033,1971,Total,,,1,10419
10316,r034,1971,Intramural,Federal agenciesa,,2,2340
10316,r035,1971,Intramural,FFRDCs,,2,933
10316,r036,1971,Extramural,United States and U.S. territories,Businesses,3,6699
10316,r037,1971,Extramural,United States and U.S. territories,Higher educationb,3,214
10316,r038,1971,Extramural,United States and U.S. territories,Nonprofit organizations,3,177
10316,r039,1971,Extramural,United States and U.S. territories,State and local governments,3,45
10316,r040,1971,Extramural,Non-U.S. performers,,2,11
10316,r041,1972,Total,,,1,10948
10316,r042,1972,Intramural,Federal agenciesa,,2,2605
10316,r043,1972,Intramural,FFRDCs,,2,972
10316,r044,1972,Extramural,United States and U.S. territories,Businesses,3,6809
10316,r045,1972,Extramural,United States and U.S. territories,Higher educationb,3,261
10316,r046,1972,Extramural,United States and U.S. territories,Nonprofit organizations,3,173
10316,r047,1972,Extramural,United States and U.S. territories,State and local governments,3,113
10316,r048,1972,Extramural,Non-U.S. performers,,2,15
10316,r049,1973,Total,,,1,11219
10316,r050,1973,Intramural,Federal agenciesa,,2,2674
10316,r051,1973,Intramural,FFRDCs,,2,1017
10316,r052,1973,Extramural,United States and U.S. territories,Businesses,3,6844
10316,r053,1973,Extramural,United States and U.S. territories,Higher educationb,3,226
10316,r054,1973,Extramural,United States and U.S. territories,Nonprofit organizations,3,262
10316,r055,1973,Extramural,United States and U.S. territories,State and local governments,3,173
10316,r056,1973,Extramural,Non-U.S. performers,,2,24
10316,r057,1974,Total,,,1,11235
10316,r058,1974,Intramural,Federal agenciesa,,2,2641
10316,r059,1974,Intramural,FFRDCs,,2,1058
10316,r060,1974,Extramural,United States and U.S. territories,Businesses,3,6878
10316,r061,1974,Extramural,United States and U.S. territories,Higher educationb,3,256
10316,r062,1974,Extramural,United States and U.S. territories,Nonprofit organizations,3,258
10316,r063,1974,Extramural,United States and U.S. territories,State and local governments,3,123
10316,r064,1974,Extramural,Non-U.S. performers,,2,21
10316,r065,1975,Total,,,1,12309
10316,r066,1975,Intramural,Federal agenciesa,,2,2890
10316,r067,1975,Intramural,FFRDCs,,2,1233
10316,r068,1975,Extramural,United States and U.S. territories,Businesses,3,7413
10316,r069,1975,Extramural,United States and U.S. territories,Higher educationb,3,333
10316,r070,1975,Extramural,United States and U.S. territories,Nonprofit organizations,3,308
10316,r071,1975,Extramural,United States and U.S. territories,State and local governments,3,116
10316,r072,1975,Extramural,Non-U.S. performers,,2,17
10316,r073,1976,Total,,,1,13160
10316,r074,1976,Intramural,Federal agenciesa,,2,2890
10316,r075,1976,Intramural,FFRDCs,,2,1324
10316,r076,1976,Extramural,United States and U.S. territories,Businesses,3,8237
10316,r077,1976,Extramural,United States and U.S. territories,Higher educationb,3,302
10316,r078,1976,Extramural,United States and U.S. territories,Nonprofit organizations,3,273
10316,r079,1976,Extramural,United States and U.S. territories,State and local governments,3,112
10316,r080,1976,Extramural,Non-U.S. performers,,2,23
10316,r081,1977,Total,,,1,14936
10316,r082,1977,Intramural,Federal agenciesa,,2,3054
10316,r083,1977,Intramural,FFRDCs,,2,1772
10316,r084,1977,Extramural,United States and U.S. territories,Businesses,3,9350
10316,r085,1977,Extramural,United States and U.S. territories,Higher educationb,3,322
10316,r086,1977,Extramural,United States and U.S. territories,Nonprofit organizations,3,288
10316,r087,1977,Extramural,United States and U.S. territories,State and local governments,3,123
10316,r088,1977,Extramural,Non-U.S. performers,,2,28
10316,r089,1978,Total,,,1,16238
10316,r090,1978,Intramural,Federal agenciesa,,2,3590
10316,r091,1978,Intramural,FFRDCs,,2,1853
10316,r092,1978,Extramural,United States and U.S. territories,Businesses,3,9749
10316,r093,1978,Extramural,United States and U.S. territories,Higher educationb,3,447
10316,r094,1978,Extramural,United States and U.S. territories,Nonprofit organizations,3,407
10316,r095,1978,Extramural,United States and U.S. territories,State and local governments,3,140
10316,r096,1978,Extramural,Non-U.S. performers,,2,53
10316,r097,1979,Total,,,1,17610
10316,r098,1979,Intramural,Federal agenciesa,,2,3936
10316,r099,1979,Intramural,FFRDCs,,2,2056
10316,r100,1979,Extramural,United States and U.S. territories,Businesses,3,10410
10316,r101,1979,Extramural,United States and U.S. territories,Higher educationb,3,555
10316,r102,1979,Extramural,United States and U.S. territories,Nonprofit organizations,3,404
10316,r103,1979,Extramural,United States and U.S. territories,State and local governments,3,171
10316,r104,1979,Extramural,Non-U.S. performers,,2,77
10316,r105,1980,Total,,,1,18233
10316,r106,1980,Intramural,Federal agenciesa,,2,3966
10316,r107,1980,Intramural,FFRDCs,,2,2149
10316,r108,1980,Extramural,United States and U.S. territories,Businesses,3,10892
10316,r109,1980,Extramural,United States and U.S. territories,Higher educationb,3,564
10316,r110,1980,Extramural,United States and U.S. territories,Nonprofit organizations,3,427
10316,r111,1980,Extramural,United States and U.S. territories,State and local governments,3,115
10316,r112,1980,Extramural,Non-U.S. performers,,2,120
10316,r113,1981,Total,,,1,20891
10316,r114,1981,Intramural,Federal agenciesa,,2,4392
10316,r115,1981,Intramural,FFRDCs,,2,2370
10316,r116,1981,Extramural,United States and U.S. territories,Businesses,3,12910
10316,r117,1981,Extramural,United States and U.S. territories,Higher educationb,3,546
10316,r118,1981,Extramural,United States and U.S. territories,Nonprofit organizations,3,364
10316,r119,1981,Extramural,United States and U.S. territories,State and local governments,3,93
10316,r120,1981,Extramural,Non-U.S. performers,,2,217
10316,r121,1982,Total,,,1,23410
10316,r122,1982,Intramural,Federal agenciesa,,2,4947
10316,r123,1982,Intramural,FFRDCs,,2,2355
10316,r124,1982,Extramural,United States and U.S. territories,Businesses,3,15036
10316,r125,1982,Extramural,United States and U.S. territories,Higher educationb,3,560
10316,r126,1982,Extramural,United States and U.S. territories,Nonprofit organizations,3,348
10316,r127,1982,Extramural,United States and U.S. territories,State and local governments,3,58
10316,r128,1982,Extramural,Non-U.S. performers,,2,106
10316,r129,1983,Total,,,1,24458
10316,r130,1983,Intramural,Federal agenciesa,,2,5872
10316,r131,1983,Intramural,FFRDCs,,2,2618
10316,r132,1983,Extramural,United States and U.S. territories,Businesses,3,14906
10316,r133,1983,Extramural,United States and U.S. territories,Higher educationb,3,498
10316,r134,1983,Extramural,United States and U.S. territories,Nonprofit organizations,3,405
10316,r135,1983,Extramural,United States and U.S. territories,State and local governments,3,49
10316,r136,1983,Extramural,Non-U.S. performers,,2,110
10316,r137,1984,Total,,,1,27246
10316,r138,1984,Intramural,Federal agenciesa,,2,6808
10316,r139,1984,Intramural,FFRDCs,,2,2772
10316,r140,1984,Extramural,United States and U.S. territories,Businesses,3,16473
10316,r141,1984,Extramural,United States and U.S. territories,Higher educationb,3,517
10316,r142,1984,Extramural,United States and U.S. territories,Nonprofit organizations,3,575
10316,r143,1984,Extramural,United States and U.S. territories,State and local governments,3,43
10316,r144,1984,Extramural,Non-U.S. performers,,2,59
10316,r145,1985,Total,,,1,32226
10316,r146,1985,Intramural,Federal agenciesa,,2,7889
10316,r147,1985,Intramural,FFRDCs,,2,3292
10316,r148,1985,Extramural,United States and U.S. territories,Businesses,3,19630
10316,r149,1985,Extramural,United States and U.S. territories,Higher educationb,3,613
10316,r150,1985,Extramural,United States and U.S. territories,Nonprofit organizations,3,654
10316,r151,1985,Extramural,United States and U.S. territories,State and local governments,3,40
10316,r152,1985,Extramural,Non-U.S. performers,,2,107
10316,r153,1986,Total,,,1,34910
10316,r154,1986,Intramural,Federal agenciesa,,2,8375
10316,r155,1986,Intramural,FFRDCs,,2,3154
10316,r156,1986,Extramural,United States and U.S. territories,Businesses,3,21921
10316,r157,1986,Extramural,United States and U.S. territories,Higher educationb,3,675
10316,r158,1986,Extramural,United States and U.S. territories,Nonprofit organizations,3,614
10316,r159,1986,Extramural,United States and U.S. territories,State and local governments,3,37
10316,r160,1986,Extramural,Non-U.S. performers,,2,134
10316,r161,1987,Total,,,1,37313
10316,r162,1987,Intramural,Federal agenciesa,,2,7975
10316,r163,1987,Intramural,FFRDCs,,2,3586
10316,r164,1987,Extramural,United States and U.S. territories,Businesses,3,24320
10316,r165,1987,Extramural,United States and U.S. territories,Higher educationb,3,697
10316,r166,1987,Extramural,United States and U.S. territories,Nonprofit organizations,3,504
