table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
2085,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['10,557', '  ']","['740', '  ']","['526', '  ']","['28', '  ']","['149', '  ']","['65', '  ']"
2085,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['7,316', '  ']","['436', '  ']","['342', '  ']","['22', '  ']","['59', '  ']","['36', '  ']"
2085,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['572', '  ']","['12', '  ']","['9', '  ']","['*', '  ']","['2', 'i ']","['1', 'i ']"
2085,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['415', '  ']","['3', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2085,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['133', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2085,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['5', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['*', '  ']"
2085,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['151', '  ']","['4', '  ']","['3', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2085,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['72', '  ']","['*', '  ']","['*', 'i ']","['0', '  ']","['*', '  ']","['*', '  ']"
2085,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['9', '  ']","['1', '  ']","['*', '  ']","['*', 'i ']","['*', '  ']","['*', '  ']"
2085,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['977', '  ']","['70', '  ']","['45', '  ']","['8', '  ']","['13', '  ']","['12', '  ']"
2085,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['127', '  ']","['7', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2085,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['68', '  ']","['3', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2085,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['30', '  ']","['2', '  ']","['1', '  ']","['*', 'i ']","['*', '  ']","['*', '  ']"
2085,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['371', '  ']","['43', '  ']","['27', '  ']","['6', '  ']","['7', '  ']","['9', '  ']"
2085,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['236', '  ']","['6', '  ']","['5', '  ']","['1', '  ']","['*', '  ']","['1', '  ']"
2085,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['146', '  ']","['9', '  ']","['6', '  ']","['*', '  ']","['2', '  ']","['1', '  ']"
2085,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['201', '  ']","['7', '  ']","['4', '  ']","['1', '  ']","['2', '  ']","['1', '  ']"
2085,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['62', '  ']","['2', '  ']","['1', 'i ']","['*', 'i ']","['1', '  ']","['*', '  ']"
2085,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['105', '  ']","['2', '  ']","['2', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2085,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['130', '  ']","['4', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2085,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['716', '  ']","['35', '  ']","['29', '  ']","['1', '  ']","['5', '  ']","['2', '  ']"
2085,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['55', '  ']","['5', '  ']","['4', '  ']","['*', '  ']","['1', '  ']","['*', '  ']"
2085,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['47', '  ']","['6', '  ']","['6', '  ']","['1', '  ']","['*', '  ']","['*', '  ']"
2085,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['72', '  ']","['5', '  ']","['4', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
2085,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['542', '  ']","['19', '  ']","['14', '  ']","['1', 'i ']","['3', 'i ']","['1', 'i ']"
2085,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['1,355', '  ']","['160', '  ']","['134', 'i ']","['6', 'i ']","['13', 'i ']","['13', 'i ']"
2085,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['118', '  ']","['30', '  ']","['26', '  ']","['*', 'i ']","['1', '  ']","['2', '  ']"
2085,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['427', '  ']","['60', '  ']","['55', 'i ']","['2', 'i ']","['3', 'i ']","['2', 'i ']"
2085,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['393', '  ']","['32', '  ']","['23', '  ']","['3', '  ']","['5', 'i ']","['3', 'i ']"
2085,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['69', '  ']","['7', '  ']","['4', 'i ']","['1', 'i ']","['2', 'i ']","['1', 'i ']"
2085,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['109', 'i ']","['6', '  ']","['5', 'i ']","['*', '  ']","['1', '  ']","['1', 'i ']"
2085,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['215', '  ']","['19', '  ']","['15', '  ']","['2', '  ']","['3', '  ']","['1', '  ']"
2085,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['417', '  ']","['38', '  ']","['29', 'i ']","['1', 'i ']","['4', 'i ']","['6', 'i ']"
2085,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['566', '  ']","['31', '  ']","['26', 'i ']","['*', 'i ']","['4', 'i ']","['1', '  ']"
2085,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,292', '  ']","['81', '  ']","['67', '  ']","['2', 'i ']","['11', '  ']","['3', '  ']"
2085,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['893', '  ']","['40', '  ']","['31', '  ']","['2', 'i ']","['7', '  ']","['2', '  ']"
2085,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['353', '  ']","['40', '  ']","['35', '  ']","['1', '  ']","['4', '  ']","['1', '  ']"
2085,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['340', '  ']","['40', '  ']","['35', '  ']","['1', '  ']","['4', '  ']","['1', '  ']"
