table_id,row_id,_b_capitalization_thresholds_b_full_path,_b_capitalization_thresholds_b_level_1,_b_capitalization_thresholds_b_level_2,_b_capitalization_thresholds_b_hierarchy_depth,field_all_institutions,field_highest_degree_granted_doctorate,field_highest_degree_granted_nondoctorate,field_institutional_control_public,field_institutional_control_private
7940,r001,Equipment,Equipment,,1,,,,,
7940,r002,Equipment -> Do not capitalize,Equipment,Do not capitalize,2,11,6,5,6,5
7940,r003,Equipment -> 500,Equipment,500,2,2,2,0,0,2
7940,r004,"Equipment -> 1,000",Equipment,"1,000",2,11,7,4,2,9
7940,r005,"Equipment -> 1,500",Equipment,"1,500",2,1,1,0,0,1
7940,r006,"Equipment -> 2,000",Equipment,"2,000",2,8,3,5,1,7
7940,r007,"Equipment -> 2,500",Equipment,"2,500",2,8,6,2,1,7
7940,r008,"Equipment -> 3,000",Equipment,"3,000",2,14,12,2,1,13
7940,r009,"Equipment -> 3,500",Equipment,"3,500",2,1,1,0,1,0
7940,r010,"Equipment -> 4,000",Equipment,"4,000",2,1,0,1,0,1
7940,r011,"Equipment -> 5,000",Equipment,"5,000",2,529,415,114,377,152
7940,r012,"Equipment -> 6,000",Equipment,"6,000",2,1,0,1,1,0
7940,r013,"Equipment -> 10,000",Equipment,"10,000",2,12,8,4,2,10
7940,r014,"Equipment -> 15,000",Equipment,"15,000",2,1,0,1,0,1
7940,r015,"Equipment -> 25,000",Equipment,"25,000",2,6,1,5,0,6
7940,r016,"Equipment -> 50,000",Equipment,"50,000",2,1,1,0,0,1
7940,r017,"Equipment -> 100,000",Equipment,"100,000",2,1,0,1,1,0
7940,r018,"Equipment -> 250,000",Equipment,"250,000",2,4,2,2,4,0
7940,r019,Software,Software,,1,,,,,
7940,r020,Software -> Do not capitalize,Software,Do not capitalize,2,96,67,29,59,37
7940,r021,Software -> 500,Software,500,2,2,1,1,0,2
7940,r022,"Software -> 1,000",Software,"1,000",2,10,6,4,3,7
7940,r023,"Software -> 1,500",Software,"1,500",2,1,1,0,0,1
7940,r024,"Software -> 2,000",Software,"2,000",2,5,2,3,0,5
7940,r025,"Software -> 2,500",Software,"2,500",2,3,3,0,0,3
7940,r026,"Software -> 3,000",Software,"3,000",2,13,10,3,3,10
7940,r027,"Software -> 4,000",Software,"4,000",2,1,0,1,0,1
7940,r028,"Software -> 5,000",Software,"5,000",2,267,199,68,164,103
7940,r029,"Software -> 10,000",Software,"10,000",2,19,11,8,6,13
7940,r030,"Software -> 15,000",Software,"15,000",2,1,0,1,0,1
7940,r031,"Software -> 20,000",Software,"20,000",2,1,0,1,0,1
7940,r032,"Software -> 25,000",Software,"25,000",2,13,8,5,4,9
7940,r033,"Software -> 50,000",Software,"50,000",2,12,12,0,6,6
7940,r034,"Software -> 75,000",Software,"75,000",2,2,2,0,1,1
7940,r035,"Software -> 100,000",Software,"100,000",2,96,82,14,89,7
7940,r036,"Software -> 140,000",Software,"140,000",2,1,1,0,1,0
7940,r037,"Software -> 200,000",Software,"200,000",2,3,3,0,3,0
7940,r038,"Software -> 250,000",Software,"250,000",2,17,14,3,14,3
7940,r039,"Software -> 300,000",Software,"300,000",2,1,1,0,0,1
7940,r040,"Software -> 400,000",Software,"400,000",2,3,3,0,3,0
7940,r041,"Software -> 500,000",Software,"500,000",2,17,16,1,15,2
7940,r042,"Software -> 1,000,000",Software,"1,000,000",2,23,18,5,22,1
7940,r043,"Software -> 4,000,000",Software,"4,000,000",2,2,2,0,2,0
7940,r044,"Software -> 5,000,000",Software,"5,000,000",2,1,1,0,1,0
