table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed
1700,r001,All functions conducting R&D,All functions conducting R&D,,1,4.5,4.5,4.4
1700,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,9.5,9.7,9.9
1700,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,6.3,6.5,5.6
1700,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,88.2,89.1,88.1
1700,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,52.4,50.5,52.5
1700,r006,All functions conducting R&D -> Energy<sup>b</sup>,All functions conducting R&D,Energy<sup>b</sup>,2,70.5,71.9,-61.4
1700,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,4.2,6.1,4.7
1700,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,15.6,6.7,10.6
1700,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,1.5,1.6,1.8
1700,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,0.7,0.7,0.6
1700,r011,All functions conducting R&D -> Commerce and housing credit<sup>c</sup>,All functions conducting R&D,Commerce and housing credit<sup>c</sup>,2,10.3,43.3,16.5
1700,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,1.0,1.1,0.7
1700,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.6,0.4,0.5
1700,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.3,0.3,0.2
1700,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.05,0.05,0.05
1700,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.1,0.6,0.5
1700,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.05
