table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10430,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,85299,99395,102280,16.5,2.9
10430,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,78794,92319,95077,17.2,3.0
10430,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,,,,3,75730,91243,93861,20.5,2.9
10430,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,,4,21464,24046,24078,12.0,0.1
10430,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,,5,3868,4061,4388,5.0,8.1
10430,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,,5,7266,8293,8721,14.1,5.2
10430,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,,5,10330,11692,10968,13.2,-6.2
10430,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,,4,18446,21194,22736,14.9,7.3
10430,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,,4,5948,10032,11589,68.7,15.5
10430,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,,4,13136,15767,14586,20.0,-7.5
10430,r011,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Navy",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Navy,,,4,16460,19758,20540,20.0,4.0
10430,r012,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Operational Test and Evaluation",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Operational Test and Evaluation,,,4,277,446,331,61.3,-25.7
10430,r013,"R&D and R&D plant -> Department of Defense, military (051) -> Other military funding<sup>a</sup>",R&D and R&D plant,"Department of Defense, military (051)",Other military funding<sup>a</sup>,,,,3,3064,1076,1216,-64.9,13.0
10430,r014,R&D and R&D plant -> Atomic energy defense activities (053),R&D and R&D plant,Atomic energy defense activities (053),,,,,2,6493,7067,7199,8.8,1.9
10430,r015,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,,,,3,6493,7067,7199,8.8,1.9
10430,r016,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Defense environmental cleanup,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Defense environmental cleanup,,,4,33,43,33,30.3,-23.3
10430,r017,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Naval reactors development,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Naval reactors development,,,4,1382,1418,1207,2.6,-14.9
10430,r018,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Nonproliferation,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Nonproliferation,,,4,517,545,533,5.4,-2.2
10430,r019,R&D and R&D plant -> Atomic energy defense activities (053) -> Department of Energy -> Weapons activities,R&D and R&D plant,Atomic energy defense activities (053),Department of Energy,Weapons activities,,,4,4561,5061,5426,11.0,7.2
10430,r020,R&D and R&D plant -> Defense-related activities (054),R&D and R&D plant,Defense-related activities (054),,,,,2,12,9,4,-25.0,-55.6
10430,r021,"R&D and R&D plant -> Defense-related activities (054) -> Department of Justice, Federal Bureau of Investigation",R&D and R&D plant,Defense-related activities (054),"Department of Justice, Federal Bureau of Investigation",,,,3,2,2,2,0.0,0.0
10430,r022,"R&D and R&D plant -> Defense-related activities (054) -> Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",R&D and R&D plant,Defense-related activities (054),"Department of Homeland Security, Cybersecurity and Infrastructure Security Agency",,,,3,10,7,2,-30.0,-71.4
10430,r023,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,83857,97765,100400,16.6,2.7
10430,r024,"R&D and R&D plant -> R&D -> Department of Defense, military (051)",R&D and R&D plant,R&D,"Department of Defense, military (051)",,,,3,78774,92319,94825,17.2,.2.7
10430,r025,"R&D and R&D plant -> R&D -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,R&D,"Department of Defense, military (051)",R&D within RDT&E accounts,,,4,75730,91243,93861,20.5,2.9
