table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed
3363,r001,All functions conducting R&D,All functions conducting R&D,,1,3.4,3.6,3.3
3363,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,9.7,10.7,10.1
3363,r003,All functions conducting R&D -> Health<sup>b</sup>,All functions conducting R&D,Health<sup>b</sup>,2,6.4,6.5,5.8
3363,r004,All functions conducting R&D -> General science and basic research,All functions conducting R&D,General science and basic research,2,88.5,89.0,88.1
3363,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,48.8,61.9,52.0
3363,r006,All functions conducting R&D -> Energy<sup>c</sup>,All functions conducting R&D,Energy<sup>c</sup>,2,65.6,67.9,-106.3
3363,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,6.1,5.8,5.0
3363,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,6.5,6.3,8.6
3363,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,1.5,1.7,1.2
3363,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,0.7,0.6,0.6
3363,r011,All functions conducting R&D -> Commerce and housing credit,All functions conducting R&D,Commerce and housing credit,2,14.4,4.3,6.3
3363,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,0.9,0.8,0.6
3363,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.4,0.3,0.5
3363,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.3,0.4,0.1
3363,r015,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.5,0.5,1.1
3363,r016,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.05,0.05,0.05
3363,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.05
