table_id,row_id,it_function,companies_number_,in_use_primarily_cloud_based,in_use_but_not_cloud_based,not_in_use,don_t_know,did_not_answer
9018,r001,Security or firewall,"['3,673,038', '&nbsp;']","['23.0', '&nbsp;']","['22.5', '&nbsp;']","['35.3', '&nbsp;']","['19.0', '&nbsp;']","['0.2', '&nbsp;']"
9018,r002,Servers,"['3,673,038', '&nbsp;']","['18.9', '&nbsp;']","['17.7', '&nbsp;']","['44.7', '&nbsp;']","['18.5', '&nbsp;']","['0.3', '&nbsp;']"
9018,r003,"Data storage and management (examples: Amazon Web Services, IBM Bluemix, Microsoft Azure)","['3,673,038', '&nbsp;']","['20.6', '&nbsp;']","['11.1', '&nbsp;']","['49.4', '&nbsp;']","['18.7', '&nbsp;']","['0.3', '&nbsp;']"
9018,r004,"Collaboration and file synchronization (examples: Dropbox, OneDrive, Google Drive)","['3,673,038', '&nbsp;']","['29.8', '&nbsp;']","['8.6', '&nbsp;']","['43.7', '&nbsp;']","['17.6', '&nbsp;']","['0.3', '&nbsp;']"
9018,r005,Data analysis,"['3,673,038', '&nbsp;']","['11.9', '&nbsp;']","['12.0', '&nbsp;']","['55.3', '&nbsp;']","['20.5', '&nbsp;']","['0.3', '&nbsp;']"
9018,r006,Billing and account management,"['3,673,038', '&nbsp;']","['21.3', '&nbsp;']","['28.0', '&nbsp;']","['35.0', '&nbsp;']","['15.5', '&nbsp;']","['0.3', '&nbsp;']"
9018,r007,Customer relationship management,"['3,673,038', '&nbsp;']","['14.2', '&nbsp;']","['14.8', '&nbsp;']","['52.0', '&nbsp;']","['18.7', '&nbsp;']","['0.3', '&nbsp;']"
9018,r008,Other,"['3,673,038', '&nbsp;']","['2.5', '&nbsp;']","['2.2', '&nbsp;']","['51.1', '&nbsp;']","['43.0', '&nbsp;']","['1.1', '&nbsp;']"
