table_id,row_id,_b_type_of_r_d_performer_and_field_b_full_path,_b_type_of_r_d_performer_and_field_b_level_1,_b_type_of_r_d_performer_and_field_b_level_2,_b_type_of_r_d_performer_and_field_b_level_3,_b_type_of_r_d_performer_and_field_b_level_4,_b_type_of_r_d_performer_and_field_b_level_5,_b_type_of_r_d_performer_and_field_b_level_6,_b_type_of_r_d_performer_and_field_b_hierarchy_depth,field_2020,field_2021,field_preliminary_2022,field_preliminary_change_2021_22
10230,r001,Outlays for R&D and R&D plant,Outlays for R&D and R&D plant,,,,,,1,149706,178334,183632,3.0
10230,r002,Outlays for R&D and R&D plant -> R&D,Outlays for R&D and R&D plant,R&D,,,,,2,144920,174529,179316,2.7
10230,r003,Outlays for R&D and R&D plant -> R&D plant,Outlays for R&D and R&D plant,R&D plant,,,,,2,4786,3805,4316,13.4
10230,r004,Obligations for R&D and R&D plant,Obligations for R&D and R&D plant,,,,,,1,173553,194434,193551,-0.5
10230,r005,Obligations for R&D and R&D plant -> R&D,Obligations for R&D and R&D plant,R&D,,,,,2,167403,190151,189059,-0.6
10230,r006,Obligations for R&D and R&D plant -> R&D -> Performer,Obligations for R&D and R&D plant,R&D,Performer,,,,3,,,,
10230,r007,Obligations for R&D and R&D plant -> R&D -> Performer -> Federal agencies<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Performer,Federal agencies<sup>a</sup>,,,4,51472,71665,69232,-3.4
10230,r008,Obligations for R&D and R&D plant -> R&D -> Performer -> FFRDCs,Obligations for R&D and R&D plant,R&D,Performer,FFRDCs,,,4,13150,14791,15162,2.5
10230,r009,Obligations for R&D and R&D plant -> R&D -> Performer -> Businesses,Obligations for R&D and R&D plant,R&D,Performer,Businesses,,,4,51428,50225,50762,1.1
10230,r010,Obligations for R&D and R&D plant -> R&D -> Performer -> Higher education<sup>b</sup>,Obligations for R&D and R&D plant,R&D,Performer,Higher education<sup>b</sup>,,,4,38541,39766,40458,1.7
