table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
4387,r001_1,<b>na</b>,2019 OCC,,1,na
4387,r001_2,<b>na</b>,Detailed occupations,,1,"Total, all employed adults, ages 16–75, not employed in military occupations"
4387,r001_3,<b>na</b>,"Total, all employed adults",Total,2,155423256
4387,r001_4,<b>na</b>,"Total, all employed adults",No bachelor's degree,2,98895016
4387,r001_5,<b>na</b>,"Total, all employed adults",Bachelor's degree or higher ,2,56528240
4387,r001_6,<b>na</b>,STEM,STEM total,2,36094305
4387,r001_7,<b>na</b>,STEM,"STEM, no bachelor's degree (STW)",2,19853466
4387,r001_8,<b>na</b>,STEM,"STEM, bachelor's degree or higher ",2,16240839
4387,r001_9,<b>na</b>,Non-STEM,Non-STEM total,2,119328951
4387,r001_10,<b>na</b>,Non-STEM,"Non-STEM, no bachelor's degree",2,79041550
4387,r001_11,<b>na</b>,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,40287401
4387,r002_1,<b>na</b>,2019 OCC,,1,na
4387,r002_2,<b>na</b>,Detailed occupations,,1,Architecture and engineering occupations
4387,r002_3,<b>na</b>,"Total, all employed adults",Total,2,3289722
4387,r002_4,<b>na</b>,"Total, all employed adults",No bachelor's degree,2,1007416
4387,r002_5,<b>na</b>,"Total, all employed adults",Bachelor's degree or higher ,2,2282306
4387,r002_6,<b>na</b>,STEM,STEM total,2,3289722
4387,r002_7,<b>na</b>,STEM,"STEM, no bachelor's degree (STW)",2,1007416
4387,r002_8,<b>na</b>,STEM,"STEM, bachelor's degree or higher ",2,2282306
4387,r002_9,<b>na</b>,Non-STEM,Non-STEM total,2,na
4387,r002_10,<b>na</b>,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r002_11,<b>na</b>,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r003_1,S&E-related,2019 OCC,,1,1305
4387,r003_2,S&E-related,Detailed occupations,,1,"Architects, except landscape and naval"
4387,r003_3,S&E-related,"Total, all employed adults",Total,2,204781
4387,r003_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,18129
4387,r003_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,186652
4387,r003_6,S&E-related,STEM,STEM total,2,204781
4387,r003_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,18129
4387,r003_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,186652
4387,r003_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r003_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r003_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r004_1,S&E-related,2019 OCC,,1,1306
4387,r004_2,S&E-related,Detailed occupations,,1,Landscape architects
4387,r004_3,S&E-related,"Total, all employed adults",Total,2,32308
4387,r004_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,4999
4387,r004_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,27309
4387,r004_6,S&E-related,STEM,STEM total,2,32308
4387,r004_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,4999
4387,r004_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,27309
4387,r004_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r004_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r004_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r005_1,S&E-related,2019 OCC,,1,1310
4387,r005_2,S&E-related,Detailed occupations,,1,"Surveyors, cartographers, and photogrammetrists"
4387,r005_3,S&E-related,"Total, all employed adults",Total,2,38655
4387,r005_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,10662
4387,r005_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,27993
4387,r005_6,S&E-related,STEM,STEM total,2,38655
4387,r005_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,10662
4387,r005_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,27993
4387,r005_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r005_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r005_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r006_1,S&E,2019 OCC,,1,1320
4387,r006_2,S&E,Detailed occupations,,1,Aerospace engineers
4387,r006_3,S&E,"Total, all employed adults",Total,2,134130
4387,r006_4,S&E,"Total, all employed adults",No bachelor's degree,2,14746
4387,r006_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,119384
4387,r006_6,S&E,STEM,STEM total,2,134130
4387,r006_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,14746
4387,r006_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,119384
4387,r006_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r006_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r006_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r007_1,S&E,2019 OCC,,1,1340
4387,r007_2,S&E,Detailed occupations,,1,Biomedical and agricultural engineers
4387,r007_3,S&E,"Total, all employed adults",Total,2,19041
4387,r007_4,S&E,"Total, all employed adults",No bachelor's degree,2,3325
4387,r007_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,15716
4387,r007_6,S&E,STEM,STEM total,2,19041
4387,r007_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,3325
4387,r007_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,15716
4387,r007_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r007_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r007_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r008_1,S&E,2019 OCC,,1,1350
4387,r008_2,S&E,Detailed occupations,,1,Chemical engineers
4387,r008_3,S&E,"Total, all employed adults",Total,2,75494
4387,r008_4,S&E,"Total, all employed adults",No bachelor's degree,2,9397
4387,r008_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,66097
4387,r008_6,S&E,STEM,STEM total,2,75494
4387,r008_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,9397
4387,r008_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,66097
4387,r008_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r008_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r008_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r009_1,S&E,2019 OCC,,1,1360
4387,r009_2,S&E,Detailed occupations,,1,Civil engineers
4387,r009_3,S&E,"Total, all employed adults",Total,2,417287
4387,r009_4,S&E,"Total, all employed adults",No bachelor's degree,2,50802
4387,r009_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,366485
4387,r009_6,S&E,STEM,STEM total,2,417287
4387,r009_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,50802
4387,r009_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,366485
4387,r009_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r009_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r009_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r010_1,S&E,2019 OCC,,1,1400
4387,r010_2,S&E,Detailed occupations,,1,Computer hardware engineers
4387,r010_3,S&E,"Total, all employed adults",Total,2,61250
4387,r010_4,S&E,"Total, all employed adults",No bachelor's degree,2,12968
4387,r010_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,48282
4387,r010_6,S&E,STEM,STEM total,2,61250
4387,r010_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,12968
4387,r010_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,48282
4387,r010_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r010_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r010_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r011_1,S&E,2019 OCC,,1,1410
4387,r011_2,S&E,Detailed occupations,,1,Electrical and electronics engineers
4387,r011_3,S&E,"Total, all employed adults",Total,2,258884
4387,r011_4,S&E,"Total, all employed adults",No bachelor's degree,2,42004
4387,r011_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,216880
4387,r011_6,S&E,STEM,STEM total,2,258884
4387,r011_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,42004
4387,r011_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,216880
4387,r011_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r011_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r011_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r012_1,S&E,2019 OCC,,1,1420
4387,r012_2,S&E,Detailed occupations,,1,Environmental engineers
4387,r012_3,S&E,"Total, all employed adults",Total,2,30504
4387,r012_4,S&E,"Total, all employed adults",No bachelor's degree,2,3017
4387,r012_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,27487
4387,r012_6,S&E,STEM,STEM total,2,30504
4387,r012_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,3017
4387,r012_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,27487
4387,r012_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r012_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r012_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r013_1,S&E,2019 OCC,,1,1430
4387,r013_2,S&E,Detailed occupations,,1,"Industrial engineers, including health and safety"
4387,r013_3,S&E,"Total, all employed adults",Total,2,254929
4387,r013_4,S&E,"Total, all employed adults",No bachelor's degree,2,65381
4387,r013_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,189548
4387,r013_6,S&E,STEM,STEM total,2,254929
4387,r013_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,65381
4387,r013_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,189548
4387,r013_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r013_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r013_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r014_1,S&E,2019 OCC,,1,1440
4387,r014_2,S&E,Detailed occupations,,1,Marine engineers and naval architects
4387,r014_3,S&E,"Total, all employed adults",Total,2,12676
4387,r014_4,S&E,"Total, all employed adults",No bachelor's degree,2,3725
4387,r014_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,8951
4387,r014_6,S&E,STEM,STEM total,2,12676
4387,r014_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,3725
4387,r014_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,8951
4387,r014_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r014_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r014_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r015_1,S&E,2019 OCC,,1,1450
4387,r015_2,S&E,Detailed occupations,,1,Materials engineers
4387,r015_3,S&E,"Total, all employed adults",Total,2,50967
4387,r015_4,S&E,"Total, all employed adults",No bachelor's degree,2,11598
4387,r015_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,39369
4387,r015_6,S&E,STEM,STEM total,2,50967
4387,r015_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,11598
4387,r015_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,39369
4387,r015_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r015_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r015_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r016_1,S&E,2019 OCC,,1,1460
4387,r016_2,S&E,Detailed occupations,,1,Mechanical engineers
4387,r016_3,S&E,"Total, all employed adults",Total,2,332721
4387,r016_4,S&E,"Total, all employed adults",No bachelor's degree,2,64104
4387,r016_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,268617
4387,r016_6,S&E,STEM,STEM total,2,332721
4387,r016_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,64104
4387,r016_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,268617
4387,r016_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r016_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r016_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r017_1,S&E,2019 OCC,,1,1520
4387,r017_2,S&E,Detailed occupations,,1,"Petroleum, mining, and geological engineers, including mining safety engineers"
4387,r017_3,S&E,"Total, all employed adults",Total,2,36704
4387,r017_4,S&E,"Total, all employed adults",No bachelor's degree,2,5286
4387,r017_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,31418
4387,r017_6,S&E,STEM,STEM total,2,36704
4387,r017_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,5286
4387,r017_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,31418
4387,r017_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r017_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r017_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r018_1,S&E,2019 OCC,,1,1530
4387,r018_2,S&E,Detailed occupations,,1,Other engineers
4387,r018_3,S&E,"Total, all employed adults",Total,2,601601
4387,r018_4,S&E,"Total, all employed adults",No bachelor's degree,2,109624
4387,r018_5,S&E,"Total, all employed adults",Bachelor's degree or higher ,2,491977
4387,r018_6,S&E,STEM,STEM total,2,601601
4387,r018_7,S&E,STEM,"STEM, no bachelor's degree (STW)",2,109624
4387,r018_8,S&E,STEM,"STEM, bachelor's degree or higher ",2,491977
4387,r018_9,S&E,Non-STEM,Non-STEM total,2,na
4387,r018_10,S&E,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r018_11,S&E,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r019_1,S&E-related,2019 OCC,,1,1541
4387,r019_2,S&E-related,Detailed occupations,,1,Architectural and civil drafters
4387,r019_3,S&E-related,"Total, all employed adults",Total,2,53913
4387,r019_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,35557
4387,r019_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,18356
4387,r019_6,S&E-related,STEM,STEM total,2,53913
4387,r019_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,35557
4387,r019_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,18356
4387,r019_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r019_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r019_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r020_1,S&E-related,2019 OCC,,1,1545
4387,r020_2,S&E-related,Detailed occupations,,1,Other drafters
4387,r020_3,S&E-related,"Total, all employed adults",Total,2,95332
4387,r020_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,66468
4387,r020_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,28864
4387,r020_6,S&E-related,STEM,STEM total,2,95332
4387,r020_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,66468
4387,r020_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,28864
4387,r020_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r020_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r020_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r021_1,S&E-related,2019 OCC,,1,1551
4387,r021_2,S&E-related,Detailed occupations,,1,Electrical and electronic engineering technologists and technicians
4387,r021_3,S&E-related,"Total, all employed adults",Total,2,110798
4387,r021_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,94665
4387,r021_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,16133
4387,r021_6,S&E-related,STEM,STEM total,2,110798
4387,r021_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,94665
4387,r021_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,16133
4387,r021_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r021_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r021_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r022_1,S&E-related,2019 OCC,,1,1555
4387,r022_2,S&E-related,Detailed occupations,,1,"Other engineering technologists and technicians, except drafters"
4387,r022_3,S&E-related,"Total, all employed adults",Total,2,396227
4387,r022_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,316601
4387,r022_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,79626
4387,r022_6,S&E-related,STEM,STEM total,2,396227
4387,r022_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,316601
4387,r022_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,79626
4387,r022_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r022_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r022_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r023_1,S&E-related,2019 OCC,,1,1560
4387,r023_2,S&E-related,Detailed occupations,,1,Surveying and mapping technicians
4387,r023_3,S&E-related,"Total, all employed adults",Total,2,71520
4387,r023_4,S&E-related,"Total, all employed adults",No bachelor's degree,2,64358
4387,r023_5,S&E-related,"Total, all employed adults",Bachelor's degree or higher ,2,7162
4387,r023_6,S&E-related,STEM,STEM total,2,71520
4387,r023_7,S&E-related,STEM,"STEM, no bachelor's degree (STW)",2,64358
4387,r023_8,S&E-related,STEM,"STEM, bachelor's degree or higher ",2,7162
4387,r023_9,S&E-related,Non-STEM,Non-STEM total,2,na
4387,r023_10,S&E-related,Non-STEM,"Non-STEM, no bachelor's degree",2,na
4387,r023_11,S&E-related,Non-STEM,"Non-STEM, bachelor's degree or higher ",2,na
4387,r024_1,<b>na</b>,2019 OCC,,1,na
4387,r024_2,<b>na</b>,Detailed occupations,,1,"Arts, design, entertainment, sports, and media occupations"
4387,r024_3,<b>na</b>,"Total, all employed adults",Total,2,3162951
4387,r024_4,<b>na</b>,"Total, all employed adults",No bachelor's degree,2,1231773
4387,r024_5,<b>na</b>,"Total, all employed adults",Bachelor's degree or higher ,2,1931178
4387,r024_6,<b>na</b>,STEM,STEM total,2,446150
4387,r024_7,<b>na</b>,STEM,"STEM, no bachelor's degree (STW)",2,204632
4387,r024_8,<b>na</b>,STEM,"STEM, bachelor's degree or higher ",2,241518
4387,r024_9,<b>na</b>,Non-STEM,Non-STEM total,2,2716801
