table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_advanced_nuclear_energy_technologies_number_yes,field_advanced_nuclear_energy_technologies_number_no,field_advanced_nuclear_energy_technologies_percent_yes,field_advanced_nuclear_energy_technologies_percent_no
11540,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['7,306', '&nbsp;']","['4,867,622', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11540,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['4,209', '&nbsp;']","['2,729,982', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11540,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['1,493', '&nbsp;']","['949,055', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11540,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11540,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['831', '&nbsp;']","['576,566', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['476', '&nbsp;']","['399,090', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11540,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['184', '&nbsp;']","['115,407', '&nbsp;']","['0.2', '&nbsp;']","['99.8', '&nbsp;']"
11540,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['34', '&nbsp;']","['63,935', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11540,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['15', '&nbsp;']","['18,109', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['9', '&nbsp;']","['7,659', '&nbsp;']","['0.1', '&nbsp;']","['99.9', '&nbsp;']"
11540,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['29', '&nbsp;']","['5,981', '&nbsp;']","['0.5', '&nbsp;']","['99.5', '&nbsp;']"
11540,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['10', '&nbsp;']","['972', '&nbsp;']","['1.1', '&nbsp;']","['98.9', 'r']"
11540,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['11', '&nbsp;']","['505', '&nbsp;']","['2.0', '&nbsp;']","['98.0', '&nbsp;']"
11540,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['4', '&nbsp;']","['368', '&nbsp;']","['1.0', '&nbsp;']","['99.0', '&nbsp;']"
