table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_and_equipment_for_instruction_in_s_e,field_s_e_fellowships_traineeships_and_training_grants,field_other_general_support_for_s_e
11221,r001,All states and outlying areas,All states and outlying areas,,,1,44628417,41303924,512849,17885,1942928,850831
11221,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,624060,551112,12913,0,42009,18027
11221,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,17931,10916,0,0,5961,1054
11221,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,2955,2457,0,0,499,0
11221,r005,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,86085,68196,0,0,7066,10823
11221,r006,All states and outlying areas -> Alabama -> Jacksonville State U.,All states and outlying areas,Alabama,Jacksonville State U.,3,1540,415,0,0,1125,0
11221,r007,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,499,499,0,0,0,0
11221,r008,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,3437,386,0,0,2804,247
11221,r009,All states and outlying areas -> Alabama -> Spring Hill C.,All states and outlying areas,Alabama,Spring Hill C.,3,644,0,0,0,644,0
11221,r010,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,570,342,0,0,31,198
11221,r011,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,162,162,0,0,0,0
11221,r012,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,32333,14298,8163,0,7067,2805
11221,r013,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,359469,344047,4750,0,8217,2456
11221,r014,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,27185,26135,0,0,1050,0
11221,r015,"All states and outlying areas -> Alabama -> U. Alabama, The, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, The, Tuscaloosa",3,65463,59947,0,0,5072,443
11221,r016,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,25475,23307,0,0,2168,0
11221,r017,"All states and outlying areas -> Alabama -> U. West Alabama, The",All states and outlying areas,Alabama,"U. West Alabama, The",3,313,6,0,0,306,0
11221,r018,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,112394,103857,210,0,4445,3882
11221,r019,All states and outlying areas -> Alaska -> Alaska Pacific U.,All states and outlying areas,Alaska,Alaska Pacific U.,3,1196,1196,0,0,0,0
11221,r020,All states and outlying areas -> Alaska -> Ilisagvik C.,All states and outlying areas,Alaska,Ilisagvik C.,3,743,100,0,0,365,278
11221,r021,All states and outlying areas -> Alaska -> U. Alaska System of Higher Education,All states and outlying areas,Alaska,U. Alaska System of Higher Education,3,6536,6536,0,0,0,0
11221,r022,"All states and outlying areas -> Alaska -> U. Alaska, Anchorage",All states and outlying areas,Alaska,"U. Alaska, Anchorage",3,8965,7514,0,0,1450,0
11221,r023,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks",All states and outlying areas,Alaska,"U. Alaska, Fairbanks",3,91204,84940,210,0,2610,3444
11221,r024,"All states and outlying areas -> Alaska -> U. Alaska, Southeast",All states and outlying areas,Alaska,"U. Alaska, Southeast",3,3750,3570,0,0,20,160
11221,r025,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,645465,594442,12453,0,28514,10055
11221,r026,All states and outlying areas -> Arizona -> Arizona Board of Regents,All states and outlying areas,Arizona,Arizona Board of Regents,3,527,527,0,0,0,0
11221,r027,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,227240,205750,7611,0,11795,2083
11221,r028,All states and outlying areas -> Arizona -> Dine C.,All states and outlying areas,Arizona,Dine C.,3,3462,1110,0,0,1100,1252
11221,r029,All states and outlying areas -> Arizona -> Maricopa Community Colleges,All states and outlying areas,Arizona,Maricopa Community Colleges,3,1865,732,0,0,1133,0
