table_id,row_id,_b_selected_characteristic_and_company_size_b_full_path,_b_selected_characteristic_and_company_size_b_level_1,_b_selected_characteristic_and_company_size_b_level_2,_b_selected_characteristic_and_company_size_b_level_3,_b_selected_characteristic_and_company_size_b_level_4,_b_selected_characteristic_and_company_size_b_hierarchy_depth,field_2019,field_2020,field_2021,field_2022
11763,r001,Domestic R&D performance<sup>a</sup>,Domestic R&D performance<sup>a</sup>,,,,1,492956,537619,"['602,499', '&#160;']","['691,547', '&nbsp;']"
11763,r002,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup>,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,,,2,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r003,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Basic research,,3,32239,36017,"['40,130', '&#160;']","['42,957', '&nbsp;']"
11763,r004,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Applied research,,3,74031,76088,"['86,485', '&#160;']","['100,654', '&nbsp;']"
11763,r005,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Development,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Development,,3,386686,425514,"['475,884', '&#160;']","['547,935', '&nbsp;']"
11763,r006,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup>,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,,,2,428968,466162,"['527,804', '&#160;']","['608,058', '&nbsp;']"
11763,r007,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Basic research,,3,25916,29330,"['32,763', '&#160;']","['35,918', '&nbsp;']"
11763,r008,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Applied research,,3,59697,60620,"['69,130', '&#160;']","['80,834', '&nbsp;']"
11763,r009,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Development,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Development,,3,343355,376213,"['425,912', '&#160;']","['491,307', '&nbsp;']"
11763,r010,Domestic R&D performance<sup>a</sup> -> Paid for by others,Domestic R&D performance<sup>a</sup>,Paid for by others,,,2,63989,71457,"['74,695', '&#160;']","['83,489', '&nbsp;']"
11763,r011,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by others,Basic research,,3,6324,6688,"['7,367', '&#160;']","['7,040', '&nbsp;']"
11763,r012,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by others,Applied research,,3,14333,15468,"['17,355', 'i']","['19,821', 'i ']"
11763,r013,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Development,Domestic R&D performance<sup>a</sup>,Paid for by others,Development,,3,43332,49301,"['49,972', '&#160;']","['56,629', '&nbsp;']"
11763,r014,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,,3,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r015,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Federal,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Federal,4,21941,28905,"['23,582', '&#160;']","['31,626', '&nbsp;']"
11763,r016,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Other<sup>d</sup>,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Other<sup>d</sup>,4,42048,42552,"['51,113', '&#160;']","['51,863', '&nbsp;']"
11763,r017,Size of company (number of domestic employees),Size of company (number of domestic employees),,,,1,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r018,Size of company (number of domestic employees) -> Small companies,Size of company (number of domestic employees),Small companies,,,2,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r019,Size of company (number of domestic employees) -> Small companies -> 10–19<sup>e</sup>,Size of company (number of domestic employees),Small companies,10–19<sup>e</sup>,,3,5501,5047,"['5,477', '&#160;']","['5,277', '&nbsp;']"
11763,r020,Size of company (number of domestic employees) -> Small companies -> 20&#8211;49,Size of company (number of domestic employees),Small companies,20&#8211;49,,3,12418,12994,"['15,061', '&#160;']","['14,695', '&nbsp;']"
11763,r021,Size of company (number of domestic employees) -> Medium companies,Size of company (number of domestic employees),Medium companies,,,2,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r022,Size of company (number of domestic employees) -> Medium companies -> 50&#8211;99,Size of company (number of domestic employees),Medium companies,50&#8211;99,,3,14021,12993,"['14,540', '&#160;']","['15,265', '&nbsp;']"
11763,r023,Size of company (number of domestic employees) -> Medium companies -> 100&#8211;249,Size of company (number of domestic employees),Medium companies,100&#8211;249,,3,19793,25411,"['24,023', '&#160;']","['27,847', '&nbsp;']"
11763,r024,Size of company (number of domestic employees) -> Large companies,Size of company (number of domestic employees),Large companies,,,2,,,"['&nbsp;', '&#160;']","['&nbsp;', '&nbsp;']"
11763,r025,Size of company (number of domestic employees) -> Large companies -> 250&#8211;499,Size of company (number of domestic employees),Large companies,250&#8211;499,,3,18883,20878,"['23,932', '&#160;']","['29,549', '&nbsp;']"
11763,r026,Size of company (number of domestic employees) -> Large companies -> 500&#8211;999,Size of company (number of domestic employees),Large companies,500&#8211;999,,3,23969,21264,"['27,432', '&#160;']","['31,802', '&nbsp;']"
11763,r027,"Size of company (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",Size of company (number of domestic employees),Large companies,"1,000&#8211;4,999",,3,75671,88238,"['94,615', '&#160;']","['104,505', '&nbsp;']"
11763,r028,"Size of company (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",Size of company (number of domestic employees),Large companies,"5,000&#8211;9,999",,3,50811,48397,"['62,817', '&#160;']","['58,709', '&nbsp;']"
11763,r029,"Size of company (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",Size of company (number of domestic employees),Large companies,"10,000&#8211;24,999",,3,88263,88567,"['104,607', '&#160;']","['121,142', '&nbsp;']"
11763,r030,"Size of company (number of domestic employees) -> Large companies -> 25,000 or more",Size of company (number of domestic employees),Large companies,"25,000 or more",,3,183626,213829,"['229,995', '&#160;']","['282,756', '&nbsp;']"
