table_id,row_id,occupation_category_full_path,occupation_category_level_1,occupation_category_level_2,occupation_category_hierarchy_depth,field_type_of_nonprofit_organizationa_headcount_all_organizations,field_type_of_nonprofit_organizationa_headcount_healthcare,field_type_of_nonprofit_organizationa_headcount_science_and_technology,field_type_of_nonprofit_organizationa_headcount_other_nonprofit_organizations,field_type_of_nonprofit_organizationa_fte_all_organizations,field_type_of_nonprofit_organizationa_fte_healthcare,field_type_of_nonprofit_organizationa_fte_science_and_technology,field_type_of_nonprofit_organizationa_fte_other_nonprofit_organizations
9730,r001,All R&D employees ,All R&D employees ,,1,"['196,418', '  ']","['114,871', '  ']","['64,075', '  ']","['17,473', '  ']","['147,578', '  ']","['80,211', '  ']","['55,527', '  ']","['11,839', '  ']"
9730,r002,All R&D employees  -> Researchers,All R&D employees ,Researchers,2,"['77,265', '  ']","['44,216', '  ']","['25,583', '  ']","['7,466', '  ']","['57,434', '  ']","['28,946', '  ']","['22,364', '  ']","['6,124', '  ']"
9730,r003,All R&D employees  -> Technicians,All R&D employees ,Technicians,2,"['72,145', '  ']","['42,276', 'i ']","['25,953', '  ']","['3,916', '  ']","['57,427', '  ']","['31,552', '  ']","['23,136', '  ']","['2,739', '  ']"
9730,r004,All R&D employees  -> Other support personnel,All R&D employees ,Other support personnel,2,"['47,008', '  ']","['28,379', '  ']","['12,539', '  ']","['6,090', '  ']","['32,716', '  ']","['19,713', '  ']","['10,027', '  ']","['2,977', '  ']"
