table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_sales_worldwide,field_sales_domestic,field_sales_foreign
12269,r001,All business activities,All business activities,,1,21100–81000,"['18,865,332', '  ']","['14,184,308', '  ']","['4,681,024', '  ']"
12269,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['275,133', '  ']","['163,855', '  ']","['111,278', '  ']"
12269,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['37,560', 'i ']","['37,098', 'i ']","['462', '  ']"
12269,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['229,576', 'i ']","['142,631', 'i ']","['86,945', 'i ']"
12269,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['386,256', '  ']","['381,945', '  ']","['4,311', '  ']"
12269,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['95,779', '  ']","['91,210', '  ']","['4,569', '  ']"
12269,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['1,066,413', '  ']","['798,579', '  ']","['267,834', '  ']"
12269,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['191,226', '  ']","['115,934', '  ']","['75,293', '  ']"
12269,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['79,958', '  ']","['45,741', '  ']","['34,216', '  ']"
12269,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['80,551', '  ']","['60,625', '  ']","['19,926', '  ']"
12269,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['72,546', '  ']","['67,441', '  ']","['5,105', '  ']"
12269,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['157,882', '  ']","['124,483', '  ']","['33,400', '  ']"
12269,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['35,490', '  ']","['29,142', '  ']","['6,348', '  ']"
12269,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['826,911', '  ']","['524,316', '  ']","['302,595', '  ']"
12269,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['15,062', '  ']","['13,970', '  ']","['1,092', '  ']"
12269,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['24,621', '  ']","['19,780', '  ']","['4,841', '  ']"
