table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_anthropology,field_economics,field_political_science,field_sociology,field_other_social_sciences
3900,r001,All agencies,All agencies,,,,,1,704456.9,2290.1,209229.3,3905.3,187366.3,301665.9
3900,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
3900,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,172806.6,0.0,149426.3,0.0,22351.8,1028.5
3900,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1240.7,0.0,1240.7,0.0,0.0,0.0
3900,r005,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,85626.4,0.0,85626.4,0.0,0.0,0.0
3900,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,26865.9,0.0,19850.9,0.0,5986.5,1028.5
3900,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,57961.3,0.0,41596.0,0.0,16365.3,0.0
3900,r008,All agencies -> Departments -> Department of Agriculture -> Rural Business-Cooperative Service,All agencies,Departments,Department of Agriculture,Rural Business-Cooperative Service,,4,1112.5,0.0,1112.5,0.0,0.0,0.0
3900,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,28592.2,0.0,14578.1,1812.0,2726.8,9475.3
3900,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,583.2,0.0,583.2,0.0,0.0,0.0
3900,r011,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,4610.5,0.0,906.0,1812.0,906.0,986.5
3900,r012,All agencies -> Departments -> Department of Commerce -> U.S. Census Bureau,All agencies,Departments,Department of Commerce,U.S. Census Bureau,,4,23398.5,0.0,13088.9,0.0,1820.8,8488.8
3900,r013,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,5673.2,0.0,1100.0,0.0,0.0,4573.2
3900,r014,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,3090.2,0.0,0.0,0.0,0.0,3090.2
3900,r015,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,2583.0,0.0,1100.0,0.0,0.0,1483.0
3900,r016,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,131380.1,0.0,0.0,0.0,0.0,131380.1
3900,r017,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,98167.1,36.1,9956.5,0.0,0.0,88174.5
3900,r018,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,2254.8,0.0,0.0,0.0,0.0,2254.8
3900,r019,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,20813.1,36.1,9956.5,0.0,0.0,10820.5
3900,r020,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,1011.1,0.0,0.0,0.0,0.0,1011.1
3900,r021,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,2265.5,0.0,0.0,0.0,0.0,2265.5
3900,r022,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,54777.1,0.0,0.0,0.0,0.0,54777.1
3900,r023,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,17045.5,0.0,0.0,0.0,0.0,17045.5
3900,r024,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,17045.5,0.0,0.0,0.0,0.0,17045.5
3900,r025,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,6351.0,0.0,3756.3,2093.3,501.3,0.0
3900,r026,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,5849.7,0.0,3756.3,2093.3,0.0,0.0
3900,r027,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,501.3,0.0,0.0,0.0,501.3,0.0
3900,r028,All agencies -> Departments -> Department of Housing and Urban Development,All agencies,Departments,Department of Housing and Urban Development,,,3,14833.6,0.0,12620.3,0.0,663.6,1549.7
3900,r029,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,8762.1,189.0,5778.8,0.0,2267.3,527.1
3900,r030,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,8235.0,189.0,5778.8,0.0,2267.3,0.0
3900,r031,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,527.1,0.0,0.0,0.0,0.0,527.1
3900,r032,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,52550.6,2065.0,0.0,0.0,5821.6,44664.1
3900,r033,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,1249.0,0.0,0.0,0.0,1249.0,0.0
3900,r034,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,51301.6,2065.0,0.0,0.0,4572.6,44664.1
3900,r035,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,4366.1,0.0,2642.1,0.0,0.0,1724.0
3900,r036,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,2642.1,0.0,2642.1,0.0,0.0,0.0
3900,r037,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,1724.0,0.0,0.0,0.0,0.0,1724.0
3900,r038,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,2200.0,0.0,0.0,0.0,2200.0,0.0
3900,r039,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,1596.8,0.0,0.0,0.0,0.0,1596.8
3900,r040,All agencies -> Departments -> Department of Transportation -> Federal Railroad Administration,All agencies,Departments,Department of Transportation,Federal Railroad Administration,,4,1596.8,0.0,0.0,0.0,0.0,1596.8
3900,r041,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,,
3900,r042,All agencies -> Other agencies -> Agency for International Development,All agencies,Other agencies,Agency for International Development,,,3,12904.0,0.0,0.0,0.0,4590.0,8314.0
3900,r043,All agencies -> Other agencies -> Appalachian Regional Commission,All agencies,Other agencies,Appalachian Regional Commission,,,3,898.9,0.0,898.9,0.0,0.0,0.0
3900,r044,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,2338.3,0.0,2338.3,0.0,0.0,0.0
3900,r045,All agencies -> Other agencies -> Federal Communications Commission,All agencies,Other agencies,Federal Communications Commission,,,3,130.3,0.0,130.3,0.0,0.0,0.0
3900,r046,All agencies -> Other agencies -> Federal Trade Commission,All agencies,Other agencies,Federal Trade Commission,,,3,6003.2,0.0,6003.2,0.0,0.0,0.0
3900,r047,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,2554.8,0.0,0.0,0.0,3.0,2551.8
3900,r048,All agencies -> Other agencies -> Social Security Administration,All agencies,Other agencies,Social Security Administration,,,3,146241.0,0.0,0.0,0.0,146241.0,0.0
3900,r049,All agencies -> Other agencies -> U.S. Agency for Global Media,All agencies,Other agencies,U.S. Agency for Global Media,,,3,6107.0,0.0,0.0,0.0,0.0,6107.0
