table_id,row_id,science_and_engineering_classification,major_occupational_code_and_label_n2ocprmg_n2ocmlst_,minor_occupational_code_and_label_n2ocprng_n2ocnlst_,detailed_occupational_code_and_label_n2ocpr_n2oclst_
3659,r001,Science occupations,"['1', 'Computer and mathematical scientists']","['11', 'Computer and information scientists']","['110510', 'Computer and information scientists, research']"
3659,r002,,"['', '']","['', '']","['110520', 'Computer network architect']"
3659,r003,,"['', '']","['', '']","['110540', 'Computer support specialists']"
3659,r004,,"['', '']","['', '']","['110550', 'Computer system analysts']"
3659,r005,,"['', '']","['', '']","['110560', 'Database administrators']"
3659,r006,,"['', '']","['', '']","['110570', 'Information security analysts']"
3659,r007,,"['', '']","['', '']","['110580', 'Network and computer systems administrators']"
3659,r008,,"['', '']","['', '']","['110590', 'Software developers -- applications and systems software']"
3659,r009,,"['', '']","['', '']","['110600', 'Web developers']"
3659,r010,,"['', '']","['', '']","['110610', 'Other computer and information science occupations ']"
3659,r011,,"['', '']","['', '']","['110880', 'Computer engineers, software ']"
3659,r012,,"['', '']","['12', 'Mathematical scientists']","['121720', 'Mathematicians ']"
3659,r013,,"['', '']","['', '']","['121730', 'Operations research analysts, including modeling ']"
3659,r014,,"['', '']","['', '']","['121740', 'Statisticians ']"
3659,r015,,"['', '']","['', '']","['121760', 'Other mathematical scientists ']"
3659,r016,,"['', '']","['18', 'Postsecondary teachers - computer and math sciences']","['182760', 'Postsecondary teachers: Computer sciences']"
3659,r017,,"['', '']","['', '']","['182860', 'Postsecondary teachers: Mathematics and statistics']"
3659,r018,,"['2', 'Biological, agricultural and other life scientists']","['21', 'Agricultural and food scientists']","['210210', 'Agricultural and food scientists ']"
3659,r019,,"['', '']","['22', 'Biological and medical scientists']","['220220', 'Biochemists and biophysicists ']"
3659,r020,,"['', '']","['', '']","['220230', 'Biological scientists ']"
3659,r021,,"['', '']","['', '']","['220250', 'Medical scientists (excluding practitioners) ']"
3659,r022,,"['', '']","['', '']","['220270', 'Other biological and life scientists']"
3659,r023,,"['', '']","['23', 'Environmental life scientists']","['230240', 'Forestry and conservation scientists']"
3659,r024,,"['', '']","['28', 'Postsecondary teachers - life and related sciences']","['282710', 'Postsecondary teachers: Agriculture']"
3659,r025,,"['', '']","['', '']","['282730', 'Postsecondary teachers: Biological sciences']"
3659,r026,,"['', '']","['', '']","['282970', 'Postsecondary teachers: Other natural sciences']"
3659,r027,,"['3', 'Physical and related scientists']","['31', 'Chemists, except biochemists']","['311930', 'Chemists, except biochemists ']"
3659,r028,,"['', '']","['32', 'Earth scientists, geologists and oceanographers']","['321920', 'Atmospheric and space scientists ']"
3659,r029,,"['', '']","['', '']","['321940', 'Geologists, including earth scientists']"
3659,r030,,"['', '']","['', '']","['321950', 'Oceanographers ']"
3659,r031,,"['', '']","['33', 'Physicists and astronomers']","['331910', 'Astronomers']"
3659,r032,,"['', '']","['', '']","['331960', 'Physicists, except biophysicists']"
3659,r033,,"['', '']","['34', 'Other physical and related scientists']","['341980', 'Other physical scientists']"
3659,r034,,"['', '']","['38', 'Postsecondary teachers - physical and related sciences']","['382750', 'Postsecondary teachers: Chemistry']"
3659,r035,,"['', '']","['38', '']","['382770', 'Postsecondary teachers: Earth, environmental, and marine sciences']"
3659,r036,,"['', '']","['38', '']","['382890', 'Postsecondary teachers: Physics']"
3659,r037,,"['4', 'Social and related scientists']","['41', 'Economists']","['412320', 'Economists']"
3659,r038,,"['', '']","['42', 'Political scientists']","['422350', 'Political scientists']"
3659,r039,,"['', '']","['43', 'Psychologists']","['432360', 'Psychologists, including clinical']"
3659,r040,,"['', '']","['44', 'Sociologists and anthropologists']","['442310', 'Anthropologists ']"
3659,r041,,"['', '']","['', '']","['442370', 'Sociologists ']"
3659,r042,,"['', '']","['45', 'Other social and related scientists']","['452380', 'Other social scientists ']"
