table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_federal_number,field_federal_percent,field_institutional_number,field_institutional_percent,field_nonfederal_domestic_number,field_nonfederal_domestic_percent,field_foreign_number,field_foreign_percent,field_self_support_number,field_self_support_percent
6081,r001,All graduate students,All graduate students,,,,1,491515,76218,15.5,200422,40.8,18380,3.7,3824,0.8,192671,39.2
6081,r002,All graduate students -> Science,All graduate students,Science,,,2,330541,48717,14.7,145648,44.1,10357,3.1,1922,0.6,123897,37.5
6081,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,7271,1437,19.8,3671,50.5,794,10.9,63,0.9,1306,18.0
6081,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,77580,19427,25.0,34170,44.0,3226,4.2,450,0.6,20307,26.2
6081,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,55402,5589,10.1,15688,28.3,1415,2.6,352,0.6,32358,58.4
6081,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9456,2528,26.7,5022,53.1,422,4.5,88,0.9,1396,14.8
6081,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,24041,1585,6.6,12597,52.4,373,1.6,129,0.5,9357,38.9
6081,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,9039,548,6.1,2881,31.9,202,2.2,44,0.5,5364,59.3
6081,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,8448,1315,15.6,3500,41.4,397,4.7,70,0.8,3166,37.5
6081,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,37638,10792,28.7,21942,58.3,1535,4.1,288,0.8,3081,8.2
6081,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,46168,2716,5.9,14701,31.8,775,1.7,94,0.2,27882,60.4
6081,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,55498,2780,5.0,31476,56.7,1218,2.2,344,0.6,19680,35.5
6081,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,111240,24114,21.7,41810,37.6,6886,6.2,1636,1.5,36794,33.1
6081,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,4599,1230,26.7,1617,35.2,260,5.7,136,3.0,1356,29.5
6081,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,11075,3016,27.2,4618,41.7,690,6.2,74,0.7,2677,24.2
6081,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9030,2533,28.1,3936,43.6,900,10.0,152,1.7,1509,16.7
6081,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,12861,2040,15.9,5746,44.7,711,5.5,239,1.9,4125,32.1
6081,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,30503,5974,19.6,9941,32.6,1665,5.5,407,1.3,12516,41.0
6081,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,7728,1095,14.2,2456,31.8,325,4.2,83,1.1,3769,48.8
6081,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,18680,4283,22.9,7296,39.1,1137,6.1,321,1.7,5643,30.2
6081,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,6063,1716,28.3,2258,37.2,468,7.7,115,1.9,1506,24.8
6081,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,10701,2227,20.8,3942,36.8,730,6.8,109,1.0,3693,34.5
6081,r023,All graduate students -> Health,All graduate students,Health,,,2,49734,3387,6.8,12964,26.1,1137,2.3,266,0.5,31980,64.3
6081,r024,All graduate students -> Health -> Clinical medicine<sup>a</sup>,All graduate students,Health,Clinical medicine<sup>a</sup>,,3,20528,1410,6.9,4737,23.1,506,2.5,59,0.3,13816,67.3
6081,r025,All graduate students -> Health -> Other health,All graduate students,Health,Other health,,3,29206,1977,6.8,8227,28.2,631,2.2,207,0.7,18164,62.2
6081,r026,All graduate students -> Master's students,All graduate students,Master's students,,,2,243859,12459,5.1,56781,23.3,4498,1.8,1022,0.4,169099,69.3
6081,r027,All graduate students -> Master's students -> Science,All graduate students,Master's students,Science,,3,155502,7083,4.6,37624,24.2,2391,1.5,562,0.4,107842,69.4
6081,r028,All graduate students -> Master's students -> Science -> Agricultural and veterinary sciences,All graduate students,Master's students,Science,Agricultural and veterinary sciences,4,3731,590,15.8,1750,46.9,393,10.5,24,0.6,974,26.1
6081,r029,All graduate students -> Master's students -> Science -> Biological and biomedical sciences,All graduate students,Master's students,Science,Biological and biomedical sciences,4,26473,1286,4.9,6669,25.2,349,1.3,107,0.4,18062,68.2
6081,r030,All graduate students -> Master's students -> Science -> Computer and information sciences,All graduate students,Master's students,Science,Computer and information sciences,4,39929,1242,3.1,7493,18.8,407,1.0,138,0.3,30649,76.8
