table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10434,r001,R&D and R&D plant,R&D and R&D plant,,,,1,14553,15240,16314,4.7,7.0
10434,r002,R&D and R&D plant -> National Aeronautics and Space Administration,R&D and R&D plant,National Aeronautics and Space Administration,,,2,14553,15240,16314,4.7,7.0
10434,r003,"R&D and R&D plant -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,National Aeronautics and Space Administration,"Safety, security, and mission services",,3,3021,3129,3369,3.6,7.7
10434,r004,R&D and R&D plant -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,National Aeronautics and Space Administration,Deep Space Exploration Systems,,3,1555,1805,2045,16.1,13.3
10434,r005,R&D and R&D plant -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,National Aeronautics and Space Administration,Science,,3,7541,7742,8205,2.7,6.0
10434,r006,R&D and R&D plant -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,,3,1262,1286,1302,1.9,1.2
10434,r007,R&D and R&D plant -> National Aeronautics and Space Administration -> Space technology<sup>a</sup>,R&D and R&D plant,National Aeronautics and Space Administration,Space technology<sup>a</sup>,,3,1074,1170,1353,8.9,15.6
10434,r008,"R&D and R&D plant -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",,3,100,108,40,8.0,-63.0
10434,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,14453,15132,16274,4.7,7.5
10434,r010,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration,R&D and R&D plant,R&D,National Aeronautics and Space Administration,,3,14453,15132,16274,4.7,7.5
10434,r011,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Safety, security, and mission services",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Safety, security, and mission services",4,3021,3129,3369,3.6,7.7
10434,r012,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Deep Space Exploration Systems,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Deep Space Exploration Systems,4,1555,1805,2045,16.1,13.3
10434,r013,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Science,4,7541,7742,8205,2.7,6.0
10434,r014,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> LEO (low earth orbit) and space flight operations,R&D and R&D plant,R&D,National Aeronautics and Space Administration,LEO (low earth orbit) and space flight operations,4,1262,1286,1302,1.9,1.2
10434,r015,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Space technology,R&D and R&D plant,R&D,National Aeronautics and Space Administration,Space technology,4,1074,1170,1353,8.9,15.6
10434,r016,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration,"Construction, environmental compliance, and restoration",4,0,0,0,-,-
