table_id,row_id,_b_budget_function_and_agency_b_full_path,_b_budget_function_and_agency_b_level_1,_b_budget_function_and_agency_b_level_2,_b_budget_function_and_agency_b_level_3,_b_budget_function_and_agency_b_level_4,_b_budget_function_and_agency_b_level_5,_b_budget_function_and_agency_b_level_6,_b_budget_function_and_agency_b_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8445,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,78368,80425,90103,2.6,12.0
8445,r002,"R&D and R&D plant -> Department of Defense, military (051)",R&D and R&D plant,"Department of Defense, military (051)",,,,,2,72084,74181,83448,2.9,12.5
8445,r003,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,,,,3,68443,73248,82332,7.0,12.4
8445,r004,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,,,4,18939,20920,21398,10.5,2.3
8445,r005,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Defense Advanced Research Projects Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Defense Advanced Research Projects Agency,,5,3504,3868,4119,10.4,6.5
8445,r006,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Missile Defense Agency",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Missile Defense Agency,,5,7850,7227,7873,-7.9,8.9
8445,r007,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Defense agencies -> Other defense agencies",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Defense agencies,Other defense agencies,,5,7585,9825,9406,29.5,-4.3
8445,r008,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Air Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Air Force,,,4,15999,18078,20097,13.0,11.2
8445,r009,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Space Force",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Space Force,,,4,5727,5703,9561,-0.4,67.6
8445,r010,"R&D and R&D plant -> Department of Defense, military (051) -> R&D within RDT&E accounts -> Department of the Army",R&D and R&D plant,"Department of Defense, military (051)",R&D within RDT&E accounts,Department of the Army,,,4,12421,12205,12427,-1.7,1.8
