table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012
10318,r001,All fields,All fields,,,1,48007,51072,53358,53738,53536,54094,53894,63692,63728,58065,61986
10318,r002,All fields -> Computer sciences and mathematics,All fields,Computer sciences and mathematics,,2,2631,2672,2949,2983,2815,2946,3047,3612,3412,3374,3528
10318,r003,All fields -> Computer sciences and mathematics -> Computer sciences,All fields,Computer sciences and mathematics,Computer sciences,3,2043,2053,2145,2157,1988,2078,2053,2422,2362,2192,2392
10318,r004,All fields -> Computer sciences and mathematics -> Mathematics,All fields,Computer sciences and mathematics,Mathematics,3,402,453,618,687,669,709,783,928,835,892,925
10318,r005,All fields -> Computer sciences and mathematics -> Other computer sciences and mathematics,All fields,Computer sciences and mathematics,Other computer sciences and mathematics,3,185,167,187,140,158,159,211,262,214,291,210
10318,r006,All fields -> Engineering,All fields,Engineering,,2,8275,8405,8866,8553,8679,8990,8976,10285,11081,10057,11403
10318,r007,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,2157,1732,1641,1276,1229,929,810,908,830,845,1815
10318,r008,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,761,702,665,494,476,341,288,370,390,410,690
10318,r009,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,202,328,319,284,295,354,346,447,510,475,350
10318,r010,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,303,340,330,279,353,462,488,679,700,617,514
10318,r011,All fields -> Engineering -> Electrical engineering,All fields,Engineering,Electrical engineering,3,809,950,891,1033,1035,1027,1046,1254,1361,1235,1325
10318,r012,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,266,298,302,324,298,337,292,314,364,310,372
10318,r013,All fields -> Engineering -> Metallurgy and materials engineering,All fields,Engineering,Metallurgy and materials engineering,3,1001,1084,1037,1184,1250,1480,1624,1722,1759,1621,1699
10318,r014,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,2778,2971,3682,3678,3742,4060,4081,4591,5168,4544,4639
10318,r015,All fields -> Environmental sciences,All fields,Environmental sciences,,2,3418,3741,3742,3503,3431,3170,2985,3751,3339,3207,3884
10318,r016,All fields -> Environmental sciences -> Atmospheric sciences,All fields,Environmental sciences,Atmospheric sciences,3,1164,1259,1260,1185,1167,965,884,1018,954,954,1469
10318,r017,All fields -> Environmental sciences -> Geological sciences,All fields,Environmental sciences,Geological sciences,3,675,725,704,674,654,638,517,754,530,598,726
10318,r018,All fields -> Environmental sciences -> Oceanography,All fields,Environmental sciences,Oceanography,3,785,846,809,772,746,788,789,834,744,724,814
10318,r019,All fields -> Environmental sciences -> Other environmental sciences,All fields,Environmental sciences,Other environmental sciences,3,795,910,968,872,864,780,794,1145,1111,932,876
10318,r020,All fields -> Life sciences,All fields,Life sciences,,2,25477,27772,27728,28128,27928,29464,28919,33267,33909,29450,31006
10318,r021,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,1048,1046,1087,1094,1108,1139,1020,1120,1132,1085,943
10318,r022,All fields -> Life sciences -> Biological sciences (excluding environmental biology),All fields,Life sciences,Biological sciences (excluding environmental biology),3,14499,18643,13092,13352,13691,14430,14443,17377,17214,15178,15458
10318,r023,All fields -> Life sciences -> Environmental biology,All fields,Life sciences,Environmental biology,3,779,718,670,699,687,757,858,964,816,855,797
10318,r024,All fields -> Life sciences -> Medical sciences,All fields,Life sciences,Medical sciences,3,6427,6160,10899,10862,10592,10791,10387,11393,11677,10202,11078
