table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
6841,r001,"All occupations, all ages","All occupations, all ages",,,,1,40172000,19471000,20701000,24960000,11989000,12970000,11192000,5908000,5284000,1560000,606000,954000,2460000,967000,1493000
6841,r002,"All occupations, all ages -> 29 and younger","All occupations, all ages",29 and younger,,,2,5614000,3142000,2472000,4279000,2394000,1885000,1126000,640000,485000,45000,18000,27000,164000,89000,75000
6841,r003,"All occupations, all ages -> 30&#8211;39","All occupations, all ages",30&#8211;39,,,2,11016000,5552000,5464000,6604000,3185000,3419000,3270000,1840000,1430000,380000,154000,227000,761000,374000,388000
6841,r004,"All occupations, all ages -> 40&#8211;49","All occupations, all ages",40&#8211;49,,,2,9669000,4670000,4999000,5754000,2664000,3090000,2902000,1612000,1290000,417000,173000,244000,596000,221000,375000
6841,r005,"All occupations, all ages -> 50&#8211;75","All occupations, all ages",50&#8211;75,,,2,13872000,6106000,7766000,8322000,3746000,4576000,3894000,1816000,2078000,717000,262000,456000,939000,283000,655000
6841,r006,"All occupations, all ages -> S&E occupations","All occupations, all ages",S&E occupations,,,2,6169000,1695000,4474000,3545000,861000,2684000,1864000,569000,1295000,706000,238000,468000,54000,27000,27000
6841,r007,"All occupations, all ages -> S&E occupations -> 29 and younger","All occupations, all ages",S&E occupations,29 and younger,,3,1066000,321000,745000,761000,214000,546000,276000,96000,180000,28000,9000,19000,,,
6841,r008,"All occupations, all ages -> S&E occupations -> 30&#8211;39","All occupations, all ages",S&E occupations,30&#8211;39,,3,1857000,527000,1330000,1019000,242000,777000,594000,189000,405000,230000,86000,144000,14000,10000,4000
6841,r009,"All occupations, all ages -> S&E occupations -> 40&#8211;49","All occupations, all ages",S&E occupations,40&#8211;49,,3,1434000,395000,1039000,813000,170000,643000,421000,138000,283000,187000,79000,108000,13000,8000,6000
6841,r010,"All occupations, all ages -> S&E occupations -> 50&#8211;75","All occupations, all ages",S&E occupations,50&#8211;75,,3,1811000,453000,1358000,952000,234000,718000,572000,146000,426000,261000,64000,198000,26000,9000,17000
6841,r011,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",,3,556000,255000,301000,208000,103000,105000,133000,66000,67000,202000,81000,121000,12000,5000,7000
6841,r012,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,4,129000,61000,68000,96000,47000,49000,23000,10000,12000,10000,3000,7000,,,
6841,r013,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,4,177000,88000,89000,57000,32000,25000,49000,27000,21000,69000,29000,40000,S,,S
6841,r014,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,4,111000,53000,58000,19000,7000,12000,29000,15000,14000,60000,29000,31000,3000,S,1000
6841,r015,"All occupations, all ages -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,4,139000,54000,85000,36000,17000,19000,33000,14000,19000,63000,20000,43000,7000,3000,4000
6841,r016,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists","All occupations, all ages",S&E occupations,Computer and mathematical scientists,,3,3183000,832000,2351000,2067000,518000,1550000,966000,267000,699000,139000,43000,95000,11000,S,7000
6841,r017,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","All occupations, all ages",S&E occupations,Computer and mathematical scientists,29 and younger,4,466000,127000,339000,331000,84000,247000,130000,42000,88000,6000,1000,5000,,,
6841,r018,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Computer and mathematical scientists,30&#8211;39,4,1013000,239000,774000,641000,140000,501000,321000,82000,239000,49000,16000,33000,S,,S
6841,r019,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Computer and mathematical scientists,40&#8211;49,4,831000,210000,621000,545000,120000,425000,244000,70000,174000,37000,17000,20000,S,,
6841,r020,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Computer and mathematical scientists,50&#8211;75,4,873000,256000,617000,551000,173000,377000,271000,72000,199000,46000,9000,37000,5000,S,4000
6841,r021,"All occupations, all ages -> S&E occupations -> Physical and related scientists","All occupations, all ages",S&E occupations,Physical and related scientists,,3,311000,96000,214000,134000,45000,89000,83000,34000,49000,92000,17000,76000,S,,S
6841,r022,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Physical and related scientists,29 and younger,4,68000,26000,42000,42000,15000,27000,23000,10000,13000,4000,S,2000,,,
6841,r023,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Physical and related scientists,30&#8211;39,4,74000,29000,45000,27000,12000,15000,21000,10000,11000,25000,6000,18000,,,
6841,r024,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Physical and related scientists,40&#8211;49,4,63000,18000,45000,30000,9000,20000,12000,5000,7000,21000,4000,17000,,,
