table_id,row_id,_b_sex_citizenship_ethnicity_race_and_broad_field_b_full_path,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_1,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_2,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_3,_b_sex_citizenship_ethnicity_race_and_broad_field_b_level_4,_b_sex_citizenship_ethnicity_race_and_broad_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_in_hbcus,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_in_hbcus,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_in_hbcus,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_in_hbcus,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_in_hbcus
3546,r001,All individuals,All individuals,,,,1,690117,1.0,408228,1.1,281889,0.8,66247,0.2,30349,0.4
3546,r002,All individuals -> Male,All individuals,Male,,,2,364995,0.7,205768,0.8,159227,0.6,39173,0.2,17980,0.4
3546,r003,All individuals -> Female,All individuals,Female,,,2,325122,1.2,202460,1.4,122662,0.9,27074,0.2,12369,0.3
3546,r004,All individuals -> U.S. citizens and permanent residents<sup>a</sup>,All individuals,U.S. citizens and permanent residents<sup>a</sup>,,,2,456504,1.2,287370,1.4,169134,1.0,29452,0.2,na,na
3546,r005,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,3,54467,0.4,36777,0.4,17690,0.3,1924,0.1,na,na
3546,r006,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,3,,,,,,,,,,
3546,r007,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,4,2077,1.1,1327,1.1,750,0.9,69,0.0,na,na
3546,r008,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,4,48844,0.5,31301,0.5,17543,0.7,5891,0.3,na,na
3546,r009,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,4,38048,10.4,27598,10.3,10450,10.7,1088,2.9,na,na
3546,r010,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,4,744,1.1,542,0.9,202,1.5,52,0.0,na,na
3546,r011,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,4,272545,0.3,163836,0.3,108709,0.2,16972,0.1,na,na
3546,r012,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,4,15613,0.8,9593,0.8,6020,0.7,519,0.0,na,na
3546,r013,All individuals -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All individuals,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,3,24166,1.0,16396,1.1,7770,0.7,2937,0.2,na,na
3546,r014,All individuals -> Temporary visa holders,All individuals,Temporary visa holders,,,2,233613,0.4,120858,0.4,112755,0.5,36795,0.2,na,na
3546,r015,All individuals -> Science,All individuals,Science,,,2,453691,1.0,259795,1.2,193896,0.7,38503,0.3,18819,0.5
3546,r016,All individuals -> Science -> Agricultural sciences,All individuals,Science,Agricultural sciences,,3,9518,2.9,5629,3.9,3889,1.3,1079,0.8,645,2.2
3546,r017,All individuals -> Science -> Biological and biomedical sciences,All individuals,Science,Biological and biomedical sciences,,3,91993,1.1,38078,1.7,53915,0.7,21847,0.2,8229,0.3
3546,r018,All individuals -> Science -> Computer and information sciences,All individuals,Science,Computer and information sciences,,3,101284,0.8,84092,0.8,17192,0.8,878,0.1,510,0.4
3546,r019,"All individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,11878,0.6,5327,0.9,6551,0.3,1778,0.1,2177,1.0
3546,r020,All individuals -> Science -> Mathematics and statistics,All individuals,Science,Mathematics and statistics,,3,33159,0.5,19594,0.6,13565,0.3,1070,0.2,305,0.0
3546,r021,All individuals -> Science -> Multidisciplinary and interdisciplinary studies,All individuals,Science,Multidisciplinary and interdisciplinary studies,,3,11181,0.3,8203,0.2,2978,0.4,972,0.5,820,0.0
3546,r022,All individuals -> Science -> Natural resources and conservation,All individuals,Science,Natural resources and conservation,,3,11743,1.5,8066,0.9,3677,2.9,806,2.6,582,2.6
3546,r023,All individuals -> Science -> Physical sciences,All individuals,Science,Physical sciences,,3,42867,0.8,6361,2.5,36506,0.5,7159,0.4,3316,0.2
3546,r024,All individuals -> Science -> Psychology,All individuals,Science,Psychology,,3,61069,1.2,40838,1.4,20231,0.8,1152,0.0,576,0.0
3546,r025,All individuals -> Science -> Social sciences,All individuals,Science,Social sciences,,3,78999,1.1,43607,1.3,35392,0.8,1762,0.0,1659,0.4
3546,r026,All individuals -> Engineering,All individuals,Engineering,,,2,164004,0.5,91939,0.5,72065,0.6,8266,0.1,3909,0.1
3546,r027,All individuals -> Health,All individuals,Health,,,2,72422,1.7,56494,1.6,15928,2.1,19478,0.1,7621,0.2
3546,r028,All individuals -> Health -> Clinical medicine<sup>b</sup>,All individuals,Health,Clinical medicine<sup>b</sup>,,3,30822,1.6,26251,1.4,4571,2.9,16650,0.05,6273,0.1
3546,r029,All individuals -> Health -> Other health,All individuals,Health,Other health,,3,41600,1.8,30243,1.8,11357,1.8,2828,0.4,1348,1.0
3546,r030,All individuals -> Black or African American individuals,All individuals,Black or African American individuals,,,2,,,,,,,,,,
3546,r031,All individuals -> Black or African American individuals -> Male,All individuals,Black or African American individuals,Male,,3,14725,9.6,10593,9.1,4132,10.6,433,2.8,na,na
3546,r032,All individuals -> Black or African American individuals -> Female,All individuals,Black or African American individuals,Female,,3,23323,11.0,17005,11.0,6318,10.8,655,3.1,na,na
3546,r033,All individuals -> Black or African American individuals -> Science,All individuals,Black or African American individuals,Science,,3,26450,10.9,18996,10.8,7454,10.9,537,4.5,na,na
3546,r034,All individuals -> Black or African American individuals -> Science -> Agricultural sciences,All individuals,Black or African American individuals,Science,Agricultural sciences,4,329,43.5,227,51.1,102,26.5,13,0.0,na,na
3546,r035,All individuals -> Black or African American individuals -> Science -> Biological and biomedical sciences,All individuals,Black or African American individuals,Science,Biological and biomedical sciences,4,5270,11.6,3210,13.4,2060,8.9,307,2.6,na,na
3546,r036,All individuals -> Black or African American individuals -> Science -> Computer and information sciences,All individuals,Black or African American individuals,Science,Computer and information sciences,4,5247,8.6,4803,8.2,444,12.6,7,0.0,na,na
3546,r037,"All individuals -> Black or African American individuals -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All individuals,Black or African American individuals,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,258,10.9,152,15.1,106,4.7,15,0.0,na,na
3546,r038,All individuals -> Black or African American individuals -> Science -> Mathematics and statistics,All individuals,Black or African American individuals,Science,Mathematics and statistics,4,716,11.0,519,11.6,197,9.6,9,0.0,na,na
3546,r039,All individuals -> Black or African American individuals -> Science -> Multidisciplinary and interdisciplinary studies,All individuals,Black or African American individuals,Science,Multidisciplinary and interdisciplinary studies,4,788,1.8,619,1.3,169,3.6,23,4.3,na,na
