table_id,row_id,_b_source_of_funds_and_r_d_field_b_full_path,_b_source_of_funds_and_r_d_field_b_level_1,_b_source_of_funds_and_r_d_field_b_level_2,_b_source_of_funds_and_r_d_field_b_level_3,_b_source_of_funds_and_r_d_field_b_hierarchy_depth,field_all_institutions,field_survey_population_short_form,field_survey_population_standard_form
12628,r001,All R&D expenditures,All R&D expenditures,,,1,108841148,160140,108681008
12628,r002,All R&D expenditures -> Federal government,All R&D expenditures,Federal government,,2,59678935,74942,59603993
12628,r003,All R&D expenditures -> State and local government,All R&D expenditures,State and local government,,2,5447408,9842,5437566
12628,r004,All R&D expenditures -> Institution funds,All R&D expenditures,Institution funds,,2,27702412,47583,27654829
12628,r005,All R&D expenditures -> Institution funds -> Institutionally financed research,All R&D expenditures,Institution funds,Institutionally financed research,3,19207031,40833,19166198
12628,r006,All R&D expenditures -> Institution funds -> Cost sharing,All R&D expenditures,Institution funds,Cost sharing,3,1720637,2651,1717986
12628,r007,All R&D expenditures -> Institution funds -> Unrecovered indirect costs,All R&D expenditures,Institution funds,Unrecovered indirect costs,3,6774744,4099,6770645
12628,r008,All R&D expenditures -> Business,All R&D expenditures,Business,,2,6230371,9243,6221128
12628,r009,All R&D expenditures -> Nonprofit organizations,All R&D expenditures,Nonprofit organizations,,2,6684772,13760,6671012
12628,r010,All R&D expenditures -> All other sources,All R&D expenditures,All other sources,,2,3097250,4770,3092480
12628,r011,All R&D expenditures -> Science,All R&D expenditures,Science,,2,84421994,114423,84307571
12628,r012,All R&D expenditures -> Science -> Computer and information sciences,All R&D expenditures,Science,Computer and information sciences,3,3625026,7678,3617348
12628,r013,"All R&D expenditures -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D expenditures,Science,"Geosciences, atmospheric sciences, and ocean sciences",3,4040379,7845,4032534
12628,r014,All R&D expenditures -> Science -> Life sciences,All R&D expenditures,Science,Life sciences,3,62256863,52503,62204360
12628,r015,All R&D expenditures -> Science -> Mathematics and statistics,All R&D expenditures,Science,Mathematics and statistics,3,1064557,3857,1060700
12628,r016,All R&D expenditures -> Science -> Physical sciences,All R&D expenditures,Science,Physical sciences,3,6965037,20268,6944769
12628,r017,All R&D expenditures -> Science -> Psychology,All R&D expenditures,Science,Psychology,3,1641784,3955,1637829
12628,r018,All R&D expenditures -> Science -> Social sciences,All R&D expenditures,Science,Social sciences,3,3628972,13745,3615227
12628,r019,All R&D expenditures -> Science -> Sciences nec,All R&D expenditures,Science,Sciences nec,3,1199376,4572,1194804
12628,r020,All R&D expenditures -> Engineering,All R&D expenditures,Engineering,,2,17475186,6740,17468446
12628,r021,All R&D expenditures -> Non-S&E,All R&D expenditures,Non-S&E,,2,6943968,38977,6904991
