table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_value_added_billions_,field_share_of_global_gdp_
1967,r001,All KTI industries,All KTI industries,,,1,9020.7,11.1
1967,r002,All KTI industries -> High R&D intensive industries,All KTI industries,High R&D intensive industries,,2,3241.8,4.0
1967,r003,All KTI industries -> High R&D intensive industries -> Aircraft,All KTI industries,High R&D intensive industries,Aircraft,3,243.1,0.3
1967,r004,"All KTI industries -> High R&D intensive industries -> Computer, electronic, and optical products",All KTI industries,High R&D intensive industries,"Computer, electronic, and optical products",3,1185.9,1.5
1967,r005,All KTI industries -> High R&D intensive industries -> Pharmaceuticals,All KTI industries,High R&D intensive industries,Pharmaceuticals,3,698.7,0.9
1967,r006,All KTI industries -> High R&D intensive industries -> Scientific R&D services,All KTI industries,High R&D intensive industries,Scientific R&D services,3,652.5,0.8
1967,r007,All KTI industries -> High R&D intensive industries -> Publishing (including software),All KTI industries,High R&D intensive industries,Publishing (including software),3,461.6,0.6
1967,r008,All KTI industries -> Medium-high R&D intensive industries,All KTI industries,Medium-high R&D intensive industries,,2,5778.9,7.1
1967,r009,All KTI industries -> Medium-high R&D intensive industries -> Chemicals excluding pharmaceuticals,All KTI industries,Medium-high R&D intensive industries,Chemicals excluding pharmaceuticals,3,1026.5,1.3
1967,r010,All KTI industries -> Medium-high R&D intensive industries -> Electrical equipment,All KTI industries,Medium-high R&D intensive industries,Electrical equipment,3,655.7,0.8
1967,r011,All KTI industries -> Medium-high R&D intensive industries -> IT services,All KTI industries,Medium-high R&D intensive industries,IT services,3,1621.8,2.0
1967,r012,All KTI industries -> Medium-high R&D intensive industries -> Other machinery and equipment,All KTI industries,Medium-high R&D intensive industries,Other machinery and equipment,3,1195.2,1.5
1967,r013,All KTI industries -> Medium-high R&D intensive industries -> Motor vehicles,All KTI industries,Medium-high R&D intensive industries,Motor vehicles,3,1109.7,1.4
1967,r014,All KTI industries -> Medium-high R&D intensive industries -> Railroads and military vehicles,All KTI industries,Medium-high R&D intensive industries,Railroads and military vehicles,3,119.9,0.1
1967,r015,All KTI industries -> Medium-high R&D intensive industries -> Weapons,All KTI industries,Medium-high R&D intensive industries,Weapons,3,50.1,0.1
