table_id,row_id,core_based_statistical_area_full_path,core_based_statistical_area_level_1,core_based_statistical_area_level_2,core_based_statistical_area_hierarchy_depth,field_cbsa_code,field_total,field_paid_for_by_the_company,field_paid_for_by_others
1382,r001,All locations,All locations,,1,,"['374,685', '&nbsp;']","['317,731', '&nbsp;']","['56,954', '&nbsp;']"
1382,r002,"All locations -> San Jose-Sunnyvale-Santa Clara, CA",All locations,"San Jose-Sunnyvale-Santa Clara, CA",2,41940,"['57,434', '&nbsp;']","['54,021', '&nbsp;']","['3,413', '&nbsp;']"
1382,r003,"All locations -> San Francisco-Oakland-Hayward, CA",All locations,"San Francisco-Oakland-Hayward, CA",2,41860,"['27,961', '&nbsp;']","['26,799', '&nbsp;']","['1,162', '&nbsp;']"
1382,r004,"All locations -> New York-Newark-Jersey City, NY-NJ-PA",All locations,"New York-Newark-Jersey City, NY-NJ-PA",2,35620,"['24,024', 'i']","['20,520', 'i']","['3,503', '&nbsp;']"
1382,r005,"All locations -> Boston-Cambridge-Newton, MA-NH",All locations,"Boston-Cambridge-Newton, MA-NH",2,14460,"['19,899', '&nbsp;']","['16,952', '&nbsp;']","['2,947', 'i']"
1382,r006,"All locations -> Seattle-Tacoma-Bellevue, WA",All locations,"Seattle-Tacoma-Bellevue, WA",2,42660,"['18,606', '&nbsp;']","['18,061', '&nbsp;']","['545', '&nbsp;']"
1382,r007,"All locations -> Los Angeles-Long Beach-Anaheim, CA",All locations,"Los Angeles-Long Beach-Anaheim, CA",2,31080,"['15,803', 'i']","['11,607', 'i']","['4,195', 'i']"
1382,r008,"All locations -> Detroit-Warren-Dearborn, MI",All locations,"Detroit-Warren-Dearborn, MI",2,19820,"['15,408', '&nbsp;']","['14,689', '&nbsp;']","['719', '&nbsp;']"
1382,r009,"All locations -> Chicago-Naperville-Elgin, IL-IN-WI",All locations,"Chicago-Naperville-Elgin, IL-IN-WI",2,16980,"['10,626', '&nbsp;']","['8,851', '&nbsp;']","['1,774', '&nbsp;']"
1382,r010,"All locations -> Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All locations,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2,37980,"['10,498', 'i']","['8,939', 'i']","['1,560', '&nbsp;']"
1382,r011,"All locations -> San Diego-Carlsbad, CA",All locations,"San Diego-Carlsbad, CA",2,41740,"['10,423', 'i']","['8,460', 'i']","['1,962', 'i']"
1382,r012,"All locations -> Minneapolis-St. Paul-Bloomington, MN-WI",All locations,"Minneapolis-St. Paul-Bloomington, MN-WI",2,33460,"['6,375', '&nbsp;']","['5,926', '&nbsp;']","['449', '&nbsp;']"
1382,r013,"All locations -> Portland-Vancouver-Hillsboro, OR-WA",All locations,"Portland-Vancouver-Hillsboro, OR-WA",2,38900,"['6,254', '&nbsp;']","['6,098', '&nbsp;']","['156', 'i']"
1382,r014,"All locations -> Dallas-Fort Worth-Arlington, TX",All locations,"Dallas-Fort Worth-Arlington, TX",2,19100,"['5,698', 'i']","['4,299', 'i']","['1,399', 'i']"
1382,r015,"All locations -> Austin-Round Rock, TX",All locations,"Austin-Round Rock, TX",2,12420,"['5,250', 'i']","['5,022', 'i']","['228', '&nbsp;']"
1382,r016,"All locations -> Houston-The Woodlands-Sugar Land, TX",All locations,"Houston-The Woodlands-Sugar Land, TX",2,26420,"['5,007', 'i']","['4,364', 'i']","['643', '&nbsp;']"
1382,r017,"All locations -> Phoenix-Mesa-Scottsdale, AZ",All locations,"Phoenix-Mesa-Scottsdale, AZ",2,38060,"['4,895', 'i']","['3,587', 'i']","['1,308', 'i']"
1382,r018,"All locations -> St. Louis, MO-IL",All locations,"St. Louis, MO-IL",2,41180,"['4,809', 'i']","['2,556', 'i']","['2,252', 'i']"
1382,r019,"All locations -> Washington-Arlington-Alexandria, DC-VA-MD-WV",All locations,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2,47900,"['4,691', 'i']","['2,773', '&nbsp;']","['1,918', 'i']"
1382,r020,"All locations -> Atlanta-Sandy Springs-Roswell, GA",All locations,"Atlanta-Sandy Springs-Roswell, GA",2,12060,"['4,578', '&nbsp;']","['3,643', '&nbsp;']","['935', 'i']"
1382,r021,"All locations -> Norwich-New London, CT",All locations,"Norwich-New London, CT",2,35980,"['4,140', 'i']","['D', '&nbsp;']","['D', '&nbsp;']"
1382,r022,"All locations -> Indianapolis-Carmel-Anderson, IN",All locations,"Indianapolis-Carmel-Anderson, IN",2,26900,"['4,013', '&nbsp;']","['3,175', '&nbsp;']","['838', '&nbsp;']"
1382,r023,"All locations -> Durham-Chapel Hill, NC",All locations,"Durham-Chapel Hill, NC",2,20500,"['3,564', 'i']","['2,139', 'i']","['1,425', 'i']"
1382,r024,"All locations -> Cincinnati, OH-KY-IN",All locations,"Cincinnati, OH-KY-IN",2,17140,"['3,314', '&nbsp;']","['2,624', '&nbsp;']","['690', '&nbsp;']"
1382,r025,"All locations -> Baltimore-Columbia-Towson, MD",All locations,"Baltimore-Columbia-Towson, MD",2,12580,"['3,109', '&nbsp;']","['1,496', '&nbsp;']","['1,612', '&nbsp;']"
1382,r026,"All locations -> Raleigh, NC",All locations,"Raleigh, NC",2,39580,"['3,060', '&nbsp;']","['1,883', '&nbsp;']","['1,177', '&nbsp;']"
1382,r027,"All locations -> Kansas City, MO-KS",All locations,"Kansas City, MO-KS",2,28140,"['2,217', '&nbsp;']","['1,451', '&nbsp;']","['766', 'i']"
1382,r028,"All locations -> Oxnard-Thousand Oaks-Ventura, CA",All locations,"Oxnard-Thousand Oaks-Ventura, CA",2,37100,"['2,156', 'i']","['1,866', 'i']","['290', '&nbsp;']"
1382,r029,"All locations -> Salt Lake City, UT",All locations,"Salt Lake City, UT",2,41620,"['2,014', 'i']","['1,858', 'i']","['156', 'i']"
1382,r030,"All locations -> Miami-Fort Lauderdale-West Palm Beach, FL",All locations,"Miami-Fort Lauderdale-West Palm Beach, FL",2,33100,"['1,852', 'i']","['1,636', 'i']","['216', 'i']"
1382,r031,"All locations -> Columbus, OH",All locations,"Columbus, OH",2,18140,"['1,845', '&nbsp;']","['683', 'i']","['1,162', '&nbsp;']"
1382,r032,"All locations -> Albany-Schenectady-Troy, NY",All locations,"Albany-Schenectady-Troy, NY",2,10580,"['1,835', '&nbsp;']","['1,597', '&nbsp;']","['238', '&nbsp;']"
1382,r033,"All locations -> Denver-Aurora-Lakewood, CO",All locations,"Denver-Aurora-Lakewood, CO",2,19740,"['1,811', 'i']","['1,596', 'i']","['214', 'i']"
1382,r034,"All locations -> Pittsburgh, PA",All locations,"Pittsburgh, PA",2,38300,"['1,802', 'i']","['1,697', 'i']","['105', 'i']"
1382,r035,"All locations -> Charlotte-Concord-Gastonia, NC-SC",All locations,"Charlotte-Concord-Gastonia, NC-SC",2,16740,"['1,758', 'i']","['1,644', 'i']","['114', 'i']"
1382,r036,"All locations -> Hartford-West Hartford-East Hartford, CT",All locations,"Hartford-West Hartford-East Hartford, CT",2,25540,"['1,703', '&nbsp;']","['1,243', '&nbsp;']","['461', '&nbsp;']"
1382,r037,"All locations -> Milwaukee-Waukesha-West Allis, WI",All locations,"Milwaukee-Waukesha-West Allis, WI",2,33340,"['1,650', '&nbsp;']","['1,552', '&nbsp;']","['98', 'i']"
1382,r038,"All locations -> Madison, WI",All locations,"Madison, WI",2,31540,"['1,575', '&nbsp;']","['1,170', '&nbsp;']","['405', '&nbsp;']"
1382,r039,"All locations -> Boise City, ID",All locations,"Boise City, ID",2,14260,"['1,469', '&nbsp;']","['1,292', '&nbsp;']","['177', '&nbsp;']"
1382,r040,"All locations -> Manchester-Nashua, NH",All locations,"Manchester-Nashua, NH",2,31700,"['1,428', '&nbsp;']","['388', '&nbsp;']","['1,040', '&nbsp;']"
1382,r041,"All locations -> Boulder, CO",All locations,"Boulder, CO",2,14500,"['1,304', 'i']","['1,182', 'i']","['123', 'i']"
1382,r042,"All locations -> Trenton, NJ",All locations,"Trenton, NJ",2,45940,"['1,302', '&nbsp;']","['796', '&nbsp;']","['505', 'i']"
1382,r043,"All locations -> Peoria, IL",All locations,"Peoria, IL",2,37900,"['1,285', 'i']","['1,262', 'i']","['23', 'i']"
1382,r044,"All locations -> Tampa-St. Petersburg-Clearwater, FL",All locations,"Tampa-St. Petersburg-Clearwater, FL",2,45300,"['1,285', 'i']","['962', '&nbsp;']","['322', 'i']"
1382,r045,"All locations -> Cleveland-Elyria, OH",All locations,"Cleveland-Elyria, OH",2,17460,"['1,276', '&nbsp;']","['1,129', '&nbsp;']","['147', 'i']"
1382,r046,"All locations -> Bridgeport-Stamford-Norwalk, CT",All locations,"Bridgeport-Stamford-Norwalk, CT",2,14860,"['1,232', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1382,r047,"All locations -> Tucson, AZ",All locations,"Tucson, AZ",2,46060,"['1,214', 'i']","['840', 'i']","['373', 'i']"
1382,r048,"All locations -> Palm Bay-Melbourne-Titusville, FL",All locations,"Palm Bay-Melbourne-Titusville, FL",2,37340,"['1,168', 'i']","['334', 'i']","['834', 'i']"
1382,r049,"All locations -> Huntsville, AL",All locations,"Huntsville, AL",2,26620,"['1,139', '&nbsp;']","['385', '&nbsp;']","['753', '&nbsp;']"
1382,r050,"All locations -> Worcester, MA-CT",All locations,"Worcester, MA-CT",2,49340,"['1,131', 'i']","['860', 'i']","['271', 'i']"
1382,r051,"All locations -> Rochester, NY",All locations,"Rochester, NY",2,40380,"['1,121', 'i']","['1,082', 'i']","['39', 'i']"
1382,r052,"All locations -> Providence-Warwick, RI-MA",All locations,"Providence-Warwick, RI-MA",2,39300,"['1,088', 'i']","['1,015', 'i']","['72', '&nbsp;']"
1382,r053,"All locations -> Sacramento&#8211;Roseville&#8211;Arden-Arcade, CA",All locations,"Sacramento&#8211;Roseville&#8211;Arden-Arcade, CA",2,40900,"['1,061', 'i']","['710', 'i']","['351', 'i']"
1382,r054,"All locations -> Lancaster, PA",All locations,"Lancaster, PA",2,29540,"['1,014', 'i']","['909', 'i']","['105', 'i']"
1382,r055,"All locations -> Des Moines-West Des Moines, IA",All locations,"Des Moines-West Des Moines, IA",2,19780,"['974', '&nbsp;']","['966', '&nbsp;']","['9', 'e']"
1382,r056,"All locations -> New Haven-Milford, CT",All locations,"New Haven-Milford, CT",2,35300,"['813', 'i']","['791', 'i']","['23', 'i']"
1382,r057,"All locations -> Orlando-Kissimmee-Sanford, FL",All locations,"Orlando-Kissimmee-Sanford, FL",2,36740,"['750', 'i']","['547', 'i']","['203', 'i']"
1382,r058,"All locations -> Buffalo-Cheektowaga-Niagara Falls, NY",All locations,"Buffalo-Cheektowaga-Niagara Falls, NY",2,15380,"['750', 'i']","['495', 'i']","['255', 'i']"
1382,r059,"All locations -> Akron, OH",All locations,"Akron, OH",2,10420,"['747', '&nbsp;']","['678', '&nbsp;']","['69', 'i']"
1382,r060,"All locations -> Cedar Rapids, IA",All locations,"Cedar Rapids, IA",2,16300,"['746', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
1382,r061,"All locations -> Ogden-Clearfield, UT",All locations,"Ogden-Clearfield, UT",2,36260,"['728', '&nbsp;']","['396', '&nbsp;']","['332', '&nbsp;']"
1382,r062,"All locations -> Riverside-San Bernardino-Ontario, CA",All locations,"Riverside-San Bernardino-Ontario, CA",2,40140,"['706', 'i']","['643', 'i']","['63', 'i']"
1382,r063,"All locations -> Bloomington, IL",All locations,"Bloomington, IL",2,14010,"['699', '&nbsp;']","['694', '&nbsp;']","['5', 'i']"
1382,r064,"All locations -> Corning, NY",All locations,"Corning, NY",2,18500,"['659', '&nbsp;']","['659', '&nbsp;']","['*', 'e']"
1382,r065,"All locations -> Grand Rapids-Wyoming, MI",All locations,"Grand Rapids-Wyoming, MI",2,24340,"['652', '&nbsp;']","['545', '&nbsp;']","['108', '&nbsp;']"
1382,r066,"All locations -> Santa Rosa, CA",All locations,"Santa Rosa, CA",2,42220,"['613', 'i']","['600', 'i']","['14', 'i']"
1382,r067,"All locations -> Provo-Orem, UT",All locations,"Provo-Orem, UT",2,39340,"['604', '&nbsp;']","['521', 'i']","['83', '&nbsp;']"
1382,r068,"All locations -> Richmond, VA",All locations,"Richmond, VA",2,40060,"['582', 'i']","['532', 'i']","['50', 'i']"
1382,r069,"All locations -> Greensboro-High Point, NC",All locations,"Greensboro-High Point, NC",2,24660,"['551', 'i']","['521', 'i']","['31', '&nbsp;']"
1382,r070,"All locations -> Jacksonville, FL",All locations,"Jacksonville, FL",2,27260,"['545', 'i']","['453', 'i']","['92', 'i']"
1382,r071,"All locations -> Wichita, KS",All locations,"Wichita, KS",2,48620,"['536', '&nbsp;']","['523', '&nbsp;']","['14', 'i']"
1382,r072,"All locations -> San Antonio-New Braunfels, TX",All locations,"San Antonio-New Braunfels, TX",2,41700,"['536', 'i']","['469', 'i']","['68', 'i']"
1382,r073,"All locations -> Colorado Springs, CO",All locations,"Colorado Springs, CO",2,17820,"['526', 'i']","['390', 'i']","['136', 'i']"
1382,r074,"All locations -> Allentown-Bethlehem-Easton, PA-NJ",All locations,"Allentown-Bethlehem-Easton, PA-NJ",2,10900,"['497', 'i']","['480', 'i']","['16', 'i']"
1382,r075,"All locations -> Dayton, OH",All locations,"Dayton, OH",2,19380,"['496', 'i']","['271', 'i']","['224', '&nbsp;']"
1382,r076,"All locations -> Oshkosh-Neenah, WI",All locations,"Oshkosh-Neenah, WI",2,36780,"['495', '&nbsp;']","['494', '&nbsp;']","['1', 'e']"
1382,r077,"All locations -> Omaha-Council Bluffs, NE-IA",All locations,"Omaha-Council Bluffs, NE-IA",2,36540,"['484', '&nbsp;']","['381', '&nbsp;']","['103', '&nbsp;']"
1382,r078,"All locations -> Syracuse, NY",All locations,"Syracuse, NY",2,45060,"['477', 'i']","['354', '&nbsp;']","['122', 'i']"
1382,r079,"All locations -> Ann Arbor, MI",All locations,"Ann Arbor, MI",2,11460,"['476', '&nbsp;']","['294', 'i']","['182', '&nbsp;']"
1382,r080,"All locations -> Niles-Benton Harbor, MI",All locations,"Niles-Benton Harbor, MI",2,35660,"['450', '&nbsp;']","['447', '&nbsp;']","['4', '&nbsp;']"
1382,r081,"All locations -> Memphis, TN-MS-AR",All locations,"Memphis, TN-MS-AR",2,32820,"['448', 'i']","['430', 'i']","['19', 'i']"
1382,r082,"All locations -> Columbus, IN",All locations,"Columbus, IN",2,18020,"['439', '&nbsp;']","['381', 'i']","['58', '&nbsp;']"
1382,r083,"All locations -> Santa Maria-Santa Barbara, CA",All locations,"Santa Maria-Santa Barbara, CA",2,42200,"['438', 'i']","['313', 'i']","['125', 'i']"
1382,r084,"All locations -> Albuquerque, NM",All locations,"Albuquerque, NM",2,10740,"['433', 'i']","['283', '&nbsp;']","['150', 'i']"
1382,r085,"All locations -> Kalamazoo-Portage, MI",All locations,"Kalamazoo-Portage, MI",2,28020,"['417', '&nbsp;']","['156', '&nbsp;']","['261', '&nbsp;']"
