table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
7867,r001,FYs 1986&#8211;87,All sources,,1,837.9
7867,r002,FYs 1986&#8211;87,Government,Federal,2,27.3
7867,r003,FYs 1986&#8211;87,Government,State and local,2,233.1
7867,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,577.5
7867,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,792.7
7867,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,23.5
7867,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,201.7
7867,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,567.5
7867,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,45.2
7867,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,3.7
7867,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,31.4
7867,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,10.1
7867,r013,FYs 1988&#8211;89,All sources,,1,1009.5
7867,r014,FYs 1988&#8211;89,Government,Federal,2,61.1
7867,r015,FYs 1988&#8211;89,Government,State and local,2,233.8
7867,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,714.6
7867,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,979.2
7867,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,55.9
7867,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,226.6
7867,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,696.7
7867,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,30.3
7867,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,5.1
7867,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,7.1
7867,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,18.1
7867,r025,FYs 1990&#8211;91,All sources,,1,825.7
7867,r026,FYs 1990&#8211;91,Government,Federal,2,49.0
7867,r027,FYs 1990&#8211;91,Government,State and local,2,243.0
7867,r028,FYs 1990&#8211;91,Institutional funds and other sourcesa,,1,533.7
7867,r029,FYs 1990&#8211;91 -> Doctorate granting,All sources,,1,794.1
7867,r030,FYs 1990&#8211;91 -> Doctorate granting,Government,Federal,2,48.3
7867,r031,FYs 1990&#8211;91 -> Doctorate granting,Government,State and local,2,227.3
7867,r032,FYs 1990&#8211;91 -> Doctorate granting,Institutional funds and other sourcesa,,1,518.5
7867,r033,FYs 1990&#8211;91 -> Nondoctorate granting,All sources,,1,31.6
7867,r034,FYs 1990&#8211;91 -> Nondoctorate granting,Government,Federal,2,0.7
7867,r035,FYs 1990&#8211;91 -> Nondoctorate granting,Government,State and local,2,15.8
7867,r036,FYs 1990&#8211;91 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,15.1
7867,r037,FYs 1992&#8211;93,All sources,,1,835.4
7867,r038,FYs 1992&#8211;93,Government,Federal,2,56.2
7867,r039,FYs 1992&#8211;93,Government,State and local,2,252.4
7867,r040,FYs 1992&#8211;93,Institutional funds and other sourcesa,,1,526.8
7867,r041,FYs 1992&#8211;93 -> Doctorate granting,All sources,,1,803.0
7867,r042,FYs 1992&#8211;93 -> Doctorate granting,Government,Federal,2,47.0
7867,r043,FYs 1992&#8211;93 -> Doctorate granting,Government,State and local,2,244.0
7867,r044,FYs 1992&#8211;93 -> Doctorate granting,Institutional funds and other sourcesa,,1,512.0
7867,r045,FYs 1992&#8211;93 -> Nondoctorate granting,All sources,,1,32.4
7867,r046,FYs 1992&#8211;93 -> Nondoctorate granting,Government,Federal,2,9.2
7867,r047,FYs 1992&#8211;93 -> Nondoctorate granting,Government,State and local,2,8.4
7867,r048,FYs 1992&#8211;93 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,14.8
7867,r049,FYs 1994&#8211;95,All sources,,1,1058.1
7867,r050,FYs 1994&#8211;95,Government,Federal,2,110.7
7867,r051,FYs 1994&#8211;95,Government,State and local,2,265.5
7867,r052,FYs 1994&#8211;95,Institutional funds and other sourcesa,,1,681.9
7867,r053,FYs 1994&#8211;95 -> Doctorate granting,All sources,,1,981.3
7867,r054,FYs 1994&#8211;95 -> Doctorate granting,Government,Federal,2,101.9
7867,r055,FYs 1994&#8211;95 -> Doctorate granting,Government,State and local,2,233.0
7867,r056,FYs 1994&#8211;95 -> Doctorate granting,Institutional funds and other sourcesa,,1,646.4
7867,r057,FYs 1994&#8211;95 -> Nondoctorate granting,All sources,,1,76.8
7867,r058,FYs 1994&#8211;95 -> Nondoctorate granting,Government,Federal,2,8.8
7867,r059,FYs 1994&#8211;95 -> Nondoctorate granting,Government,State and local,2,32.6
7867,r060,FYs 1994&#8211;95 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,35.4
7867,r061,FYs 1996&#8211;97,All sources,,1,1324.5
