table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2017,field_total_2018,field_total_2019,field_total_2020,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019,field_federally_financed_2020
4582,r001,All FFRDCs,All FFRDCs,,,1,"['20,038,307', ' ']","['21,171,529', ' ']","['22,737,500', ' ']","['23,514,241', ' ']","['19,667,804', ' ']","['20,770,388', ' ']","['22,338,855', ' ']","['23,133,501', ' ']"
4582,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,155,252', ' ']","['6,715,338', ' ']","['6,946,262', ' ']","['7,003,132', ' ']","['6,013,003', ' ']","['6,560,094', ' ']","['6,796,696', ' ']","['6,867,741', ' ']"
4582,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['53,527', '']","['36,858', '']","['33,612', '']","['32,844', '']","['52,830', '']","['35,696', '']","['33,211', '']","['32,302', '']"
4582,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['723,824', '']","['777,246', '']","['810,693', '']","['859,658', '']","['690,234', '']","['747,349', '']","['787,513', '']","['840,237', '']"
4582,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['320,516', '']","['328,419', '']","['334,258', '']","['300,002', '']","['319,559', '']","['327,630', '']","['333,460', '']","['299,811', '']"
4582,r006,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,324,826', '']","['2,733,908', '']","['2,709,063', '']","['2,638,412', '']","['2,324,826', '']","['2,733,908', '']","['2,709,063', '']","['2,638,412', '']"
4582,r007,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['813,267', '']","['832,457', '']","['872,237', '']","['916,082', '']","['755,899', '']","['769,839', '']","['807,967', '']","['862,965', '']"
4582,r008,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['969,090', '']","['1,013,320', '']","['1,103,870', '']","['1,115,927', '']","['963,584', '']","['1,001,849', '']","['1,084,953', '']","['1,093,081', '']"
4582,r009,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['171,551', '']","['158,260', '']","['199,476', '']","['188,484', '']","['151,138', '']","['139,532', '']","['187,615', '']","['175,316', '']"
4582,r010,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['91,720', '']","['100,691', '']","['101,901', '']","['100,078', '']","['89,791', '']","['98,642', '']","['99,881', '']","['98,458', '']"
4582,r011,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['11,841', '']","['14,733', '']","['15,931', '']","['16,892', '']","['11,833', '']","['14,027', '']","['15,892', '']","['16,472', '']"
4582,r012,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory,All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory,3,"['25,906', '']","['33,874', '']","['38,262', '']","['72,686', '']","['22,479', '']","['24,172', '']","['28,760', '']","['69,685', '']"
4582,r013,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['81,444', '']","['82,435', '']","['91,271', '']","['107,662', '']","['81,123', '']","['82,057', '']","['91,119', '']","['103,856', '']"
4582,r014,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['327,453', '']","['341,615', '']","['368,938', '']","['382,264', '']","['311,686', '']","['326,587', '']","['352,527', '']","['366,936', '']"
4582,r015,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['132,967', '']","['142,891', '']","['140,954', '']","['141,291', '']","['132,870', '']","['142,877', '']","['140,940', '']","['141,291', '']"
4582,r016,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['107,320', '']","['118,631', '']","['125,796', '']","['130,850', '']","['105,151', '']","['115,929', '']","['123,795', '']","['128,919', '']"
4582,r017,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,"['6,413,612', ' ']","['6,617,274', ' ']","['7,033,162', ' ']","['7,419,509', ' ']","['6,297,166', ' ']","['6,490,564', ' ']","['6,891,730', ' ']","['7,279,066', ' ']"
4582,r018,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"['942,704', '']","['1,020,827', '']","['1,065,989', '']","['1,114,741', '']","['939,793', '']","['1,018,425', '']","['1,062,804', '']","['1,109,291', '']"
4582,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"['42,723', '']","['39,738', '']","['37,956', '']","['35,248', '']","['42,723', '']","['39,738', '']","['37,956', '']","['35,248', '']"
