table_id,row_id,fine_field_of_study_full_path,fine_field_of_study_level_1,fine_field_of_study_level_2,fine_field_of_study_level_3,fine_field_of_study_level_4,fine_field_of_study_level_5,fine_field_of_study_hierarchy_depth,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1748,r001,All fields,All fields,,,,,1,49552,48028,48910,50943,52703,53989,54889,54798,54559,55195
1748,r002,All fields -> Life sciences,All fields,Life sciences,,,,2,11403,11319,11535,11964,12207,12484,12493,12536,12555,12780
1748,r003,All fields -> Life sciences -> Agricultural sciences and natural resources,All fields,Life sciences,Agricultural sciences and natural resources,,,3,1283,1100,1206,1255,1324,1338,1434,1378,1494,1445
1748,r004,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,,4,737,668,669,735,786,793,831,780,906,875
1748,r005,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural economics,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural economics,5,116,118,106,88,107,96,101,113,144,108
1748,r006,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural and horticultural plant breeding,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural and horticultural plant breeding,5,24,31,23,31,21,39,43,61,53,67
1748,r007,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agricultural animal breeding,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agricultural animal breeding,5,12,7,7,6,8,na,na,na,na,na
1748,r008,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Agronomy and crop science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Agronomy and crop science,5,77,69,54,73,86,80,81,82,100,80
1748,r009,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal nutrition,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Animal nutrition,5,34,34,48,57,54,50,40,42,27,36
1748,r010,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal science, poultry or avian",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Animal science, poultry or avian",5,17,12,25,22,23,25,31,21,20,32
1748,r011,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Animal sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Animal sciences, other",5,74,54,69,75,85,103,90,83,107,121
1748,r012,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Food science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Food science,5,110,100,73,108,105,93,125,122,123,112
1748,r013,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Food science and technology, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Food science and technology, other",5,30,37,39,35,48,39,47,40,49,51
1748,r014,All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Horticulture science,All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,Horticulture science,5,55,42,48,40,41,51,50,32,42,46
1748,r015,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Plant pathology and phytopathology, agricultural",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Plant pathology and phytopathology, agricultural",5,61,56,53,71,74,74,57,73,106,90
1748,r016,"All fields -> Life sciences -> Agricultural sciences and natural resources -> Agricultural sciences -> Plant sciences, other",All fields,Life sciences,Agricultural sciences and natural resources,Agricultural sciences,"Plant sciences, other",5,60,49,51,77,67,78,95,50,63,66
