table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
12546,r001,United States<sup>a</sup>,United States<sup>a</sup>,,1,741613066,330196996,374463127,7611901,9340269,16180534,3820239
12546,r002,United States<sup>a</sup> -> Alabama,United States<sup>a</sup>,Alabama,2,8885851,5362860,2983621,3570,49726,0,486074
12546,r003,United States<sup>a</sup> -> Alaska,United States<sup>a</sup>,Alaska,2,14118929,4446385,6611844,3060700,0,0,0
12546,r004,United States<sup>a</sup> -> Arizona,United States<sup>a</sup>,Arizona,2,2901013,1833935,1067078,0,0,0,0
12546,r005,United States<sup>a</sup> -> Arkansas,United States<sup>a</sup>,Arkansas,2,391998,155472,236526,0,0,0,0
12546,r006,United States<sup>a</sup> -> California,United States<sup>a</sup>,California,2,97801248,6452601,91230650,117997,0,0,0
12546,r007,United States<sup>a</sup> -> Colorado,United States<sup>a</sup>,Colorado,2,10548105,2677246,7856742,0,0,14117,0
12546,r008,United States<sup>a</sup> -> Connecticut,United States<sup>a</sup>,Connecticut,2,29335244,12815756,16519488,0,0,0,0
12546,r009,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,2,1600464,482103,1118361,0,0,0,0
12546,r010,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,2,7041016,5922231,1118785,0,0,0,0
12546,r011,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,2,53921437,15408355,34178921,18770,55777,3638602,621012
12546,r012,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,2,2930709,2670800,0,0,0,259909,0
12546,r013,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,2,628842,628842,0,0,0,0,0
12546,r014,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,2,7349090,6285004,947747,15820,12311,88208,0
12546,r015,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,2,554067,0,554067,0,0,0,0
12546,r016,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,2,1902083,640523,1261560,0,0,0,0
12546,r017,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,2,1366776,790341,411891,0,164544,0,0
12546,r018,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,2,2166223,1362879,746217,0,0,0,57127
12546,r019,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,2,4842218,3311421,1530797,0,0,0,0
12546,r020,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,2,10567296,7776412,2790884,0,0,0,0
12546,r021,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,2,12319129,9237122,2315084,1181,755391,0,10351
12546,r022,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,2,622465,325652,296813,0,0,0,0
12546,r023,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,2,1690736,175660,1215076,300000,0,0,0
12546,r024,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,2,143576,96095,47481,0,0,0,0
12546,r025,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,2,3138073,1655657,1482416,0,0,0,0
12546,r026,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,2,2030108,1193240,374157,462711,0,0,0
12546,r027,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,2,4589925,1538039,3051886,0,0,0,0
12546,r028,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,2,3806428,2707280,1038300,0,60848,0,0
12546,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,74500,0,74500,0,0,0,0
12546,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,256192,186169,70023,0,0,0,0
12546,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,89546,71637,17909,0,0,0,0
12546,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,3917853,622467,3295386,0,0,0,0
12546,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,781067,601104,179963,0,0,0,0
