table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_basic_research,field_applied_research,field_development
8827,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['71,457', '&nbsp;']","['6,688', '&nbsp;']","['15,468', '&nbsp;']","['49,301', '&nbsp;']"
8827,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['43,848', '&nbsp;']","['4,576', 'i']","['8,075', 'i']","['31,197', '&nbsp;']"
8827,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['254', '&nbsp;']","['27', '&nbsp;']","['62', '&nbsp;']","['166', '&nbsp;']"
8827,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['121', '&nbsp;']","['41', '&nbsp;']","['6', '&nbsp;']","['74', '&nbsp;']"
8827,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']"
8827,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']"
8827,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']"
8827,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '&nbsp;']","['*', 'i']","['1', 'i']","['1', 'i']"
8827,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['89 - 103', '&nbsp;']","['13 - 32', '&nbsp;']","['0 - 35', '&nbsp;']","['31 - 77', '&nbsp;']"
8827,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['11,675', '&nbsp;']","['2,265', '&nbsp;']","['2,540', '&nbsp;']","['6,870', '&nbsp;']"
8827,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['171', '&nbsp;']","['15', '&nbsp;']","['50', '&nbsp;']","['106', '&nbsp;']"
8827,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['73', '&nbsp;']","['13', 'i']","['15', 'i']","['45', 'i']"
