table_id,row_id,_b_r_d_field_b_full_path,_b_r_d_field_b_level_1,_b_r_d_field_b_level_2,_b_r_d_field_b_level_3,_b_r_d_field_b_level_4,_b_r_d_field_b_hierarchy_depth,field_total_all_r_d_expenditures,field_total_imputed_amount,field_total_imputed_amount_as_of_total,field_federally_financed_all_r_d_expenditures,field_federally_financed_imputed_amount,field_federally_financed_imputed_amount_as_of_total
3214,r001,All R&D fields,All R&D fields,,,,1,2433525,5699,0.2,1065901,4012,0.4
3214,r002,All R&D fields -> All science and engineering,All R&D fields,All science and engineering,,,2,2386723,92094,3.9,1060398,32700,3.1
3214,r003,All R&D fields -> All science and engineering -> Computer and information sciences,All R&D fields,All science and engineering,Computer and information sciences,,3,81785,10641,13.0,44768,1961,4.4
3214,r004,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",,3,108984,2495,2.3,69685,280,0.4
3214,r005,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,19105,621,3.3,13554,71,0.5
3214,r006,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,38369,671,1.7,17984,84,0.5
3214,r007,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,42810,674,1.6,32883,84,0.3
3214,r008,"All R&D fields -> All science and engineering -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,All science and engineering,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,8700,529,6.1,5264,41,0.8
3214,r009,All R&D fields -> All science and engineering -> Life sciences,All R&D fields,All science and engineering,Life sciences,,3,968567,17884,1.8,376377,10136,2.7
3214,r010,All R&D fields -> All science and engineering -> Life sciences -> Agricultural sciences,All R&D fields,All science and engineering,Life sciences,Agricultural sciences,4,80396,168,0.2,18556,110,0.6
3214,r011,All R&D fields -> All science and engineering -> Life sciences -> Biological and biomedical sciences,All R&D fields,All science and engineering,Life sciences,Biological and biomedical sciences,4,450427,10670,2.4,207058,5509,2.7
3214,r012,All R&D fields -> All science and engineering -> Life sciences -> Health sciences,All R&D fields,All science and engineering,Life sciences,Health sciences,4,388011,6984,1.8,136534,4497,3.3
3214,r013,All R&D fields -> All science and engineering -> Life sciences -> Natural resources and conservation,All R&D fields,All science and engineering,Life sciences,Natural resources and conservation,4,11721,42,0.4,3532,16,0.5
3214,r014,All R&D fields -> All science and engineering -> Life sciences -> Life sciences nec,All R&D fields,All science and engineering,Life sciences,Life sciences nec,4,38012,20,0.1,10697,4,0.0
3214,r015,All R&D fields -> All science and engineering -> Mathematics and statistics,All R&D fields,All science and engineering,Mathematics and statistics,,3,7938,3064,38.6,4323,852,19.7
3214,r016,All R&D fields -> All science and engineering -> Physical sciences,All R&D fields,All science and engineering,Physical sciences,,3,378838,14748,3.9,239981,4554,1.9
3214,r017,All R&D fields -> All science and engineering -> Physical sciences -> Astronomy and astrophysics,All R&D fields,All science and engineering,Physical sciences,Astronomy and astrophysics,4,31787,3679,11.6,18658,1484,8.0
3214,r018,All R&D fields -> All science and engineering -> Physical sciences -> Chemistry,All R&D fields,All science and engineering,Physical sciences,Chemistry,4,124277,976,0.8,69812,598,0.9
3214,r019,All R&D fields -> All science and engineering -> Physical sciences -> Materials science,All R&D fields,All science and engineering,Physical sciences,Materials science,4,17684,76,0.4,10769,76,0.7
3214,r020,All R&D fields -> All science and engineering -> Physical sciences -> Physics,All R&D fields,All science and engineering,Physical sciences,Physics,4,180942,7045,3.9,131221,2114,1.6
3214,r021,All R&D fields -> All science and engineering -> Physical sciences -> Physical sciences nec,All R&D fields,All science and engineering,Physical sciences,Physical sciences nec,4,24148,2972,12.3,9521,282,3.0
3214,r022,All R&D fields -> All science and engineering -> Psychology,All R&D fields,All science and engineering,Psychology,,3,16725,310,1.9,8047,285,3.5
3214,r023,All R&D fields -> All science and engineering -> Social sciences,All R&D fields,All science and engineering,Social sciences,,3,15003,344,2.3,3605,103,2.9
3214,r024,All R&D fields -> All science and engineering -> Social sciences -> Anthropology,All R&D fields,All science and engineering,Social sciences,Anthropology,4,1757,2,0.1,316,1,0.3
3214,r025,All R&D fields -> All science and engineering -> Social sciences -> Economics,All R&D fields,All science and engineering,Social sciences,Economics,4,1369,13,0.9,105,3,2.9
3214,r026,All R&D fields -> All science and engineering -> Social sciences -> Political science and government,All R&D fields,All science and engineering,Social sciences,Political science and government,4,1224,22,1.8,356,3,0.8
3214,r027,"All R&D fields -> All science and engineering -> Social sciences -> Sociology, demography, and population studies",All R&D fields,All science and engineering,Social sciences,"Sociology, demography, and population studies",4,1891,249,13.2,566,80,14.1
3214,r028,All R&D fields -> All science and engineering -> Social sciences -> Social sciences nec,All R&D fields,All science and engineering,Social sciences,Social sciences nec,4,8762,58,0.7,2262,16,0.7
3214,r029,All R&D fields -> All science and engineering -> Sciences nec,All R&D fields,All science and engineering,Sciences nec,,3,38622,1694,4.4,8460,774,9.1
3214,r030,All R&D fields -> All science and engineering -> Engineering,All R&D fields,All science and engineering,Engineering,,3,770261,40914,5.3,305152,13755,4.5
3214,r031,"All R&D fields -> All science and engineering -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All R&D fields,All science and engineering,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,44407,4303,9.7,24698,1214,4.9
3214,r032,All R&D fields -> All science and engineering -> Engineering -> Bioengineering and biomedical engineering,All R&D fields,All science and engineering,Engineering,Bioengineering and biomedical engineering,4,59748,1341,2.2,26910,790,2.9
3214,r033,All R&D fields -> All science and engineering -> Engineering -> Chemical engineering,All R&D fields,All science and engineering,Engineering,Chemical engineering,4,46903,788,1.7,17049,469,2.8
3214,r034,All R&D fields -> All science and engineering -> Engineering -> Civil engineering,All R&D fields,All science and engineering,Engineering,Civil engineering,4,34843,349,1.0,12342,147,1.2
3214,r035,"All R&D fields -> All science and engineering -> Engineering -> Electrical, electronic, and communications engineering",All R&D fields,All science and engineering,Engineering,"Electrical, electronic, and communications engineering",4,136852,18934,13.8,80364,5482,6.8
