table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_percent_change_2017_20,field_master_s_percent_change_2019_20,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_percent_change_2017_20,field_doctoral_percent_change_2019_20
5558,r001,Part-time students,Part-time students,,,,,1,133577,142659,153696,170619,27.7,11.0,34747,34199,33979,35679,2.7,5.0
5558,r002,Part-time students -> U.S. citizens and permanent residents<sup>a</sup>,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,,,,2,110575,121757,133180,146539,32.5,10.0,25508,25133,25327,25818,1.2,1.9
5558,r003,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Male,,,3,59703,64500,69495,75037,25.7,8.0,13000,12752,12952,12934,-0.5,-0.1
5558,r004,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Female,,,3,50872,57257,63685,71502,40.6,12.3,12508,12381,12375,12884,3.0,4.1
5558,r005,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,12306,13912,16182,19314,56.9,19.4,2064,2152,2302,2550,23.5,10.8
5558,r006,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,
5558,r007,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,430,534,581,562,30.7,-3.3,168,133,137,158,-6.0,15.3
5558,r008,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,11268,12675,14401,16531,46.7,14.8,1960,1961,2127,2061,5.2,-3.1
5558,r009,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,11420,12584,13615,14853,30.1,9.1,2140,2199,2478,2503,17.0,1.0
5558,r010,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,228,228,257,284,24.6,10.5,45,44,43,40,-11.1,-7.0
5558,r011,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,64088,69311,75359,81476,27.1,8.1,17056,16482,16121,16204,-5.0,0.5
5558,r012,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,3123,3665,4045,4692,50.2,16.0,604,697,741,784,29.8,5.8
5558,r013,Part-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,Part-time students,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,,3,7712,8848,8740,8827,14.5,1.0,1471,1465,1378,1518,3.2,10.2
5558,r014,Part-time students -> Temporary visa holders,Part-time students,Temporary visa holders,,,,2,23002,20902,20516,24080,4.7,17.4,9239,9066,8652,9861,6.7,14.0
5558,r015,Part-time students -> Temporary visa holders -> Male,Part-time students,Temporary visa holders,Male,,,3,15148,13357,12888,14819,-2.2,15.0,6103,6010,5719,6374,4.4,11.5
5558,r016,Part-time students -> Temporary visa holders -> Female,Part-time students,Temporary visa holders,Female,,,3,7854,7545,7628,9261,17.9,21.4,3136,3056,2933,3487,11.2,18.9
5558,r017,Full-time students,Full-time students,,,,,1,245010,248552,254532,243859,-0.5,-4.2,235778,242897,247910,247656,5.0,-0.1
5558,r018,Full-time students -> U.S. citizens and permanent residents<sup>a</sup>,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,,,,2,141321,149533,154190,167766,18.7,8.8,139077,142158,143807,146928,5.6,2.2
5558,r019,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Male,,,3,60203,62052,62191,66803,11.0,7.4,73517,73849,73699,74278,1.0,0.8
5558,r020,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Female,,,3,81118,87481,91999,100963,24.5,9.7,65560,68309,70108,72650,10.8,3.6
5558,r021,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,3,17316,19011,20595,24436,41.1,18.7,12935,14009,15388,16379,26.6,6.4
5558,r022,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,
5558,r023,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,706,685,746,722,2.3,-3.2,546,580,613,600,9.9,-2.1
5558,r024,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,14825,15882,16900,18544,25.1,9.7,13992,14789,15416,15958,14.1,3.5
5558,r025,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,11846,13294,13983,15989,35.0,14.3,7343,7866,7972,8571,16.7,7.5
5558,r026,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,240,269,285,294,22.5,3.2,190,189,159,160,-15.8,0.6
5558,r027,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,83943,86699,88477,93614,11.5,5.8,92215,93243,92588,92761,0.6,0.2
5558,r028,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,4996,5455,5548,6377,27.6,14.9,4816,5047,5279,5726,18.9,8.5
5558,r029,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,,3,7449,8238,7656,7790,4.6,1.8,7040,6435,6392,6773,-3.8,6.0
5558,r030,Full-time students -> Temporary visa holders,Full-time students,Temporary visa holders,,,,2,103689,99019,100342,76093,-26.6,-24.2,96701,100739,104103,100728,4.2,-3.2
5558,r031,Full-time students -> Temporary visa holders -> Male,Full-time students,Temporary visa holders,Male,,,3,65694,61405,61194,45489,-30.8,-25.7,63079,65408,66857,64179,1.7,-4.0
5558,r032,Full-time students -> Temporary visa holders -> Female,Full-time students,Temporary visa holders,Female,,,3,37995,37614,39148,30604,-19.5,-21.8,33622,35331,37246,36549,8.7,-1.9
5558,r033,"Full-time students -> First-time, full-time students",Full-time students,"First-time, full-time students",,,,2,110980,114214,116507,102096,-8.0,-12.4,45177,45510,46525,41173,-8.9,-11.5
