table_id,row_id,time_period,infrastructure_investment_and_jobs_act_p_l_117_58_level_1,infrastructure_investment_and_jobs_act_p_l_117_58_level_2,infrastructure_investment_and_jobs_act_p_l_117_58_hierarchy_depth,value
10915,r001_1,Basic research,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,0
10915,r001_2,Basic research,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,0
10915,r001_3,Basic research,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r001_4,Basic research,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,12000
10915,r001_5,Basic research,Inflation Reduction Act (P.L. 117-169),FY 2022,2,204
10915,r001_6,Basic research,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,43
10915,r002_1,Applied research,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,44945
10915,r002_2,Applied research,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,165407
10915,r002_3,Applied research,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r002_4,Applied research,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,6000
10915,r002_5,Applied research,Inflation Reduction Act (P.L. 117-169),FY 2022,2,0
10915,r002_6,Applied research,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,51900
10915,r003_1,Experimental development,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,4140
10915,r003_2,Experimental development,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,14741
10915,r003_3,Experimental development,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r003_4,Experimental development,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,392041
10915,r003_5,Experimental development,Inflation Reduction Act (P.L. 117-169),FY 2022,2,0
10915,r003_6,Experimental development,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,3785
10915,r004_1,Total R&D,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,49085
10915,r004_2,Total R&D,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,180148
10915,r004_3,Total R&D,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r004_4,Total R&D,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,410041
10915,r004_5,Total R&D,Inflation Reduction Act (P.L. 117-169),FY 2022,2,204
10915,r004_6,Total R&D,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,55728
10915,r005_1,Total R&D plant,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,4048
10915,r005_2,Total R&D plant,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,48
10915,r005_3,Total R&D plant,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r005_4,Total R&D plant,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,0
10915,r005_5,Total R&D plant,Inflation Reduction Act (P.L. 117-169),FY 2022,2,1102
10915,r005_6,Total R&D plant,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,510406
10915,r006_1,Total R&D and R&D plant,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2022,2,53133
10915,r006_2,Total R&D and R&D plant,Infrastructure Investment and Jobs Act (P.L. 117-58),FY 2023 (preliminary),2,180196
10915,r006_3,Total R&D and R&D plant,CHIPS and Science Act (P.L. 117-167),FY 2022,2,0
10915,r006_4,Total R&D and R&D plant,CHIPS and Science Act (P.L. 117-167),FY 2023 (preliminary),2,410041
10915,r006_5,Total R&D and R&D plant,Inflation Reduction Act (P.L. 117-169),FY 2022,2,1306
10915,r006_6,Total R&D and R&D plant,Inflation Reduction Act (P.L. 117-169),FY 2023 (preliminary),2,566134
