table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
9270,r001,2001,Total,All R&D expenditures,,2,10071
9270,r002,2001,Total,Basic research,Amount,3,3875
9270,r003,2001,Total,Basic research,Percent,3,38.5
9270,r004,2001,Total,Applied research,Amount,3,na
9270,r005,2001,Total,Applied research,Percent,3,na
9270,r006,2001,Total,Experimental development,Amount,3,na
9270,r007,2001,Total,Experimental development,Percent,3,na
9270,r008,2001,Federally financed,All R&D expenditures,,2,9709
9270,r009,2001,Federally financed,Basic research,Amount,3,3726
9270,r010,2001,Federally financed,Basic research,Percent,3,38.4
9270,r011,2001,Federally financed,Applied research,Amount,3,na
9270,r012,2001,Federally financed,Applied research,Percent,3,na
9270,r013,2001,Federally financed,Experimental development,Amount,3,na
9270,r014,2001,Federally financed,Experimental development,Percent,3,na
9270,r015,2002,Total,All R&D expenditures,,2,11536
9270,r016,2002,Total,Basic research,Amount,3,4744
9270,r017,2002,Total,Basic research,Percent,3,41.1
9270,r018,2002,Total,Applied research,Amount,3,na
9270,r019,2002,Total,Applied research,Percent,3,na
9270,r020,2002,Total,Experimental development,Amount,3,na
9270,r021,2002,Total,Experimental development,Percent,3,na
9270,r022,2002,Federally financed,All R&D expenditures,,2,11095
9270,r023,2002,Federally financed,Basic research,Amount,3,4523
9270,r024,2002,Federally financed,Basic research,Percent,3,40.8
9270,r025,2002,Federally financed,Applied research,Amount,3,na
9270,r026,2002,Federally financed,Applied research,Percent,3,na
9270,r027,2002,Federally financed,Experimental development,Amount,3,na
9270,r028,2002,Federally financed,Experimental development,Percent,3,na
9270,r029,2003,Total,All R&D expenditures,,2,12127
9270,r030,2003,Total,Basic research,Amount,3,5122
9270,r031,2003,Total,Basic research,Percent,3,42.2
9270,r032,2003,Total,Applied research,Amount,3,na
9270,r033,2003,Total,Applied research,Percent,3,na
9270,r034,2003,Total,Experimental development,Amount,3,na
9270,r035,2003,Total,Experimental development,Percent,3,na
9270,r036,2003,Federally financed,All R&D expenditures,,2,11681
9270,r037,2003,Federally financed,Basic research,Amount,3,4880
9270,r038,2003,Federally financed,Basic research,Percent,3,41.8
9270,r039,2003,Federally financed,Applied research,Amount,3,na
9270,r040,2003,Federally financed,Applied research,Percent,3,na
9270,r041,2003,Federally financed,Experimental development,Amount,3,na
9270,r042,2003,Federally financed,Experimental development,Percent,3,na
9270,r043,2004,Total,All R&D expenditures,,2,12632
9270,r044,2004,Total,Basic research,Amount,3,4931
9270,r045,2004,Total,Basic research,Percent,3,39.0
9270,r046,2004,Total,Applied research,Amount,3,na
9270,r047,2004,Total,Applied research,Percent,3,na
9270,r048,2004,Total,Experimental development,Amount,3,na
9270,r049,2004,Total,Experimental development,Percent,3,na
