table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_level_5,region_country_or_economy_hierarchy_depth,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
1994,r001,Exports,Exports,,,,,1,,,,,,,,,,,,,,,,
1994,r002,Exports -> World,Exports,World,,,,2,2413659,2904431,3216908,3664236,4309057,4775568,3640993,4449056,5241777,5230597,5353783,5485277,5028702,4983891,5454712,5787353
1994,r003,Exports -> World -> North America,Exports,World,North America,,,3,451479,505529,560695,641284,704136,745974,559308,709313,812411,863253,876662,906505,878521,847523,896847,950350
1994,r004,Exports -> World -> North America -> Canada,Exports,World,North America,Canada,,4,96075,110496,120531,125741,132181,123456,86849,110389,124877,133114,129664,130488,127048,126652,128345,132159
1994,r005,Exports -> World -> North America -> Mexico,Exports,World,North America,Mexico,,4,69458,76030,85236,98930,104162,110823,87025,119833,140681,156126,168187,185812,191072,188210,206398,229446
1994,r006,Exports -> World -> North America -> United States,Exports,World,North America,United States,,4,285947,319002,354929,416613,467793,511695,385434,479091,546853,574014,578811,590205,560401,532661,562103,588745
1994,r007,Exports -> World -> Central and South America,Exports,World,Central and South America,,,3,28973,40390,49934,57269,65484,77660,53900,70331,85695,85456,90894,77916,67542,67719,74614,77867
1994,r008,Exports -> World -> Central and South America -> Brazil,Exports,World,Central and South America,Brazil,,4,17100,24456,30585,34900,38797,44768,29609,38493,46621,45558,51687,40181,36459,39446,43605,47037
1994,r009,Exports -> World -> Central and South America -> Other South America,Exports,World,Central and South America,Other South America,,4,11873,15934,19349,22369,26687,32892,24292,31838,39074,39898,39207,37735,31082,28273,31009,30829
1994,r010,Exports -> World -> Europe,Exports,World,Europe,,,3,1324922,1583694,1710537,1923064,2296502,2512603,1869821,2119712,2527067,2410167,2530392,2590751,2307565,2333579,2560526,2709637
