table_id,row_id,education_full_path,education_level_1,education_level_2,education_hierarchy_depth,field_1993_sestat,field_2003_sestat,field_2003_acs,field_2013_nscg,field_2013_acs,field_2017_nscg,field_2017_acs
1607,r001,All college educated,All college educated,,1,15.8,22.6,25.1,26.5,27.7,29.5,29.1
1607,r002,All college educated -> Bachelor's,All college educated,Bachelor's,2,11.4,16.4,18.2,18.9,19.8,21.6,21.1
1607,r003,All college educated -> Master's,All college educated,Master's,2,20.7,29.4,30.7,34.3,37.1,39.2,39.4
1607,r004,All college educated -> Doctorate,All college educated,Doctorate,2,26.8,36.4,38.3,41.4,43.6,43.1,44.7
