table_id,row_id,_b_mechanism_of_support_b_full_path,_b_mechanism_of_support_b_level_1,_b_mechanism_of_support_b_level_2,_b_mechanism_of_support_b_level_3,_b_mechanism_of_support_b_hierarchy_depth,field_all_doctoral_degree_types,field_doctoral_degree,field_professional_degree,field_dual_degree,field_doctoral_degree_type_unknown
8274,r001,Imputation rate (%),Imputation rate (%),,,1,,,,,
8274,r002,Imputation rate (%) -> All postdoctoral appointees,Imputation rate (%),All postdoctoral appointees,,2,3.1,8.1,9.0,6.5,4.8
8274,r003,Imputation rate (%) -> All postdoctoral appointees -> Fellowships,Imputation rate (%),All postdoctoral appointees,Fellowships,3,11.8,12.7,14.1,18.2,17.1
8274,r004,Imputation rate (%) -> All postdoctoral appointees -> Research grant,Imputation rate (%),All postdoctoral appointees,Research grant,3,9.6,10.1,16.8,6.9,11.0
8274,r005,Imputation rate (%) -> All postdoctoral appointees -> Traineeship,Imputation rate (%),All postdoctoral appointees,Traineeship,3,9.1,11.1,12.7,4.9,3.1
8274,r006,Imputation rate (%) -> All postdoctoral appointees -> Other support,Imputation rate (%),All postdoctoral appointees,Other support,3,8.0,9.4,7.7,5.0,9.3
8274,r007,Imputation rate (%) -> All postdoctoral appointees -> U.S. citizens and permanent residents,Imputation rate (%),All postdoctoral appointees,U.S. citizens and permanent residents,3,8.6,12.0,9.2,6.6,13.5
8274,r008,Imputation rate (%) -> All postdoctoral appointees -> Foreign nationals with temporary visa,Imputation rate (%),All postdoctoral appointees,Foreign nationals with temporary visa,3,6.1,10.1,11.8,7.0,10.7
8274,r009,Number imputed<sup>a</sup>,Number imputed<sup>a</sup>,,,1,,,,,
8274,r010,Number imputed<sup>a</sup> -> All postdoctoral appointees,Number imputed<sup>a</sup>,All postdoctoral appointees,,2,1947,3807,370,82,540
8274,r011,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Fellowships,Number imputed<sup>a</sup>,All postdoctoral appointees,Fellowships,3,767,555,93,29,225
8274,r012,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Research grant,Number imputed<sup>a</sup>,All postdoctoral appointees,Research grant,3,3727,3050,219,40,741
8274,r013,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Traineeship,Number imputed<sup>a</sup>,All postdoctoral appointees,Traineeship,3,330,252,65,5,24
8274,r014,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Other support,Number imputed<sup>a</sup>,All postdoctoral appointees,Other support,3,1162,945,127,21,221
8274,r015,Number imputed<sup>a</sup> -> All postdoctoral appointees -> U.S. citizens and permanent residents,Number imputed<sup>a</sup>,All postdoctoral appointees,U.S. citizens and permanent residents,3,2548,2532,220,38,757
8274,r016,Number imputed<sup>a</sup> -> All postdoctoral appointees -> Foreign nationals with temporary visa,Number imputed<sup>a</sup>,All postdoctoral appointees,Foreign nationals with temporary visa,3,2057,2574,206,48,600
