table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_total,field_paid_for_by_the_company,field_paid_for_by_others
763,r001,All locations,All locations,,,1,"['73,691', '&nbsp;']","['67,822', '&nbsp;']","['5,868', '&nbsp;']"
763,r002,All locations -> Puerto Rico,All locations,Puerto Rico,,2,"['96', '&nbsp;']","['82', '&nbsp;']","['15', '&nbsp;']"
763,r003,All locations -> Canada,All locations,Canada,,2,"['4,381', '&nbsp;']","['4,172', '&nbsp;']","['209', '&nbsp;']"
763,r004,All locations -> Latin America and Other Western Hemisphere,All locations,Latin America and Other Western Hemisphere,,2,"['4,444', '&nbsp;']","['4,143', '&nbsp;']","['301', '&nbsp;']"
763,r005,All locations -> Latin America and Other Western Hemisphere -> Argentina,All locations,Latin America and Other Western Hemisphere,Argentina,3,"['289', '&nbsp;']","['222', '&nbsp;']","['67', '&nbsp;']"
763,r006,All locations -> Latin America and Other Western Hemisphere -> Brazil,All locations,Latin America and Other Western Hemisphere,Brazil,3,"['1,413', '&nbsp;']","['1,323', '&nbsp;']","['90', '&nbsp;']"
763,r007,All locations -> Latin America and Other Western Hemisphere -> Chile,All locations,Latin America and Other Western Hemisphere,Chile,3,"['76', '&nbsp;']","['64', '&nbsp;']","['12', '&nbsp;']"
763,r008,All locations -> Latin America and Other Western Hemisphere -> Mexico,All locations,Latin America and Other Western Hemisphere,Mexico,3,"['793', '&nbsp;']","['730', '&nbsp;']","['63', '&nbsp;']"
763,r009,All locations -> Latin America and Other Western Hemisphere -> Other Latin American and Western Hemisphere locations,All locations,Latin America and Other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['1,873', '&nbsp;']","['1,804', '&nbsp;']","['68', '&nbsp;']"
763,r010,All locations -> Africa,All locations,Africa,,2,"['251', '&nbsp;']","['186', '&nbsp;']","['66', '&nbsp;']"
763,r011,All locations -> Africa -> South Africa,All locations,Africa,South Africa,3,"['174', '&nbsp;']","['118', '&nbsp;']","['57', '&nbsp;']"
763,r012,All locations -> Africa -> Other African locations,All locations,Africa,Other African locations,3,"['77', '&nbsp;']","['68', '&nbsp;']","['9', '&nbsp;']"
763,r013,All locations -> Asia and Pacific,All locations,Asia and Pacific,,2,"['21,691', '&nbsp;']","['20,377', '&nbsp;']","['1,314', 'i']"
763,r014,All locations -> Asia and Pacific -> Australia,All locations,Asia and Pacific,Australia,3,"['1,305', '&nbsp;']","['1,194', '&nbsp;']","['111', '&nbsp;']"
763,r015,All locations -> Asia and Pacific -> China,All locations,Asia and Pacific,China,3,"['6,265', '&nbsp;']","['6,000', '&nbsp;']","['266', 'i']"
763,r016,All locations -> Asia and Pacific -> Hong Kong,All locations,Asia and Pacific,Hong Kong,3,"['187', '&nbsp;']","['163', '&nbsp;']","['23', 'i']"
763,r017,All locations -> Asia and Pacific -> India,All locations,Asia and Pacific,India,3,"['5,534', '&nbsp;']","['5,325', '&nbsp;']","['209', 'i']"
763,r018,All locations -> Asia and Pacific -> Indonesia,All locations,Asia and Pacific,Indonesia,3,"['31', '&nbsp;']","['29', '&nbsp;']","['2', '&nbsp;']"
763,r019,All locations -> Asia and Pacific -> Japan,All locations,Asia and Pacific,Japan,3,"['2,684', '&nbsp;']","['2,307', '&nbsp;']","['378', 'i']"
763,r020,All locations -> Asia and Pacific -> Malaysia,All locations,Asia and Pacific,Malaysia,3,"['809', '&nbsp;']","['798', '&nbsp;']","['11', '&nbsp;']"
763,r021,All locations -> Asia and Pacific -> New Zealand,All locations,Asia and Pacific,New Zealand,3,"['105', '&nbsp;']","['90', '&nbsp;']","['15', '&nbsp;']"
763,r022,All locations -> Asia and Pacific -> Singapore,All locations,Asia and Pacific,Singapore,3,"['1,707', '&nbsp;']","['1,520', '&nbsp;']","['186', 'i']"
763,r023,All locations -> Asia and Pacific -> South Korea,All locations,Asia and Pacific,South Korea,3,"['1,148', '&nbsp;']","['1,087', '&nbsp;']","['61', '&nbsp;']"
763,r024,All locations -> Asia and Pacific -> Taiwan,All locations,Asia and Pacific,Taiwan,3,"['970', '&nbsp;']","['943', '&nbsp;']","['27', '&nbsp;']"
763,r025,All locations -> Asia and Pacific -> Thailand,All locations,Asia and Pacific,Thailand,3,"['199', '&nbsp;']","['187', '&nbsp;']","['11', '&nbsp;']"
763,r026,All locations -> Asia and Pacific -> Other Asian or Pacific locations,All locations,Asia and Pacific,Other Asian or Pacific locations,3,"['748', '&nbsp;']","['734', '&nbsp;']","['14', '&nbsp;']"
763,r027,All locations -> Europe,All locations,Europe,,2,"['36,849', '&nbsp;']","['33,449', '&nbsp;']","['3,399', '&nbsp;']"
763,r028,All locations -> Europe -> Austria,All locations,Europe,Austria,3,"['282', '&nbsp;']","['254', '&nbsp;']","['27', '&nbsp;']"
763,r029,All locations -> Europe -> Belgium,All locations,Europe,Belgium,3,"['2,058', '&nbsp;']","['1,911', '&nbsp;']","['148', '&nbsp;']"
763,r030,All locations -> Europe -> Czech Republic,All locations,Europe,Czech Republic,3,"['269', '&nbsp;']","['236', '&nbsp;']","['33', '&nbsp;']"
763,r031,All locations -> Europe -> Denmark,All locations,Europe,Denmark,3,"['642', '&nbsp;']","['620', '&nbsp;']","['22', '&nbsp;']"
763,r032,All locations -> Europe -> Finland,All locations,Europe,Finland,3,"['1,255', '&nbsp;']","['1,241', '&nbsp;']","['14', '&nbsp;']"
763,r033,All locations -> Europe -> France,All locations,Europe,France,3,"['2,772', '&nbsp;']","['2,496', '&nbsp;']","['276', '&nbsp;']"
763,r034,All locations -> Europe -> Germany,All locations,Europe,Germany,3,"['8,157', '&nbsp;']","['7,770', '&nbsp;']","['387', '&nbsp;']"
763,r035,All locations -> Europe -> Hungary,All locations,Europe,Hungary,3,"['222', '&nbsp;']","['191', '&nbsp;']","['32', '&nbsp;']"
