table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
2728,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['441,036', '  ']","['377,806', '  ']","['63,230', '  ']","['52,547', '  ']","['42,668', '  ']","['9,878', '  ']"
2728,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['274,075', '  ']","['234,682', '  ']","['39,393', '  ']","['47,321', '  ']","['39,079', '  ']","['8,242', '  ']"
2728,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,654', '  ']","['4,412', '  ']","['242', '  ']","['234', '  ']","['232', '  ']","['2', '  ']"
2728,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,113', '  ']","['1,004', '  ']","['109', '  ']","['234', '  ']","['233', '  ']","['1', '  ']"
2728,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['989', '  ']","['986', '  ']","['4', '  ']","['18', '  ']","['18', '  ']","['*', '  ']"
2728,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['203', '  ']","['199', '  ']","['4', '  ']","['13', '  ']","['13', '  ']","['*', 'i ']"
2728,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['934', '  ']","['932', '  ']","['2', '  ']","['15', '  ']","['14', '  ']","['1', '  ']"
2728,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['242', '  ']","['238', '  ']","['4', '  ']","['3', '  ']","['3', '  ']","['*', '  ']"
2728,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,269', '  ']","['1,246', '  ']","['23', '  ']","['230', '  ']","['230', '  ']","['*', '  ']"
2728,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['84,137', '  ']","['73,584', '  ']","['10,553', '  ']","['35,552', '  ']","['31,571', '  ']","['3,981', '  ']"
