table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_level_4,_b_field_and_citizenship_status_b_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field__change_2012_22
9453,r032,All doctorate recipients<sup>a</sup> -> Education -> Education research,All doctorate recipients<sup>a</sup>,Education,Education research,,3,2516,2638,2490,2717,2328,2373,2457,2253,2275,2198,2289,-9.0
9453,r033,All doctorate recipients<sup>a</sup> -> Education -> Teacher education,All doctorate recipients<sup>a</sup>,Education,Teacher education,,3,156,109,152,156,180,114,96,104,113,111,110,-29.5
9453,r034,All doctorate recipients<sup>a</sup> -> Education -> Teaching fields,All doctorate recipients<sup>a</sup>,Education,Teaching fields,,3,757,892,915,953,1166,925,959,957,938,797,890,17.6
9453,r035,All doctorate recipients<sup>a</sup> -> Education -> Other education,All doctorate recipients<sup>a</sup>,Education,Other education,,3,316,330,339,352,648,492,411,480,457,436,486,53.8
9453,r036,All doctorate recipients<sup>a</sup> -> Humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,,,2,5561,5715,5524,5594,5482,5286,5139,5051,4924,4134,4464,-19.7
9453,r037,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Foreign languages and literature,All doctorate recipients<sup>a</sup>,Humanities and arts,Foreign languages and literature,,3,684,701,674,656,599,618,617,610,564,377,442,-35.4
9453,r038,All doctorate recipients<sup>a</sup> -> Humanities and arts -> History,All doctorate recipients<sup>a</sup>,Humanities and arts,History,,3,1086,1148,1186,1146,1148,1058,948,912,884,725,750,-30.9
9453,r039,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Letters,All doctorate recipients<sup>a</sup>,Humanities and arts,Letters,,3,1638,1606,1551,1583,1531,1462,1439,1386,1389,1192,1292,-21.1
9453,r040,All doctorate recipients<sup>a</sup> -> Humanities and arts -> Other humanities and arts,All doctorate recipients<sup>a</sup>,Humanities and arts,Other humanities and arts,,3,2153,2260,2113,2209,2204,2148,2135,2143,2087,1840,1980,-8.0
9453,r041,All doctorate recipients<sup>a</sup> -> Other,All doctorate recipients<sup>a</sup>,Other,,,2,2734,3023,3043,3019,2941,3152,2977,3027,3005,2974,3144,15.0
9453,r042,All doctorate recipients<sup>a</sup> -> Other -> Business management and administration,All doctorate recipients<sup>a</sup>,Other,Business management and administration,,3,1404,1551,1584,1582,1509,1565,1473,1533,1468,1389,1450,3.3
9453,r043,All doctorate recipients<sup>a</sup> -> Other -> Communication,All doctorate recipients<sup>a</sup>,Other,Communication,,3,595,645,663,667,672,622,630,543,591,508,580,-2.5
9453,r044,All doctorate recipients<sup>a</sup> -> Other -> Non-science and engineering fields nec,All doctorate recipients<sup>a</sup>,Other,Non-science and engineering fields nec,,3,735,827,796,770,760,965,874,951,946,1077,1114,51.6
9453,r045,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,,,2,32981,33964,34003,35071,35678,35736,35349,35227,34462,31891,35311,7.1
9453,r046,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,,3,8184,8352,8390,8470,8683,8827,9028,9035,8699,8261,9230,12.8
9453,r047,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Agricultural sciences and natural resources,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Agricultural sciences and natural resources,4,675,737,754,774,771,822,792,821,796,747,817,21.0
9453,r048,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Biological and biomedical sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Biological and biomedical sciences,4,5790,5768,5993,6029,6215,6147,6396,6368,5999,5833,6633,14.6
9453,r049,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Life sciences -> Health sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Life sciences,Health sciences,4,1719,1847,1643,1667,1697,1858,1840,1846,1904,1681,1780,3.5
9453,r050,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,,3,3148,3247,3300,3481,3669,3715,3768,3900,3739,3366,3868,22.9
9453,r051,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Chemistry,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Chemistry,4,1385,1443,1447,1572,1581,1696,1710,1780,1696,1515,1800,30.0
9453,r052,"All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",4,623,654,722,704,803,790,760,808,809,683,740,18.8
9453,r053,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Physical sciences and earth sciences -> Physics and astronomy,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Physical sciences and earth sciences,Physics and astronomy,4,1140,1150,1131,1205,1285,1229,1298,1312,1234,1168,1328,16.5
9453,r054,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,,3,1627,1631,1738,1663,1729,1748,1736,1785,1734,1681,1911,17.5
9453,r055,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Computer and information sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Computer and information sciences,4,785,758,807,774,783,801,742,799,807,783,909,15.8
9453,r056,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Mathematics and computer sciences -> Mathematics and statistics,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Mathematics and computer sciences,Mathematics and statistics,4,842,873,931,889,946,947,994,986,927,898,1002,19.0
9453,r057,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,,3,6319,6464,6389,6685,6798,6843,6691,6702,6594,6218,6670,5.6
9453,r058,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Psychology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Psychology,4,3046,3067,3042,3103,3341,3376,3309,3326,3309,3155,3366,10.5
9453,r059,All doctorate recipients<sup>a</sup> -> U.S. citizen or permanent resident -> Psychology and social sciences -> Anthropology,All doctorate recipients<sup>a</sup>,U.S. citizen or permanent resident,Psychology and social sciences,Anthropology,4,445,457,405,397,360,349,336,360,366,301,334,-24.9
