table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_dod,field_doe,field_nasa,field_nih,field_dhs,field_dot,field_epa,field_nsf,field_all_other_agencies
2111,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['24,277', 'i ']","['16,632', 'i ']","['570', 'i ']","['4,298', 'i ']","['665', '  ']","['52', '  ']","['53', '  ']","['1', '  ']","['10 - 46', '  ']","['1,959 - 2,000', 'i ']"
2111,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['18,889', 'i ']","['13,745', 'i ']","['209', '  ']","['3,857', 'i ']","['112', '  ']","['22', '  ']","['8', '  ']","['*', 'i ']","['1 - 36', 'i ']","['896 - 937', 'i ']"
2111,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1', '  ']","['*', 'i ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']"
2111,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0 - 2', 'i ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0 - 2', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['205', '  ']","['65', '  ']","['3 - 80', '  ']","['0', '  ']","['60', '  ']","['0 - 21', '  ']","['0', '  ']","['0', '  ']","['2', 'i ']","['0 - 77', '  ']"
2111,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['6', '  ']","['0', '  ']","['3 - 7', '  ']","['0', '  ']","['0 - 3', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', 'i ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['0 - 14', '  ']","['0 - 14', '  ']","['*', 'i ']","['0', '  ']","['0 - 3', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 3', 'i ']","['0', '  ']"
2111,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['186', '  ']","['36 - 66', '  ']","['0 - 77', '  ']","['0', '  ']","['58', '  ']","['0 - 21', '  ']","['0', '  ']","['0', '  ']","['0 - 3', 'i ']","['0 - 77', '  ']"
2111,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['*', 'i ']","['0', '  ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['0 - 14', '  ']","['0 - 14', '  ']","['0 - 14', '  ']","['0', '  ']","['0 - 3', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['1', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['2', 'i ']","['0 - 2', '  ']","['0 - 2', 'i ']","['0', '  ']","['1', 'i ']","['0', '  ']","['0 - 2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['5', 'i ']","['1', '  ']","['2', '  ']","['2', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['59', 'i ']","['0 - 60', '  ']","['0', '  ']","['0 - 60', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['170', '  ']","['31 - 107', '  ']","['48 - 130', '  ']","['0 - 86', 'i ']","['0', '  ']","['0', '  ']","['0 - 9', 'i ']","['0', '  ']","['0', '  ']","['0 - 92', '  ']"
2111,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement ,All industries,Manufacturing industries,Machinery,Agricultural implement ,,4,33311,"['3', '  ']","['*', 'i ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['7', 'i ']","['0', '  ']","['0 - 8', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 8', '  ']"
2111,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment ",,4,3336,"['75 - 151', '  ']","['30 - 106', '  ']","['46', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['7 - 86', 'i ']","['*', 'i ']","['0 - 82', 'i ']","['0 - 86', 'i ']","['0', '  ']","['0', '  ']","['0 - 9', 'i ']","['0', '  ']","['0', '  ']","['0 - 86', '  ']"
2111,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['3,937', '  ']","['3,392', '  ']","['75', 'i ']","['358', 'i ']","['20 - 53', '  ']","['*', '  ']","['0 - 9', '  ']","['0', '  ']","['0 - 34', '  ']","['59 - 80', '  ']"
2111,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['805', 'i ']","['595', 'i ']","['0 - 21', 'i ']","['191', 'i ']","['0 - 21', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['80', '  ']","['51', '  ']","['23', '  ']","['0 - 8', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 8', 'i ']","['0 - 8', '  ']"
2111,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,963', '  ']","['2,705', '  ']","['25', 'i ']","['140', '  ']","['20 - 26', '  ']","['*', '  ']","['0 - 9', '  ']","['0', '  ']","['0', '  ']","['59 - 72', '  ']"
2111,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus ",5,"334510, 334517","['27', '  ']","['4', '  ']","['*', 'i ']","['1', 'i ']","['21', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument ",5,334511,"['2,880', '  ']","['2,675', '  ']","['*', '  ']","['135', '  ']","['0', '  ']","['0', '  ']","['0 - 9', '  ']","['0', '  ']","['0', '  ']","['59 - 72', '  ']"
2111,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device ,5,other 3345,"['56', '  ']","['26', '  ']","['24', 'i ']","['4', 'i ']","['0 - 4', 'i ']","['*', '  ']","['0 - 4', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['89', '  ']","['41', '  ']","['5 - 29', '  ']","['18 - 29', 'i ']","['0 - 26', 'i ']","['*', '  ']","['0 - 9', '  ']","['0', '  ']","['0 - 26', '  ']","['*', '  ']"
2111,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['38', '  ']","['26', '  ']","['0 - 13', 'i ']","['0 - 13', 'i ']","['0 - 13', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
2111,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['14,433', 'i ']","['10,121', 'i ']","['0 - 82', '  ']","['3,335 - 3,498', 'i ']","['0 - 32', '  ']","['1 - 23', '  ']","['0 - 9', '  ']","['0', '  ']","['0', '  ']","['668 - 877', 'i ']"
2111,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['0 - 2,745', '  ']","['0 - 1,431', '  ']","['0 - 82', '  ']","['0 - 1,922', 'i ']","['0', '  ']","['0 - 21', '  ']","['0 - 9', '  ']","['0', '  ']","['0', '  ']","['0 - 877', '  ']"
2111,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['11,259 - 13,070', 'i ']","['8,690', 'i ']","['0 - 82', '  ']","['1,576 - 3,498', 'i ']","['0 - 32', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 877', 'i ']"
2111,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts ",5,336411–13,"['9,905 - 11,715', 'i ']","['8,336', 'i ']","['0 - 82', '  ']","['575 - 2,497', 'i ']","['0 - 32', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 877', 'i ']"
