table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total_r_d,field_basic_research,field_applied_research,field_experimental_development_total,field_experimental_development_advanced_technology,field_experimental_development_major_systems
10234,r001,All agencies,All agencies,,,,,1,189058891,43790457,44673778,100594656,10488317,54607650
10234,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,
10234,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,3266354,1458701,1558776,248877,na,na
10234,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,14968,0,7484,7484,na,na
10234,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,1599000,799500,639600,159900,na,na
10234,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,44580,23363,0,21217,na,na
10234,r007,All agencies -> Departments -> Department of Agriculture -> Economic Research Service,All agencies,Departments,Department of Agriculture,Economic Research Service,,4,90389,0,90389,0,na,na
10234,r008,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,345000,95083,194781,55136,na,na
10234,r009,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,11467,0,6327,5140,na,na
10234,r010,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,1147558,527876,619681,0,na,na
10234,r011,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,13393,12878,514,0,na,na
10234,r012,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,2042768,287118,1473125,282525,na,na
10234,r013,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,148927,0,110367,38560,na,na
10234,r014,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,890837,287118,530008,73711,na,na
10234,r015,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,995804,0,825550,170254,na,na
10234,r016,All agencies -> Departments -> Department of Commerce -> National Telecommunications and Information Administration,All agencies,Departments,Department of Commerce,National Telecommunications and Information Administration,,4,7200,0,7200,0,na,na
10234,r017,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,75473326,2976752,7400607,65095967,10488317,54607650
10234,r018,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,3809053,512844,1483950,1812259,1639449,172810
10234,r019,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2537305,15570,158831,2362905,1667967,694938
10234,r020,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,13244994,724626,1697363,10823005,989532,9833473
10234,r021,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,12933505,586322,1502296,10844886,2127203,8717683
10234,r022,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,18668983,852383,1229568,16587032,1004613,15582419
10234,r023,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,4593357,76353,0,4517004,0,4517004
10234,r024,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,19686128,208654,1328599,18148876,3059553,15089322
10234,r025,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,406774,33255,260178,113341,na,na
10234,r026,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,13911600,5947161,4523208,3441231,na,na
10234,r027,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,450000,0,225000,225000,na,na
10234,r028,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,127064,8401,59361,59302,na,na
10234,r029,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,2062099,0,677946,1384153,na,na
10234,r030,All agencies -> Departments -> Department of Energy -> Environmental Management,All agencies,Departments,Department of Energy,Environmental Management,,4,35000,0,11550,23450,na,na
10234,r031,All agencies -> Departments -> Department of Energy -> Fossil Energy,All agencies,Departments,Department of Energy,Fossil Energy,,4,736176,0,736176,0,na,na
10234,r032,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,4106601,123085,2403869,1579646,na,na
10234,r033,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Defense Programs,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Defense Programs,5,2492463,0,2257778,234685,na,na
10234,r034,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Naval Nuclear Propulsion Program,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Naval Nuclear Propulsion Program,5,1246109,0,0,1246109,na,na
10234,r035,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,368029,123085,146092,98852,na,na
10234,r036,All agencies -> Departments -> Department of Energy -> Nuclear Energy,All agencies,Departments,Department of Energy,Nuclear Energy,,4,479455,0,330824,148631,na,na
10234,r037,"All agencies -> Departments -> Department of Energy -> Office of Cybersecurity, Energy Security, and Emergency Response",All agencies,Departments,Department of Energy,"Office of Cybersecurity, Energy Security, and Emergency Response",,4,119800,20270,78481,21049,na,na
10234,r038,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,5795405,5795405,0,0,na,na
10234,r039,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,69152856,21411636,21258821,26482399,na,na
10234,r040,All agencies -> Departments -> Department of Health and Human Services -> Administration for Children and Families,All agencies,Departments,Department of Health and Human Services,Administration for Children and Families,,4,4265,0,4265,0,na,na
10234,r041,All agencies -> Departments -> Department of Health and Human Services -> Administration for Community Living,All agencies,Departments,Department of Health and Human Services,Administration for Community Living,,4,110863,0,110863,0,na,na
10234,r042,All agencies -> Departments -> Department of Health and Human Services -> Agency for Healthcare Research and Quality,All agencies,Departments,Department of Health and Human Services,Agency for Healthcare Research and Quality,,4,350400,0,314345,36055,na,na
10234,r043,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,10935,0,10935,0,na,na
10234,r044,All agencies -> Departments -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Departments,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,,4,26433481,0,0,26433481,na,na
10234,r045,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,661450,96501,552086,12863,na,na
10234,r046,All agencies -> Departments -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Departments,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,4,420703,420703,0,0,na,na
10234,r047,All agencies -> Departments -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Departments,Department of Health and Human Services,Food and Drug Administration,,4,669007,0,669007,0,na,na
10234,r048,All agencies -> Departments -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Departments,Department of Health and Human Services,Health Resources and Services Administration,,4,38189,3399,34790,0,na,na
10234,r049,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,40436064,20891033,19545031,0,na,na
10234,r050,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,,4,17500,0,17500,0,na,na
10234,r051,All agencies -> Departments -> Department of Health and Human Services -> Office of the Secretary of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Departments,Department of Health and Human Services,Office of the Secretary of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,5,17500,0,17500,0,na,na
10234,r052,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,600768,67631,248069,285068,na,na
10234,r053,All agencies -> Departments -> Department of Homeland Security -> Coast Guard,All agencies,Departments,Department of Homeland Security,Coast Guard,,4,7476,0,2243,5233,na,na
10234,r054,All agencies -> Departments -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Departments,Department of Homeland Security,Countering Weapons of Mass Destruction Office,,4,38940,6631,24324,7985,na,na
10234,r055,All agencies -> Departments -> Department of Homeland Security -> Cybersecurity and Infrastructure Security Agency,All agencies,Departments,Department of Homeland Security,Cybersecurity and Infrastructure Security Agency,,4,11282,0,3502,7780,na,na
10234,r056,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,506000,61000,216000,229000,na,na
10234,r057,All agencies -> Departments -> Department of Homeland Security -> Secret Service,All agencies,Departments,Department of Homeland Security,Secret Service,,4,2070,0,0,2070,na,na
10234,r058,All agencies -> Departments -> Department of Homeland Security -> Transportation Security Administration,All agencies,Departments,Department of Homeland Security,Transportation Security Administration,,4,35000,0,2000,33000,na,na
10234,r059,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,1164686,174008,817025,173653,na,na
10234,r060,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,4000,0,4000,0,na,na
10234,r061,All agencies -> Departments -> Department of the Interior -> Bureau of Land Management,All agencies,Departments,Department of the Interior,Bureau of Land Management,,4,12049,2004,8579,1466,na,na
10234,r062,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,83642,0,67918,15724,na,na
10234,r063,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,41500,0,21500,20000,na,na
10234,r064,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,15768,1500,14018,250,na,na
10234,r065,All agencies -> Departments -> Department of the Interior -> Fish and Wildlife Service,All agencies,Departments,Department of the Interior,Fish and Wildlife Service,,4,32650,0,32650,0,na,na
10234,r066,All agencies -> Departments -> Department of the Interior -> Geological Survey,All agencies,Departments,Department of the Interior,Geological Survey,,4,946723,170504,641138,135081,na,na
10234,r067,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,28354,0,27222,1132,na,na
10234,r068,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,88162,8265,74032,5865,na,na
10234,r069,All agencies -> Departments -> Department of Justice -> Bureau of Prisons,All agencies,Departments,Department of Justice,Bureau of Prisons,,4,0.05,0,0.05,0.05,na,na
10234,r070,All agencies -> Departments -> Department of Justice -> Federal Bureau of Investigation,All agencies,Departments,Department of Justice,Federal Bureau of Investigation,,4,5396,0,5396,0,na,na
10234,r071,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,82756,8265,68634,5857,na,na
10234,r072,All agencies -> Departments -> Department of Labor,All agencies,Departments,Department of Labor,,,3,3803,0,3803,0,na,na
10234,r073,All agencies -> Departments -> Department of Labor -> Employee Benefits Security Administration,All agencies,Departments,Department of Labor,Employee Benefits Security Administration,,4,1569,0,1569,0,na,na
10234,r074,All agencies -> Departments -> Department of Labor -> Occupational Safety and Health Administration,All agencies,Departments,Department of Labor,Occupational Safety and Health Administration,,4,2234,0,2234,0,na,na
10234,r075,All agencies -> Departments -> Department of State,All agencies,Departments,Department of State,,,3,67000,7000,40000,20000,na,na
10234,r076,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,1096384,9016,803325,284043,na,na
10234,r077,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,516262,0,271685,244578,na,na
