table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_field_levela,field_sed_cip_series_codes
7647,r001,Science and engineering,Science and engineering,,,,1,Area,see below
7647,r002,Science and engineering -> Agricultural sciences and natural resources,Science and engineering,Agricultural sciences and natural resources,,,2,Broad,"Most of 01, 03 (see below)"
7647,r003,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",,3,Major,1
7647,r004,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agronomy and crop science",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Agronomy and crop science,4,Detailed,1.1102
7647,r005,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Animal sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Animal sciences,4,Detailed,1.09
7647,r006,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Food science and technology",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Food science and technology,4,Detailed,1.1
7647,r007,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Plant sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Plant sciences,4,Detailed,all 01.11 except 01.1102
7647,r008,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Soil sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Soil sciences,4,Detailed,1.12
7647,r009,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Veterinary biomedical and clinical sciences",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences",Veterinary biomedical and clinical sciences,4,Detailed,"01.80, 01.81, 01.83, 01.1302, 01.1399"
7647,r010,"Science and engineering -> Agricultural sciences and natural resources -> Agricultural, animal, plant, and veterinary sciences -> Agricultural, animal, plant, and veterinary sciences nec",Science and engineering,Agricultural sciences and natural resources,"Agricultural, animal, plant, and veterinary sciences","Agricultural, animal, plant, and veterinary sciences nec",4,Detailed,"all other 01 except 01.0103, 01.05, 01.82"
7647,r011,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,,3,Major,all 03 except 03.0204
7647,r012,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental science,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental science,4,Detailed,3.0104
7647,r013,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Environmental/ natural resources management and policy,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Environmental/ natural resources management and policy,4,Detailed,all 03.02 except 03.0204
7647,r014,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Forestry,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Forestry,4,Detailed,3.05
7647,r015,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources conservation and research,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources conservation and research,4,Detailed,all 03.01 except 03.0104
7647,r016,Science and engineering -> Agricultural sciences and natural resources -> Natural resources and conservation -> Natural resources and conservation nec,Science and engineering,Agricultural sciences and natural resources,Natural resources and conservation,Natural resources and conservation nec,4,Detailed,"03.03, 03.06, 03.99"
7647,r017,Science and engineering -> Biological and biomedical sciences,Science and engineering,Biological and biomedical sciences,,,2,Broad,26
7647,r018,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",,3,Major,26.02
7647,r019,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry,4,Detailed,26.0202
7647,r020,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry and molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biochemistry and molecular biology,4,Detailed,26.021
7647,r021,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biophysics",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Biophysics,4,Detailed,26.0203
7647,r022,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Molecular biology",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology",Molecular biology,4,Detailed,26.0204
7647,r023,"Science and engineering -> Biological and biomedical sciences -> Biochemistry, biophysics, and molecular biology -> Biochemistry, biophysics, and molecular biology nec",Science and engineering,Biological and biomedical sciences,"Biochemistry, biophysics, and molecular biology","Biochemistry, biophysics, and molecular biology nec",4,Detailed,all other 26.02
7647,r024,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",,3,Major,26.11
7647,r025,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Bioinformatics,4,Detailed,26.1103
7647,r026,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Biostatistics",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Biostatistics,4,Detailed,26.1102
7647,r027,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Computational biology",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology",Computational biology,4,Detailed,26.1104
7647,r028,"Science and engineering -> Biological and biomedical sciences -> Bioinformatics, biostatistics, and computational biology -> Bioinformatics, biostatistics, and computational biology nec",Science and engineering,Biological and biomedical sciences,"Bioinformatics, biostatistics, and computational biology","Bioinformatics, biostatistics, and computational biology nec",4,Detailed,all other 26.11
7647,r029,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,,3,Major,26.04
7647,r030,Science and engineering -> Biological and biomedical sciences -> Cell/ cellular biology and anatomy -> Cell/ cellular and molecular biology,Science and engineering,Biological and biomedical sciences,Cell/ cellular biology and anatomy,Cell/ cellular and molecular biology,4,Detailed,26.0406
