table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
9683,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['602,499', '  ']","['527,804', '  ']","['74,695', '  ']","['56,959', '  ']","['49,856', '  ']","['7,103', '  ']"
9683,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['326,060', '  ']","['287,666', '  ']","['38,394', '  ']","['48,860', '  ']","['44,287', '  ']","['4,572', '  ']"
9683,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,266', '  ']","['4,963 - 4,968', '  ']","['297 - 302', '  ']","['269', '  ']","['265 - 270', '  ']","['0 - 4', '  ']"
9683,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,247', '  ']","['1,228', '  ']","['19', '  ']","['178', '  ']","['175', '  ']","['4', '  ']"
9683,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['829', '  ']","['818', '  ']","['11', '  ']","['11', '  ']","['11', '  ']","['*', '  ']"
9683,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['444', '  ']","['433 - 442', '  ']","['2 - 10', '  ']","['12', '  ']","['12', '  ']","['0', '  ']"
9683,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['1,139', '  ']","['0', '  ']","['6', '  ']","['6', '  ']","['*', '  ']"
9683,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['204', 'i ']","['196 - 205', 'i ']","['0 - 7', '  ']","['3 - 12', '  ']","['3 - 12', '  ']","['0', '  ']"
9683,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['957', '  ']","['952', '  ']","['5', '  ']","['202', '  ']","['201', '  ']","['1', '  ']"
9683,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['109,490', '  ']","['97,097', '  ']","['12,393', '  ']","['36,393', '  ']","['33,228', '  ']","['3,165', '  ']"
9683,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,713', '  ']","['2,559', '  ']","['154', '  ']","['75', '  ']","['63', '  ']","['12', '  ']"
9683,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,389', 'i ']","['1,291 - 1,320', 'i ']","['69 - 98', 'i ']","['30 - 69', 'i ']","['11 - 40', 'i ']","['2 - 40', 'i ']"
9683,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,157', '  ']","['915 - 946', '  ']","['211 - 241', 'i ']","['99', '  ']","['93 - 99', '  ']","['0 - 6', '  ']"
9683,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['100,220', '  ']","['88,524', '  ']","['11,697', '  ']","['35,828', '  ']","['32,718', '  ']","['3,110', '  ']"
9683,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['2,740', '  ']","['2,531', '  ']","['209', '  ']","['295', '  ']","['290', '  ']","['4', '  ']"
9683,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,271', '  ']","['1,242 - 1,252', '  ']","['19 - 28', '  ']","['26 - 68', '  ']","['17 - 46', '  ']","['0 - 37', '  ']"
9683,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['3,144', '  ']","['2,961', '  ']","['183', '  ']","['63', '  ']","['60', '  ']","['3', '  ']"
9683,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,533', '  ']","['1,503', '  ']","['31', '  ']","['16', '  ']","['14', '  ']","['3', '  ']"
9683,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['912', '  ']","['887 - 890', '  ']","['22 - 26', 'i ']","['9 - 13', '  ']","['9 - 13', '  ']","['*', '  ']"
9683,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['4,291', '  ']","['3,879', '  ']","['412', '  ']","['89', '  ']","['80', '  ']","['9', '  ']"
9683,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['17,730', '  ']","['16,726', '  ']","['1,003', '  ']","['337', '  ']","['304', '  ']","['33', '  ']"
9683,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,867', '  ']","['1,799 - 1,807', '  ']","['60 - 68', '  ']","['114 - 138', '  ']","['114 - 123', '  ']","['0 - 15', '  ']"
9683,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,349', '  ']","['5,182', '  ']","['167', '  ']","['3', '  ']","['1', '  ']","['2', '  ']"
9683,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,374', '  ']","['1,239 - 1,246', '  ']","['128 - 134', '  ']","['25', '  ']","['13', '  ']","['13', '  ']"
9683,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['9,140', '  ']","['8,499', '  ']","['641', '  ']","['170 - 196', '  ']","['166 - 177', '  ']","['4 - 20', '  ']"
9683,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['101,063', '  ']","['94,211', '  ']","['6,852', '  ']","['3,976', '  ']","['3,811', '  ']","['165', '  ']"
9683,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['12,557', '  ']","['11,339', '  ']","['1,218', 'i ']","['1,100', '  ']","['1,085', '  ']","['15', 'i ']"
9683,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['47,396', '  ']","['45,516', '  ']","['1,880', '  ']","['357', '  ']","['300', '  ']","['57', '  ']"
9683,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['13,644', '  ']","['10,014', '  ']","['3,630', '  ']","['342', '  ']","['252', '  ']","['90', '  ']"
9683,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['3,087', '  ']","['2,837', '  ']","['250', '  ']","['84', '  ']","['77', '  ']","['8', '  ']"
9683,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instruments",5,334511,"['5,301', '  ']","['2,109', '  ']","['3,193', '  ']","['129', '  ']","['53', '  ']","['76', '  ']"
9683,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices,5,other 3345,"['5,256', '  ']","['5,068', '  ']","['187', '  ']","['129', '  ']","['123', '  ']","['6', '  ']"
9683,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['27,465', '  ']","['27,342', '  ']","['123', '  ']","['2,177', '  ']","['2,174', '  ']","['3', '  ']"
9683,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['5,494', '  ']","['5,007', '  ']","['486', '  ']","['76', '  ']","['71', '  ']","['5', '  ']"
9683,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['50,760', '  ']","['34,405', '  ']","['16,356', '  ']","['5,828', '  ']","['4,663', '  ']","['1,165', '  ']"
9683,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['26,391', '  ']","['22,754', '  ']","['3,637', '  ']","['4,353', '  ']","['4,124', '  ']","['229', '  ']"
9683,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['21,468', 'i ']","['9,900', '  ']","['11,568', 'i ']","['1,415', '  ']","['479', '  ']","['936', '  ']"
9683,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['19,845', 'i ']","['9,293', '  ']","['10,552', 'i ']","['1,348', '  ']","['418', 'i ']","['931', '  ']"
9683,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,623', '  ']","['608', '  ']","['1,016', '  ']","['67', '  ']","['62', '  ']","['5', '  ']"
9683,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank components",,4,336992,"['21 - 25', '  ']","['20 - 24', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['0', '  ']"
9683,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,875 - 2,880', '  ']","['1,726 - 1,731', '  ']","['1,149', '  ']","['61', '  ']","['60', '  ']","['*', '  ']"
9683,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['426', '  ']","['423', '  ']","['3', '  ']","['17', '  ']","['17', '  ']","['*', '  ']"
9683,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['21,133', '  ']","['20,822', '  ']","['311', '  ']","['1,361 - 1,380', '  ']","['1,342 - 1,363', '  ']","['14 - 20', '  ']"
