table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2022_actual,field_2023_preliminary,field_2024_proposed,field_2022_23_change_,field_2023_24_change_
10438,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,6090,3460,3132,-43.2,-9.5
10438,r002,R&D and R&D plant -> Postal Service (372),R&D and R&D plant,Postal Service (372),,,,,2,14,14,13,0.0,-7.1
10438,r003,R&D and R&D plant -> Postal Service (372) -> Postal Service Fund,R&D and R&D plant,Postal Service (372),Postal Service Fund,,,,3,14,14,13,0.0,-7.1
10438,r004,R&D and R&D plant -> Other advancement of commerce (376),R&D and R&D plant,Other advancement of commerce (376),,,,,2,6076,3446,3119,-43.3,-9.5
10438,r005,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,,,,3,6076,3446,3119,-43.3,-9.5
10438,r006,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> Census Bureau,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,Census Bureau,,,4,224,328,465,46.4,41.8
10438,r007,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,,,4,5761,2997,2554,-48.0,-14.8
10438,r008,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Construction of research facilities,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Construction of research facilities,,5,80,130,262,62.5,101.5
10438,r009,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Industrial technology services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Industrial technology services,,5,4524,1891,1329,-58.2,-29.7
10438,r010,R&D and R&D plant -> Other advancement of commerce (376) -> Department of Commerce -> National Institute of Standards and Technology -> Scientific and technical research and services,R&D and R&D plant,Other advancement of commerce (376),Department of Commerce,National Institute of Standards and Technology,Scientific and technical research and services,,5,1157,976,963,-15.6,-1.3
