table_id,row_id,industry_naics_code_and_company_size_full_path,industry_naics_code_and_company_size_level_1,industry_naics_code_and_company_size_level_2,industry_naics_code_and_company_size_level_3,industry_naics_code_and_company_size_level_4,industry_naics_code_and_company_size_hierarchy_depth,field_domestic_net_sales_millions_a,field_all_r_d_millions_b,field_r_d_intensity_c,field_domestic_employment_thousands_d_total,field_domestic_employment_thousands_d_r_de
5193,r001,"All industries, 21&#8211;33, 42&#8211;81","All industries, 21&#8211;33, 42&#8211;81",,,,1,11180864,"['492,956', '&nbsp;']",4.4,21213,1832
5193,r002,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33",,,2,5675165,"['285,674', '  ']",5.0,10100,962
5193,r003,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",,3,1161526,"['97,063', '  ']",8.4,1451,186
5193,r004,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Pharmaceuticals and medicines, 3254","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325","Pharmaceuticals and medicines, 3254",4,536020,"['87,619', '  ']",16.3,648,139
5193,r005,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Chemicals, 325 -> Other 325","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Chemicals, 325",Other 325,4,625506,"['9,444', '  ']",1.5,803,47
5193,r006,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Machinery, 333","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Machinery, 333",,3,363337,"['15,184', '&nbsp;']",4.2,869,95
5193,r007,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Computer and electronic products, 334","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Computer and electronic products, 334",,3,678010,"['86,729', '  ']",12.8,1167,264
5193,r008,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Electrical equipment, appliance, and components, 335","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Electrical equipment, appliance, and components, 335",,3,142538,"['5,263', '  ']",3.7,319,25
5193,r009,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336",,3,1164905,"['45,375', '  ']",3.9,1835,183
5193,r010,"All industries, 21&#8211;33, 42&#8211;81 -> Manufacturing industries, 31&#8211;33 -> Transportation equipment, 336 -> Motor vehicles, bodies, trailers, and parts, 3361&#8211;63","All industries, 21&#8211;33, 42&#8211;81","Manufacturing industries, 31&#8211;33","Transportation equipment, 336","Motor vehicles, bodies, trailers, and parts, 3361&#8211;63",4,805202,"['24,117', '  ']",3.0,1040,108
