table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_level_6,sex_and_field_level_7,sex_and_field_level_8,sex_and_field_hierarchy_depth,field_2000,field_2001,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017
1563,r001,Both sexes,Both sexes,,,,,,,,1,,,,,,,,,,,,,,,,,,
1563,r002,Both sexes -> All fields,Both sexes,All fields,,,,,,,2,460142,471329,485535,516098,562862,578964,599365,610469,631711,665473,698528,736455,759538,756975,759796,763980,791237,810108
1563,r003,Both sexes -> All fields -> S&E,Both sexes,All fields,S&E,,,,,,3,96230,99528,99650,108355,119296,120870,120999,120278,126404,134517,139926,150653,161372,166397,171228,180955,198292,206172
1563,r004,Both sexes -> All fields -> S&E -> Engineering,Both sexes,All fields,S&E,Engineering,,,,,4,25738,26436,26180,29472,33922,33899,32263,30936,33177,36510,37614,41282,43175,43388,45362,49207,55166,56971
1563,r005,Both sexes -> All fields -> S&E -> Engineering -> Aerospace,Both sexes,All fields,S&E,Engineering,Aerospace,,,,5,560,611,682,702,870,935,936,912,1036,1075,1098,1306,1408,1266,1311,1318,1438,1580
1563,r006,Both sexes -> All fields -> S&E -> Engineering -> Chemical,Both sexes,All fields,S&E,Engineering,Chemical,,,,5,1352,1368,1267,1364,1506,1506,1432,1230,1230,1285,1430,1741,1911,1932,2092,2278,2306,2441
1563,r007,Both sexes -> All fields -> S&E -> Engineering -> Civil,Both sexes,All fields,S&E,Engineering,Civil,,,,5,4140,4010,3945,4188,4445,4631,4493,4184,4327,4570,4962,5915,6405,6486,6691,6573,6921,6993
1563,r008,Both sexes -> All fields -> S&E -> Engineering -> Electrical,Both sexes,All fields,S&E,Engineering,Electrical,,,,5,8341,8596,8246,10038,12220,11613,10456,10093,11232,12698,12105,12545,12642,12473,13112,15763,18733,17978
1563,r009,Both sexes -> All fields -> S&E -> Engineering -> Industrial,Both sexes,All fields,S&E,Engineering,Industrial,,,,5,3048,3375,3375,3842,4247,3937,3558,3505,3659,4313,4866,5083,5346,5327,5605,5631,6630,7759
1563,r010,Both sexes -> All fields -> S&E -> Engineering -> Materials,Both sexes,All fields,S&E,Engineering,Materials,,,,5,759,706,624,717,800,790,765,787,768,836,815,894,990,1099,1170,1164,1308,1371
1563,r011,Both sexes -> All fields -> S&E -> Engineering -> Mechanical,Both sexes,All fields,S&E,Engineering,Mechanical,,,,5,3378,3471,3516,3802,4555,4739,4542,4365,4556,4689,4890,5938,5977,5991,6285,6954,7665,8386
1563,r012,Both sexes -> All fields -> S&E -> Engineering -> Other,Both sexes,All fields,S&E,Engineering,Other,,,,5,4160,4299,4525,4819,5279,5748,6081,5860,6369,7044,7448,7860,8496,8814,9096,9526,10165,10463
1563,r013,Both sexes -> All fields -> S&E -> Science,Both sexes,All fields,S&E,Science,,,,,4,70492,73092,73470,78883,85374,86971,88736,89342,93227,98007,102312,109371,118197,123009,125866,131748,143126,149201
1563,r014,Both sexes -> All fields -> S&E -> Science -> Natural sciences,Both sexes,All fields,S&E,Science,Natural sciences,,,,5,33326,35471,35780,39300,41970,41078,40808,40144,41914,43397,45331,48346,52613,55873,58908,66939,77883,86220
1563,r015,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Agricultural sciences,Both sexes,All fields,S&E,Science,Natural sciences,Agricultural sciences,,,6,3858,3752,4019,3955,4221,4171,4100,4126,4120,4349,4684,5148,5843,5757,5916,5792,6043,6119
1563,r016,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Biological sciences,Both sexes,All fields,S&E,Science,Natural sciences,Biological sciences,,,6,6329,6487,6341,6883,7644,8120,8718,8794,9565,9921,10668,11214,12313,13048,13731,14370,15370,16253
1563,r017,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",,,6,1345,1363,1406,1491,1570,1637,1684,1632,1552,1579,1677,1789,2049,2080,2197,2212,2133,2182
1563,r018,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Atmospheric sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Atmospheric sciences,,7,156,140,141,167,179,212,206,193,199,225,227,221,240,233,263,253,220,236
1563,r019,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Earth sciences",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Earth sciences,,7,1104,1121,1151,1203,1248,1314,1350,1312,1222,1224,1301,1429,1656,1705,1782,1812,1760,1780
1563,r020,"Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Earth, atmospheric, and ocean sciences -> Oceanography",Both sexes,All fields,S&E,Science,Natural sciences,"Earth, atmospheric, and ocean sciences",Oceanography,,7,85,102,114,121,143,111,128,127,131,130,149,139,153,142,152,147,153,166
1563,r021,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,,,6,18281,20132,20389,23311,24505,23086,22028,21349,22303,23447,23979,25722,27699,30179,32419,39821,49601,56909
1563,r022,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Computer sciences,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Computer sciences,,7,14986,16852,16965,19590,20208,18489,17138,16314,17151,17988,18021,19519,21015,22833,24635,31552,40211,46615
1563,r023,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Mathematics and computer sciences -> Mathematics and statistics,Both sexes,All fields,S&E,Science,Natural sciences,Mathematics and computer sciences,Mathematics and statistics,,7,3295,3280,3424,3721,4297,4597,4890,5035,5152,5459,5958,6203,6684,7346,7784,8269,9390,10294
1563,r024,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,,,6,3513,3737,3625,3660,4030,4064,4278,4243,4374,4101,4323,4473,4709,4809,4645,4744,4736,4757
1563,r025,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Astronomy,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Astronomy,,7,102,93,112,123,150,159,146,152,166,139,149,185,127,170,160,156,140,169
1563,r026,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Chemistry,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Chemistry,,7,1909,2009,1867,1830,2056,1912,2097,2144,2236,2131,2175,2324,2493,2478,2431,2491,2513,2557
1563,r027,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Physics,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Physics,,7,1244,1376,1353,1453,1637,1794,1853,1792,1799,1657,1810,1771,1879,1984,1876,1934,1959,1852
1563,r028,Both sexes -> All fields -> S&E -> Science -> Natural sciences -> Physical sciences -> Other physical sciences,Both sexes,All fields,S&E,Science,Natural sciences,Physical sciences,Other physical sciences,,7,258,259,293,254,187,199,182,155,173,174,189,193,210,177,178,163,124,179
1563,r029,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,,,,5,37166,37621,37690,39583,43404,45893,47928,49198,51313,54610,56981,61025,65584,67136,66958,64809,65243,62981
1563,r030,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Psychology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Psychology,,,6,13806,14449,14204,14885,15700,16478,17302,18594,18836,20744,21032,22363,24121,25140,25332,24029,25041,24653
1563,r031,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,,,6,23360,23172,23486,24698,27704,29415,30626,30604,32477,33866,35949,38662,41463,41996,41626,40780,40202,38328
1563,r032,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Anthropology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Anthropology,,7,950,1092,1017,1043,1098,1107,1156,1214,1145,1248,1233,1243,1279,1195,1316,1258,1204,1163
1563,r033,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Area and ethnic studies,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Area and ethnic studies,,7,1511,1511,1473,1427,1616,1662,2017,1641,1722,1672,1700,1880,1857,1874,1791,1858,1840,1723
1563,r034,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Economics,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Economics,,7,2515,2492,2651,2951,3201,3504,3330,3351,3576,3651,3732,4173,4331,4287,4541,4432,4378,4535
1563,r035,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> History of science,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,History of science,,7,24,26,35,25,25,29,41,28,47,33,25,44,37,33,28,26,35,32
1563,r036,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Linguistics,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Linguistics,,7,553,552,520,525,574,611,621,583,610,720,679,711,789,782,728,779,778,687
1563,r037,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Political science and public administration,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Political science and public administration,,7,13038,12937,13200,14135,15780,17421,18073,18525,19933,20575,22083,24128,26091,26762,26321,25786,25501,23381
1563,r038,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Sociology,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Sociology,,7,2036,1901,1957,1929,2031,1518,1577,1575,1571,1601,1453,1640,1810,1652,1661,1481,1419,1442
1563,r039,Both sexes -> All fields -> S&E -> Science -> Social and behavioral sciences -> Social sciences -> Other social sciences,Both sexes,All fields,S&E,Science,Social and behavioral sciences,Social sciences,Other social sciences,,7,2733,2661,2633,2663,3379,3563,3811,3687,3873,4366,5044,4843,5269,5411,5240,5160,5047,5365
1563,r040,Both sexes -> All fields -> Non-S&E,Both sexes,All fields,Non-S&E,,,,,,3,363912,371801,385885,407743,443566,458094,478366,490191,505307,530956,558602,585802,598166,590578,588568,583025,592945,603936
1563,r041,Both sexes -> Male,Both sexes,Male,,,,,,,2,,,,,,,,,,,,,,,,,,
1563,r042,Both sexes -> Male -> All fields,Both sexes,Male,All fields,,,,,,3,192821,195277,200199,212513,230786,234829,239418,239892,248971,263478,277170,293301,303802,303230,304556,308283,322313,328651
1563,r043,Both sexes -> Male -> All fields -> S&E,Both sexes,Male,All fields,S&E,,,,,4,54560,55884,55939,61183,67215,67244,66249,65353,68810,73489,76266,82451,87859,90046,92457,99282,110442,116326
1563,r044,Both sexes -> Male -> All fields -> S&E -> Engineering,Both sexes,Male,All fields,S&E,Engineering,,,,5,20396,20819,20617,23301,26774,26287,24784,23957,25540,28271,29212,31943,33276,33091,34374,36925,41377,42853
1563,r045,Both sexes -> Male -> All fields -> S&E -> Engineering -> Aerospace,Both sexes,Male,All fields,S&E,Engineering,Aerospace,,,6,484,521,557,596,721,771,781,742,864,906,941,1110,1217,1076,1104,1140,1198,1336
1563,r046,Both sexes -> Male -> All fields -> S&E -> Engineering -> Chemical,Both sexes,Male,All fields,S&E,Engineering,Chemical,,,6,1008,1016,932,1021,1089,1081,1046,854,877,887,995,1235,1316,1319,1475,1603,1608,1657
1563,r047,Both sexes -> Male -> All fields -> S&E -> Engineering -> Civil,Both sexes,Male,All fields,S&E,Engineering,Civil,,,6,3065,2951,2883,3041,3234,3309,3147,2969,3091,3214,3553,4266,4551,4503,4695,4607,4794,4905
