table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_hierarchy_depth,field_all_r_d_expenditures,field_source_of_funds_federal_government,field_source_of_funds_state_and_local_government,field_source_of_funds_businesses,field_source_of_funds_nonprofit_organizations,field_source_of_funds_all_other_organizations
12489,r001,All agencies,All agencies,,1,"['34,497', '']","['34,068', '']","['117', '']","['72', '']","['11', '']","['228', '']"
12489,r002,All agencies -> Department of Agriculture,All agencies,Department of Agriculture,2,"['1,685', '']","['1,661', 'i']","['9', '']","['1', '']","['2', '']","['13', '']"
12489,r003,All agencies -> Department of Commerce,All agencies,Department of Commerce,2,"['1,374', '']","['1,372', '']","['0', '']","['0', '']","['0', '']","['1', '']"
12489,r004,All agencies -> Department of Defense,All agencies,Department of Defense,2,"['20,864', '']","['20,681', '']","['1', '']","['26', '']","['6', '']","['149', '']"
12489,r005,All agencies -> Department of Energy<sup>a</sup>,All agencies,Department of Energy<sup>a</sup>,2,"['100', '']","['100', '']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
12489,r006,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,2,"['3,360', '']","['3,322', '']","['0', '']","['17', '']","['3', '']","['18', '']"
12489,r007,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,2,"['39', '']","['39', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12489,r008,All agencies -> Department of the Interior,All agencies,Department of the Interior,2,"['1,171', '']","['1,033', '']","['106', '']","['0', '']","['0', '']","['32', '']"
12489,r009,All agencies -> Department of Transportation,All agencies,Department of Transportation,2,"['130', '']","['85', '']","['1', '']","['27', '']","['1', '']","['15', '']"
12489,r010,All agencies -> Department of Veterans Affairs,All agencies,Department of Veterans Affairs,2,"['1,529', '']","['1,529', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12489,r011,All agencies -> Environmental Protection Agency,All agencies,Environmental Protection Agency,2,"['292', '']","['292', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12489,r012,All agencies -> National Aeronautics and Space Administration,All agencies,National Aeronautics and Space Administration,2,"['3,765', '']","['3,765', '']","['0', '']","['0', '']","['0', '']","['0', '']"
12489,r013,All agencies -> Other agencies,All agencies,Other agencies,2,"['188', 'i']","['188', 'i']","['0', 'i']","['0', 'i']","['0', 'i']","['0', 'i']"
