table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_united_states,field_companies_outside_united_states_company_s_parent,field_companies_outside_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_all_other_in_united_states,field_all_other_outside_united_states,field_undistributeda
758,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['38,683', '&nbsp;']","['32,121', '&nbsp;']","['414', '&nbsp;']","['3,829', '&nbsp;']","['156', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['479', '&nbsp;']","['158', '&nbsp;']","['1,516', 'i']"
758,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['34,576', '&nbsp;']","['29,372', '&nbsp;']","['394', '&nbsp;']","['3,450', '&nbsp;']","['108', '&nbsp;']","['7', '&nbsp;']","['*', 'i']","['272', '&nbsp;']","['128', '&nbsp;']","['844', 'i']"
758,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['147', '&nbsp;']","['94', '&nbsp;']","['1', '&nbsp;']","['15', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['16', '&nbsp;']","['8', '&nbsp;']","['14', 'i']"
758,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['217', '&nbsp;']","['207', 'i']","['0', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['4', 'i']"
758,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['24', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['16', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', 'i']"
758,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['10', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['13', '&nbsp;']","['3', 'i']","['7', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', 'i']"
758,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['6', 'i']","['3', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['2', 'i']"
758,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['32', '&nbsp;']","['19', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['4', 'i']"
758,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['26,962', '&nbsp;']","['23,390', '&nbsp;']","['4', '&nbsp;']","['2,889', '&nbsp;']","['16', 'i']","['5', '&nbsp;']","['*', 'i']","['135', '&nbsp;']","['99', '&nbsp;']","['424', 'i']"
758,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['156', '&nbsp;']","['98', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['39', '&nbsp;']","['2', '&nbsp;']","['D', '&nbsp;']"
758,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['61', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
758,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['D', '&nbsp;']","['77', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']"
758,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['26,473', '&nbsp;']","['23,045', '&nbsp;']","['D', '&nbsp;']","['2,844', '&nbsp;']","['16', 'i']","['4', '&nbsp;']","['*', 'i']","['75', '&nbsp;']","['93', '&nbsp;']","['D', '&nbsp;']"
