table_id,row_id,type_of_r_d_full_path,type_of_r_d_level_1,type_of_r_d_level_2,type_of_r_d_hierarchy_depth,field_total_r_d_expenditures,field_source_of_funds_for_r_d_expenditures_federal,field_source_of_funds_for_r_d_expenditures_nonfederal
7154,r001,Total ,Total ,,1,22572535,8256783,14315752
7154,r002,Total  -> Applied research,Total ,Applied research,2,10939765,4541427,6398338
7154,r003,Total  -> Basic research,Total ,Basic research,2,7548391,2400950,5147441
7154,r004,Total  -> Experimental development,Total ,Experimental development,2,4084379,1314407,2769973
