table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_researchersa,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
8849,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['250', 'i']","['161', 'i']","['56', 'i']","['33', 'i']"
8849,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['124', 'i']","['80', 'i']","['24', 'i']","['20', 'i']"
8849,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2', 'i']","['1', 'i']","['1', 'i']","['1', '&nbsp;']"
8849,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
8849,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', 'i']","['*', 'i']","['*', 'i']","['*', '&nbsp;']"
8849,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['72', 'i']","['49', 'i']","['9', 'i']","['14', 'i']"
8849,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['*', 'i']"
8849,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['4', 'i']","['1', 'i']","['1', 'i']","['2', 'i']"
8849,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['66', 'i']","['47', 'i']","['7', 'i']","['12', 'i']"
8849,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
8849,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']"
8849,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['2', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
8849,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
8849,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
8849,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['9', 'i']","['7', 'i']","['1', 'i']","['1', 'i']"
8849,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['*', 'i']"
8849,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1', 'i']","['*', 'i']","['*', '&nbsp;']","['*', 'i']"
8849,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['8', 'i']","['6', 'i']","['1', 'i']","['1', 'i']"
8849,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['13', 'i']","['8', 'i']","['3', 'i']","['1', 'i']"
8849,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['4', 'i']","['2', 'i']","['1', 'i']","['*', 'i']"
8849,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['5', 'i']","['3', 'i']","['1', 'i']","['*', 'i']"
8849,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3', 'i']","['2', 'i']","['1', 'i']","['*', 'i']"
8849,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['1', 'i']","['1', 'i']","['*', 'i']","['*', 'i']"
8849,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['1', 'i']","['1', 'i']","['*', 'i']","['*', 'i']"
8849,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['1', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
8849,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['2', 'i']","['1', 'i']","['1', 'i']","['*', 'i']"
8849,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['9', 'i']","['5', 'i']","['3', 'i']","['1', 'i']"
8849,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['6', 'i']","['4', 'i']","['2', 'i']","['*', 'i']"
8849,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['2', 'i']","['1', 'i']","['1', 'i']","['*', '&nbsp;']"
8849,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['2', 'i']","['1', '&nbsp;']","['*', 'i']","['*', '&nbsp;']"
8849,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['*', 'i']","['*', 'i']","['*', '&nbsp;']","['*', 'i']"
8849,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['*', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']"
8849,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['*', '&nbsp;']","['*', '&nbsp;']","['*', 'i']","['*', 'i']"
8849,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
8849,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['11', '&nbsp;']","['7', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']"
8849,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['11', '&nbsp;']","['6', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']"
8849,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['1', 'i']","['*', '&nbsp;']","['*', 'i']","['*', '&nbsp;']"
8849,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['126', 'i']","['81', 'i']","['32', 'i']","['13', 'i']"
8849,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['1', 'i']","['1', 'i']","['*', 'i']","['*', 'i']"
8849,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']"
8849,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['*', 'i']","['*', '&nbsp;']","['*', 'i']","['*', '&nbsp;']"
