table_id,row_id,adult_characteristic_full_path,adult_characteristic_level_1,adult_characteristic_level_2,adult_characteristic_hierarchy_depth,field_7_12_may_2020_computer_or_other_digital_device,field_7_12_may_2020_internet,field_16_28_september_2020_computer_or_other_digital_device,field_16_28_september_2020_internet
4284,r001,Total,Total,,1,70,72,77,76
4284,r002,Education attainment,Education attainment,,1,,,,
4284,r003,Total,Total,,1,70,72,77,76
4284,r004,Total -> Less than high school,Total,Less than high school,2,44,52,62,67
4284,r005,Total -> High school,Total,High school,2,67,67,71,70
4284,r006,Total -> Some college or associate's degree,Total,Some college or associate's degree,2,69,73,80,76
4284,r007,Total -> Bachelor's or higher degree,Total,Bachelor's or higher degree,2,81,83,85,85
4284,r008,Selected household income levels,Selected household income levels,,1,,,,
4284,r009,Total,Total,,1,70,72,77,76
4284,r010,"Total -> Below $25,000",Total,"Below $25,000",2,57,60,65,62
4284,r011,"Total -> $50,000&#8722;$74,999",Total,"$50,000&#8722;$74,999",2,67,70,77,76
4284,r012,"Total -> $100,000&#8722;$149,999",Total,"$100,000&#8722;$149,999",2,84,82,87,86
4284,r013,"Total -> $200,000 and above",Total,"$200,000 and above",2,90,91,92,92
