table_id,row_id,sector_and_occupation_full_path,sector_and_occupation_level_1,sector_and_occupation_level_2,sector_and_occupation_level_3,sector_and_occupation_level_4,sector_and_occupation_level_5,sector_and_occupation_hierarchy_depth,field_total,field_sex_female,field_sex_male,field_hispanic_or_latinoa,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_disability_status_without_disability,field_disability_status_with_disability
3304,r001,All sectors,All sectors,,,,,1,28627000,13720000,14907000,2646000,89000,3869000,2065000,82000,19225000,650000,25699000,2928000
3304,r002,All sectors -> S&E occupations<sup>b</sup>,All sectors,S&E occupations<sup>b</sup>,,,,2,7466000,2193000,5274000,564000,S,1543000,379000,17000,4784000,158000,6795000,671000
3304,r003,All sectors -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,S&E occupations<sup>b</sup>,Science occupations,,,3,5545000,1883000,3662000,405000,S,1212000,302000,9000,3479000,121000,5050000,495000
3304,r004,"All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,4,698000,337000,361000,64000,1000,157000,23000,,439000,14000,642000,56000
3304,r005,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,4,3409000,820000,2589000,214000,S,885000,189000,6000,2017000,84000,3106000,303000
3304,r006,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,4,365000,155000,210000,24000,,70000,S,,242000,4000,339000,26000
3304,r007,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,4,409000,142000,267000,27000,1000,55000,18000,S,300000,7000,364000,46000
3304,r008,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Psychologist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Psychologist,,4,276000,220000,56000,24000,0.05,10000,14000,,222000,5000,249000,27000
3304,r009,All sectors -> S&E occupations<sup>b</sup> -> Science occupations -> Social scientist,All sectors,S&E occupations<sup>b</sup>,Science occupations,Social scientist,,4,387000,208000,179000,52000,S,34000,33000,S,259000,7000,350000,37000
3304,r010,All sectors -> S&E occupations<sup>b</sup> -> Engineering occupations,All sectors,S&E occupations<sup>b</sup>,Engineering occupations,,,3,1921000,310000,1612000,159000,5000,331000,77000,7000,1305000,37000,1745000,177000
3304,r011,All sectors -> S&E-related occupations<sup>c</sup>,All sectors,S&E-related occupations<sup>c</sup>,,,,2,8893000,5109000,3785000,821000,29000,1151000,613000,30000,6053000,198000,8148000,745000
3304,r012,All sectors -> Non-S&E occupations<sup>d</sup>,All sectors,Non-S&E occupations<sup>d</sup>,,,,2,12267000,6419000,5848000,1261000,39000,1176000,1074000,35000,8388000,295000,10755000,1512000
3304,r013,All sectors -> Business or industry,All sectors,Business or industry,,,,2,15580000,5972000,9608000,1380000,41000,2461000,933000,35000,10399000,333000,14014000,1565000
3304,r014,All sectors -> Business or industry -> S&E occupations<sup>b</sup>,All sectors,Business or industry,S&E occupations<sup>b</sup>,,,3,4878000,1118000,3760000,343000,5000,1121000,223000,9000,3066000,110000,4447000,431000
3304,r015,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,,4,3375000,889000,2485000,218000,2000,868000,169000,S,2029000,82000,3079000,296000
3304,r016,"All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",5,233000,113000,120000,20000,S,57000,8000,,142000,5000,216000,16000
3304,r017,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,5,2674000,570000,2104000,162000,S,748000,138000,S,1551000,68000,2441000,233000
3304,r018,All sectors -> Business or industry -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All sectors,Business or industry,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,5,178000,68000,110000,13000,,41000,S,,109000,2000,168000,9000
