table_id,row_id,indicator_and_highest_degree_level_full_path,indicator_and_highest_degree_level_level_1,indicator_and_highest_degree_level_level_2,indicator_and_highest_degree_level_level_3,indicator_and_highest_degree_level_hierarchy_depth,field_all_s_e_fields,field_biological_agricultural_and_environmental_life_sciences,field_computer_and_mathematical_sciences,field_physical_sciences,field_social_sciences,field_engineering
4412,r001,Unemployment rate (%),Unemployment rate (%),,,1,,,,,,
4412,r002,Unemployment rate (%) -> All degree levels,Unemployment rate (%),All degree levels,,2,4.2,5.9,7.2,1.7,3.6,1.9
4412,r003,Unemployment rate (%) -> All degree levels -> Bachelor's,Unemployment rate (%),All degree levels,Bachelor's,3,5.6,7.9,10.1,1.4,4.5,2.5
4412,r004,Unemployment rate (%) -> All degree levels -> Master's,Unemployment rate (%),All degree levels,Master's,3,1.3,s,1.5,s,1.2,1.0
4412,r005,Unemployment rate (%) -> All degree levels -> Doctorate,Unemployment rate (%),All degree levels,Doctorate,3,1.1,s,s,s,s,s
4412,r006,Involuntarily out-of-field rate (%),Involuntarily out-of-field rate (%),,,1,,,,,,
4412,r007,Involuntarily out-of-field rate (%) -> All degree levels,Involuntarily out-of-field rate (%),All degree levels,,2,7.1,8.7,2.8,s,10.3,2.3
4412,r008,Involuntarily out-of-field rate (%) -> All degree levels -> Bachelor's,Involuntarily out-of-field rate (%),All degree levels,Bachelor's,3,9.5,11.2,3.7,s,13.4,3.1
4412,r009,Involuntarily out-of-field rate (%) -> All degree levels -> Master's,Involuntarily out-of-field rate (%),All degree levels,Master's,3,2.1,4.6,1.0,s,2.7,0.9
4412,r010,Involuntarily out-of-field rate (%) -> All degree levels -> Doctorate,Involuntarily out-of-field rate (%),All degree levels,Doctorate,3,1.6,s,s,s,s,s
4412,r011,Median annual salary ($),Median annual salary ($),,,1,,,,,,
4412,r012,Median annual salary ($) -> All degree levels,Median annual salary ($),All degree levels,,2,53000,43000,75000,46000,40000,75000
4412,r013,Median annual salary ($) -> All degree levels -> Bachelor's,Median annual salary ($),All degree levels,Bachelor's,3,45000,38000,65000,39000,36000,71000
4412,r014,Median annual salary ($) -> All degree levels -> Master's,Median annual salary ($),All degree levels,Master's,3,70000,48000,91000,46000,49000,87000
4412,r015,Median annual salary ($) -> All degree levels -> Doctorate,Median annual salary ($),All degree levels,Doctorate,3,80000,64000,109000,66000,78000,101000
