table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_energy_companiesb_number_,field_energy_amount,field_environmental_protection_companiesb_number_,field_environmental_protection_amount
2720,r025,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['9,978', '  ']","['143,123', '  ']","['872', 'i ']","['3,908', '  ']","['588', 'i ']","['918', '  ']"
2720,r026,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['149', '  ']","['1,775', '  ']","['62', 'i ']","['1,462', '  ']","['30', 'i ']","['73', '  ']"
2720,r027,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['61', '  ']","['224', '  ']","['56', 'i ']","['211', '  ']","['23', 'i ']","['68', '  ']"
2720,r028,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['768', '  ']","['881', 'i ']","['80', 'i ']","['59', 'i ']","['62', 'i ']","['21', 'i ']"
2720,r029,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['2,626', '  ']","['93,487', '  ']","['123', '  ']","['992', '  ']","['27', '  ']","['131', '  ']"
2720,r030,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['975', '  ']","['32,281', '  ']","['67', 'i ']","['434', '  ']","['15', '  ']","['98', '  ']"
2720,r031,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['177', '  ']","['3,631', '  ']","['D', '  ']","['7', '  ']","['D', '  ']","['2', '  ']"
2720,r032,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,192', '  ']","['23,115', '  ']","['45', '  ']","['541', '  ']","['D', '  ']","['28', '  ']"
2720,r033,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['284', '  ']","['34,459', '  ']","['D', '  ']","['10', '  ']","['D', '  ']","['4', '  ']"
2720,r034,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['5,204', '  ']","['22,374', '  ']","['489', 'i ']","['1,038', '  ']","['412', 'i ']","['606', 'i ']"
2720,r035,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,150', '  ']","['2,277', '  ']","['307', 'i ']","['506', 'i ']","['310', 'i ']","['373', 'i ']"
2720,r036,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['785', '  ']","['2,424', '  ']","['122', 'i ']","['326', '  ']","['61', 'i ']","['100', '  ']"
2720,r037,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['202', '  ']","['820', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['1', '  ']"
2720,r038,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['583', '  ']","['1,603', '  ']","['122', 'i ']","['326', '  ']","['D', '&nbsp;']","['99', '  ']"
2720,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,269', '  ']","['17,673', '  ']","['60', '  ']","['206', '  ']","['41', '  ']","['133', '  ']"
2720,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['178', '  ']","['1,401', '  ']","['D', '&nbsp;']","['9', 'i ']","['0', '  ']","['0', '  ']"
2720,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['998', '  ']","['22,982', 'i ']","['D', '  ']","['137', '  ']","['34', '  ']","['19', 'i ']"
2720,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['24,698', '  ']","['377,806', '  ']","['3,439', 'i ']","['23,275', 'i ']","['2,541', 'i ']","['7,994', 'i ']"
2720,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2720,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['3,948', '  ']","['3,340', '  ']","['408', 'i ']","['172', 'i ']","['280', 'i ']","['91', 'i ']"
