table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_level_4,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
11708,r041,Science and engineering ->  Agricultural sciences and natural resources -> From top 20 institutions -> Kansas State U.,Science and engineering, Agricultural sciences and natural resources,From top 20 institutions,Kansas State U.,4,16,26,9,17
11708,r042,"Science and engineering ->  Agricultural sciences and natural resources -> From top 20 institutions -> U. Nebraska, Lincoln",Science and engineering, Agricultural sciences and natural resources,From top 20 institutions,"U. Nebraska, Lincoln",4,16,26,14,12
11708,r043,"Science and engineering ->  Agricultural sciences and natural resources -> From top 20 institutions -> Louisiana State U., Baton Rouge",Science and engineering, Agricultural sciences and natural resources,From top 20 institutions,"Louisiana State U., Baton Rouge",4,18,24,13,11
11708,r044,Science and engineering ->  Agricultural sciences and natural resources -> From top 20 institutions -> Texas Tech U.,Science and engineering, Agricultural sciences and natural resources,From top 20 institutions,Texas Tech U.,4,18,24,15,9
11708,r045,Science and engineering ->  Agricultural sciences and natural resources -> From top 20 institutions -> Michigan State U.,Science and engineering, Agricultural sciences and natural resources,From top 20 institutions,Michigan State U.,4,20,23,6,17
11708,r046,Science and engineering ->  Biological and biomedical sciences,Science and engineering, Biological and biomedical sciences,,,2,-,9724,4433,5290
11708,r047,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions,Science and engineering, Biological and biomedical sciences,From top 20 institutions,,3,-,2818,1305,1513
11708,r048,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Harvard U.,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Harvard U.,4,1,207,103,104
11708,r049,Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> Johns Hopkins U.,Science and engineering, Biological and biomedical sciences,From top 20 institutions,Johns Hopkins U.,4,2,185,76,109
11708,r050,"Science and engineering ->  Biological and biomedical sciences -> From top 20 institutions -> U. California, Davis",Science and engineering, Biological and biomedical sciences,From top 20 institutions,"U. California, Davis",4,3,174,69,105
