table_id,row_id,_b_field_and_institution_b_full_path,_b_field_and_institution_b_level_1,_b_field_and_institution_b_level_2,_b_field_and_institution_b_level_3,_b_field_and_institution_b_level_4,_b_field_and_institution_b_hierarchy_depth,field_rank,field_totala,field_male,field_female
11708,r147,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Minnesota, Twin Cities",Science and engineering, Health sciences,From top 20 institutions,"U. Minnesota, Twin Cities",4,7,47,20,27
11708,r148,Science and engineering ->  Health sciences -> From top 20 institutions -> U. Wisconsin-Madison,Science and engineering, Health sciences,From top 20 institutions,U. Wisconsin-Madison,4,8,44,23,21
11708,r149,Science and engineering ->  Health sciences -> From top 20 institutions -> Harvard U.,Science and engineering, Health sciences,From top 20 institutions,Harvard U.,4,9,39,10,29
11708,r150,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Pittsburgh, Pittsburgh",Science and engineering, Health sciences,From top 20 institutions,"U. Pittsburgh, Pittsburgh",4,10,38,8,30
11708,r151,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Texas Health Science Center, Houston",Science and engineering, Health sciences,From top 20 institutions,"U. Texas Health Science Center, Houston",4,11,37,15,22
11708,r152,"Science and engineering ->  Health sciences -> From top 20 institutions -> Ohio State U., Columbus",Science and engineering, Health sciences,From top 20 institutions,"Ohio State U., Columbus",4,12,36,11,25
11708,r153,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Michigan, Ann Arbor",Science and engineering, Health sciences,From top 20 institutions,"U. Michigan, Ann Arbor",4,13,35,14,21
11708,r154,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Mississippi, Oxford",Science and engineering, Health sciences,From top 20 institutions,"U. Mississippi, Oxford",4,14,34,20,14
11708,r155,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Texas, Austin",Science and engineering, Health sciences,From top 20 institutions,"U. Texas, Austin",4,15,32,13,19
11708,r156,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Illinois, Chicago",Science and engineering, Health sciences,From top 20 institutions,"U. Illinois, Chicago",4,16,31,7,24
11708,r157,Science and engineering ->  Health sciences -> From top 20 institutions -> U. Iowa,Science and engineering, Health sciences,From top 20 institutions,U. Iowa,4,17,30,11,19
11708,r158,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Nebraska, Medical Center",Science and engineering, Health sciences,From top 20 institutions,"U. Nebraska, Medical Center",4,17,30,12,18
11708,r159,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. South Carolina, Columbia",Science and engineering, Health sciences,From top 20 institutions,"U. South Carolina, Columbia",4,17,30,7,23
11708,r160,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Alabama, Birmingham",Science and engineering, Health sciences,From top 20 institutions,"U. Alabama, Birmingham",4,20,29,9,20
11708,r161,"Science and engineering ->  Health sciences -> From top 20 institutions -> U. Cincinnati, Uptown West Campus",Science and engineering, Health sciences,From top 20 institutions,"U. Cincinnati, Uptown West Campus",4,20,29,15,14
11708,r162,Science and engineering ->  Mathematics and statistics,Science and engineering, Mathematics and statistics,,,2,-,2056,1480,575
