table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_all_companies_total_sales,field_all_companies_r_d_as_percentage_of_sales,field_1_4_employees_total_sales,field_1_4_employees_r_d_as_percentage_of_sales,field_5_9_employees_total_sales,field_5_9_employees_r_d_as_percentage_of_sales
9861,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['14,404,579', '&nbsp;']","['43', '&nbsp;']","['5,896,014', '&nbsp;']","['44', '&nbsp;']","['8,508,565', '&nbsp;']","['42', '&nbsp;']"
9861,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['2,481,919', '&nbsp;']","['30', '&nbsp;']","['676,678', '&nbsp;']","['48', '&nbsp;']","['1,805,241', '&nbsp;']","['23', '&nbsp;']"
9861,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['161,694', 'r']","['11', 'r']","['29,791', '&nbsp;']","['25', 'r']","['131,903', 'r']","['8', 'r']"
9861,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['17,383', '&nbsp;']","['41', 'r']","['17,383', '&nbsp;']","['41', 'r']","['0', '&nbsp;']","['0', '&nbsp;']"
9861,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['110', '&nbsp;']","['122', '&nbsp;']","['110', '&nbsp;']","['122', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9861,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9861,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9861,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
9861,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['554,360', '&nbsp;']","['24', '&nbsp;']","['105,687', '&nbsp;']","['62', 'r']","['448,673', '&nbsp;']","['15', '&nbsp;']"
9861,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['115,349', '&nbsp;']","['84', 'r']","['32,752', '&nbsp;']","['163', 'r']","['82,597', '&nbsp;']","['52', 'r']"
9861,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['439,010', '&nbsp;']","['8', '&nbsp;']","['72,934', '&nbsp;']","['17', 'r']","['366,076', '&nbsp;']","['6', '&nbsp;']"
9861,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['36,857', '&nbsp;']","['17', '&nbsp;']","['13,696', 'r']","['18', 'r']","['23,161', '&nbsp;']","['17', '&nbsp;']"
9861,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['13,482', 'r']","['27', 'r']","['12,333', 'r']","['26', 'r']","['1,148', '&nbsp;']","['39', '&nbsp;']"
9861,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['25,945', 'r']","['8', 'r']","['333', '&nbsp;']","['152', '&nbsp;']","['25,612', 'r']","['6', 'r']"
9861,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['44,037', 'r']","['27', 'r']","['1,898', '&nbsp;']","['353', '&nbsp;']","['42,139', 'r']","['13', 'r']"
9861,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['206,671', '&nbsp;']","['31', 'r']","['82,425', '&nbsp;']","['35', 'r']","['124,246', '&nbsp;']","['28', 'r']"
9861,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['874,194', '&nbsp;']","['32', '&nbsp;']","['191,719', '&nbsp;']","['46', '&nbsp;']","['682,475', '&nbsp;']","['28', '&nbsp;']"
9861,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['213,136', '&nbsp;']","['33', 'r']","['55,974', '&nbsp;']","['54', 'r']","['157,163', '&nbsp;']","['26', 'r']"
9861,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['454,887', '&nbsp;']","['36', '&nbsp;']","['104,711', '&nbsp;']","['40', 'r']","['350,177', '&nbsp;']","['35', '&nbsp;']"
9861,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['206,170', '&nbsp;']","['21', '&nbsp;']","['31,035', '&nbsp;']","['53', '&nbsp;']","['175,135', '&nbsp;']","['15', '&nbsp;']"
9861,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['186,206', '&nbsp;']","['21', '&nbsp;']","['76,035', 'r']","['11', 'r']","['110,172', 'r']","['29', '&nbsp;']"
9861,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['99,879', '&nbsp;']","['34', '&nbsp;']","['30,473', '&nbsp;']","['65', '&nbsp;']","['69,406', '&nbsp;']","['20', '&nbsp;']"
9861,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['29,152', '&nbsp;']","['45', 'r']","['8,770', '&nbsp;']","['88', '&nbsp;']","['20,382', '&nbsp;']","['26', '&nbsp;']"
