table_id,row_id,sex_occupation_and_age_full_path,sex_occupation_and_age_level_1,sex_occupation_and_age_level_2,sex_occupation_and_age_level_3,sex_occupation_and_age_level_4,sex_occupation_and_age_level_5,sex_occupation_and_age_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_u_s_citizen,field_non_u_s_citizen
6842,r001,"Both sexes, all occupations","Both sexes, all occupations",,,,,1,40172000,3592000,107000,3871000,3245000,124000,28421000,811000,35666000,4506000,38046000,2125000
6842,r002,"Both sexes, all occupations -> 29 and younger","Both sexes, all occupations",29 and younger,,,,2,5614000,669000,S,579000,353000,19000,3801000,186000,5114000,500000,5258000,356000
6842,r003,"Both sexes, all occupations -> 30&#8211;39","Both sexes, all occupations",30&#8211;39,,,,2,11016000,1114000,21000,1271000,907000,32000,7358000,314000,10279000,737000,10038000,978000
6842,r004,"Both sexes, all occupations -> 40&#8211;49","Both sexes, all occupations",40&#8211;49,,,,2,9669000,926000,30000,1065000,867000,41000,6580000,159000,8645000,1024000,9175000,493000
6842,r005,"Both sexes, all occupations -> 50&#8211;75","Both sexes, all occupations",50&#8211;75,,,,2,13872000,883000,49000,957000,1118000,32000,10682000,152000,11627000,2245000,13575000,297000
6842,r006,"Both sexes, all occupations -> S&E occupations","Both sexes, all occupations",S&E occupations,,,,2,6169000,459000,12000,1242000,357000,23000,3976000,100000,5592000,577000,5305000,865000
6842,r007,"Both sexes, all occupations -> S&E occupations -> 29 and younger","Both sexes, all occupations",S&E occupations,29 and younger,,,3,1066000,115000,S,219000,41000,4000,659000,27000,991000,75000,888000,178000
6842,r008,"Both sexes, all occupations -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",S&E occupations,30&#8211;39,,,3,1857000,164000,3000,449000,108000,4000,1093000,37000,1758000,99000,1415000,442000
6842,r009,"Both sexes, all occupations -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",S&E occupations,40&#8211;49,,,3,1434000,101000,5000,339000,76000,13000,883000,17000,1312000,122000,1258000,176000
6842,r010,"Both sexes, all occupations -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",S&E occupations,50&#8211;75,,,3,1811000,80000,2000,235000,132000,3000,1341000,19000,1532000,280000,1743000,68000
6842,r011,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,556000,34000,0.05,116000,19000,1000,376000,9000,521000,35000,461000,96000
6842,r012,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,,4,129000,7000,,26000,4000,,88000,4000,124000,5000,111000,18000
6842,r013,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,,4,177000,15000,,39000,7000,S,113000,3000,170000,7000,129000,48000
6842,r014,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,,4,111000,5000,,24000,2000,,77000,2000,102000,8000,90000,21000
6842,r015,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,,4,139000,7000,,27000,6000,,98000,1000,124000,15000,130000,10000
6842,r016,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,,,3,3183000,181000,4000,786000,232000,11000,1921000,48000,2904000,279000,2655000,528000
6842,r017,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,29 and younger,,4,466000,30000,,123000,26000,S,275000,11000,446000,21000,365000,102000
6842,r018,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,30&#8211;39,,4,1013000,72000,S,296000,71000,,550000,20000,962000,51000,731000,282000
6842,r019,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,40&#8211;49,,4,831000,46000,,245000,48000,6000,476000,8000,763000,68000,717000,115000
6842,r020,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,50&#8211;75,,4,873000,33000,,122000,86000,2000,620000,9000,734000,139000,843000,30000
6842,r021,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists","Both sexes, all occupations",S&E occupations,Physical and related scientists,,,3,311000,26000,S,43000,11000,S,221000,7000,282000,28000,275000,35000
6842,r022,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Physical and related scientists,29 and younger,,4,68000,S,,13000,2000,,47000,S,66000,S,57000,11000
6842,r023,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Physical and related scientists,30&#8211;39,,4,74000,6000,,12000,4000,,49000,2000,72000,2000,59000,15000
6842,r024,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Physical and related scientists,40&#8211;49,,4,63000,12000,,7000,S,,41000,2000,56000,8000,57000,6000
6842,r025,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Physical and related scientists,50&#8211;75,,4,105000,5000,,11000,5000,,84000,S,89000,17000,101000,4000
6842,r026,"Both sexes, all occupations -> S&E occupations -> Social and related scientists","Both sexes, all occupations",S&E occupations,Social and related scientists,,,3,500000,83000,S,30000,37000,S,342000,6000,426000,74000,476000,24000
6842,r027,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Social and related scientists,29 and younger,,4,87000,S,,4000,2000,,39000,1000,54000,S,85000,2000
6842,r028,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Social and related scientists,30&#8211;39,,4,157000,24000,,9000,9000,,112000,3000,144000,12000,144000,13000
6842,r029,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Social and related scientists,40&#8211;49,,4,106000,12000,,9000,8000,,77000,0.05,97000,10000,101000,5000
6842,r030,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Social and related scientists,50&#8211;75,,4,150000,8000,0.05,8000,18000,,113000,2000,131000,19000,146000,4000
6842,r031,"Both sexes, all occupations -> S&E occupations -> Engineers","Both sexes, all occupations",S&E occupations,Engineers,,,3,1619000,135000,5000,267000,58000,8000,1116000,30000,1459000,160000,1438000,181000
6842,r032,"Both sexes, all occupations -> S&E occupations -> Engineers -> 29 and younger","Both sexes, all occupations",S&E occupations,Engineers,29 and younger,,4,314000,34000,,53000,7000,,210000,9000,300000,14000,269000,46000
6842,r033,"Both sexes, all occupations -> S&E occupations -> Engineers -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Engineers,30&#8211;39,,4,437000,47000,,93000,17000,0.05,269000,9000,410000,27000,351000,86000
