table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plant
2471,r001,United States<sup>f</sup>,United States<sup>f</sup>,,1,2426882959,676171326,1750711633,1024316554,438222437,288172642,10290679
2471,r002,United States<sup>f</sup> -> Alabama,United States<sup>f</sup>,Alabama,2,19763230,7412961,12350269,6601893,143357,5605019,0
2471,r003,United States<sup>f</sup> -> Alaska,United States<sup>f</sup>,Alaska,2,12502109,8920501,3581608,816177,2412402,353029,0
2471,r004,United States<sup>f</sup> -> Arizona,United States<sup>f</sup>,Arizona,2,17332044,761096,16570948,11068716,900213,4602019,0
2471,r005,United States<sup>f</sup> -> Arkansas,United States<sup>f</sup>,Arkansas,2,21098863,66099,21032764,20576710,447500,8554,0
2471,r006,United States<sup>f</sup> -> California,United States<sup>f</sup>,California,2,526918585,73081146,453837439,159254746,187118114,107464579,338000
2471,r007,United States<sup>f</sup> -> Colorado,United States<sup>f</sup>,Colorado,2,36586577,11900858,24685719,11714288,12536431,435000,0
2471,r008,United States<sup>f</sup> -> Connecticut,United States<sup>f</sup>,Connecticut,2,57241037,24679641,32561396,12120941,18862144,1578311,0
2471,r009,United States<sup>f</sup> -> Delaware,United States<sup>f</sup>,Delaware,2,3826318,2558634,1267684,741945,449251,76488,0
2471,r010,United States<sup>f</sup> -> District of Columbia,United States<sup>f</sup>,District of Columbia,2,4222412,1888642,2333770,881908,1251862,200000,0
2471,r011,United States<sup>f</sup> -> Florida,United States<sup>f</sup>,Florida,2,170508724,50604692,119904032,72945728,4605749,42352555,4168184
2471,r012,United States<sup>f</sup> -> Georgia,United States<sup>f</sup>,Georgia,2,18875484,3539835,15335649,10178649,2801451,2355549,0
2471,r013,United States<sup>f</sup> -> Hawaii,United States<sup>f</sup>,Hawaii,2,7325591,257625,7067966,1559669,5012297,496000,11237
2471,r014,United States<sup>f</sup> -> Idaho,United States<sup>f</sup>,Idaho,2,17828263,6709727,11118536,7096483,181920,3840133,52080
2471,r015,United States<sup>f</sup> -> Illinois,United States<sup>f</sup>,Illinois,2,17548556,1171225,16377331,12313520,158084,3905727,0
2471,r016,United States<sup>f</sup> -> Indiana,United States<sup>f</sup>,Indiana,2,12357151,167703,12189448,11272729,916719,0,0
2471,r017,United States<sup>f</sup> -> Iowa,United States<sup>f</sup>,Iowa,2,9386675,3279267,6107408,5781844,308139,17425,0
2471,r018,United States<sup>f</sup> -> Kansas,United States<sup>f</sup>,Kansas,2,12355458,998463,11356995,9556647,42064,1758284,0
2471,r019,United States<sup>f</sup> -> Kentucky,United States<sup>f</sup>,Kentucky,2,26668173,2038186,24629987,20152692,4477295,0,0
2471,r020,United States<sup>f</sup> -> Louisiana,United States<sup>f</sup>,Louisiana,2,35142225,10974134,24168091,21247322,2705708,215061,0
2471,r021,United States<sup>f</sup> -> Maine,United States<sup>f</sup>,Maine,2,32592625,3051263,29541362,3208546,23392740,2940076,0
2471,r022,United States<sup>f</sup> -> Maryland,United States<sup>f</sup>,Maryland,2,29107768,989368,28118400,25174517,1702691,1241192,49891
2471,r023,United States<sup>f</sup> -> Massachusetts,United States<sup>f</sup>,Massachusetts,2,28425439,8798238,19627201,8959924,9122538,1544739,0
2471,r024,United States<sup>f</sup> -> Michigan,United States<sup>f</sup>,Michigan,2,8023318,336227,7687091,4128401,732368,2826322,0
2471,r025,United States<sup>f</sup> -> Minnesota,United States<sup>f</sup>,Minnesota,2,20150907,2027757,18123150,11789528,3284164,3049458,0
2471,r026,United States<sup>f</sup> -> Mississippi,United States<sup>f</sup>,Mississippi,2,12170278,1755759,10414519,5478277,2776582,2159660,0
2471,r027,United States<sup>f</sup> -> Missouri,United States<sup>f</sup>,Missouri,2,15055845,8242424,6813421,5232623,1430015,150783,0
2471,r028,United States<sup>f</sup> -> Montana,United States<sup>f</sup>,Montana,2,8794140,2993604,5800536,4974426,660846,165264,5794
2471,r029,United States<sup>f</sup> -> Nebraska,United States<sup>f</sup>,Nebraska,2,28167688,770104,27397584,25378861,579453,1439270,0
2471,r030,United States<sup>f</sup> -> Nevada,United States<sup>f</sup>,Nevada,2,7871899,184774,7687125,5576601,200360,1910164,0
2471,r031,United States<sup>f</sup> -> New Hampshire,United States<sup>f</sup>,New Hampshire,2,8432696,131672,8301024,759619,7060142,481263,0
2471,r032,United States<sup>f</sup> -> New Jersey,United States<sup>f</sup>,New Jersey,2,23886758,2796233,21090525,15454335,818969,4817221,0
2471,r033,United States<sup>f</sup> -> New Mexico,United States<sup>f</sup>,New Mexico,2,3585944,900212,2685732,1402821,1033472,249439,0
2471,r034,United States<sup>f</sup> -> New York,United States<sup>f</sup>,New York,2,448501735,276773893,171727842,109787947,28123417,33816478,250000
2471,r035,United States<sup>f</sup> -> North Carolina,United States<sup>f</sup>,North Carolina,2,32754090,18400435,14353655,11216518,1446990,1690147,1000000
2471,r036,United States<sup>f</sup> -> North Dakota,United States<sup>f</sup>,North Dakota,2,12140358,421989,11718369,9153941,1328298,1236130,0
2471,r037,United States<sup>f</sup> -> Ohio,United States<sup>f</sup>,Ohio,2,97758379,18343328,79415051,30769933,47834732,810386,0
2471,r038,United States<sup>f</sup> -> Oklahoma,United States<sup>f</sup>,Oklahoma,2,29607888,1685458,27922430,20226951,1260669,6434810,109876
2471,r039,United States<sup>f</sup> -> Oregon,United States<sup>f</sup>,Oregon,2,44222659,24761784,19460875,13099132,5359291,1002452,2000000
2471,r040,United States<sup>f</sup> -> Pennsylvania,United States<sup>f</sup>,Pennsylvania,2,85050999,8579205,76471794,56916243,2330059,17225492,10000
2471,r041,United States<sup>f</sup> -> Rhode Island,United States<sup>f</sup>,Rhode Island,2,5512380,2767111,2745269,555519,1622583,567167,0
2471,r042,United States<sup>f</sup> -> South Carolina,United States<sup>f</sup>,South Carolina,2,46983243,28876294,18106949,4550112,770248,12786589,430650
2471,r043,United States<sup>f</sup> -> South Dakota,United States<sup>f</sup>,South Dakota,2,2953214,361072,2592142,1635276,600435,356431,115000
2471,r044,United States<sup>f</sup> -> Tennessee,United States<sup>f</sup>,Tennessee,2,7439395,1710689,5728706,5362863,203125,162718,0
2471,r045,United States<sup>f</sup> -> Texas,United States<sup>f</sup>,Texas,2,233030466,3855855,229174611,197242687,30913924,1018000,25
2471,r046,United States<sup>f</sup> -> Utah,United States<sup>f</sup>,Utah,2,7985508,5046202,2939306,1537784,1401522,0,1000
2471,r047,United States<sup>f</sup> -> Vermont,United States<sup>f</sup>,Vermont,2,2730591,681380,2049211,1723305,322546,3360,47661
2471,r048,United States<sup>f</sup> -> Virginia,United States<sup>f</sup>,Virginia,2,29951353,10733680,19217673,15784840,2539994,892839,301107
2471,r049,United States<sup>f</sup> -> Washington,United States<sup>f</sup>,Washington,2,51963060,19986935,31976125,18755971,5056820,8163334,1400174
2471,r050,United States<sup>f</sup> -> West Virginia,United States<sup>f</sup>,West Virginia,2,11068061,2867846,8200215,8047584,0,152631,0
2471,r051,United States<sup>f</sup> -> Wisconsin,United States<sup>f</sup>,Wisconsin,2,17473890,5043609,12430281,3653031,5317013,3460237,0
2471,r052,United States<sup>f</sup> -> Wyoming,United States<sup>f</sup>,Wyoming,2,6002910,1286491,4716419,895831,3665731,154857,0
