table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposed,field_2018_19_change_,field_2019_20_change_
1709,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,2346,2397,2235,2.2,-6.8
1709,r002,R&D and R&D plant -> Agricultural research and services (352),R&D and R&D plant,Agricultural research and services (352),,,,2,,,,,
1709,r003,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,,,3,2346,2397,2235,2.2,-6.8
1709,r004,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service<sup>b</sup>,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service<sup>b</sup>,,4,1387,1421,1275,2.5,-10.3
1709,r005,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,,4,39,34,34,-12.8,0.0
1709,r006,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,Economic Research Service,,4,87,87,61,0.0,-30.3
1709,r007,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,,4,9,9,9,0.0,0.0
1709,r008,R&D and R&D plant -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture<sup>c</sup>,R&D and R&D plant,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture<sup>c</sup>,,4,824,846,856,2.7,1.2
1709,r009,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,2074,2135,2064,2.9,-3.3
1709,r010,R&D and R&D plant -> R&D -> Agricultural research and services (352),R&D and R&D plant,R&D,Agricultural research and services (352),,,3,,,,,
1709,r011,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,,4,2074,2135,2064,2.9,-3.3
1709,r012,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Agricultural Research Service<sup>b</sup>,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Agricultural Research Service<sup>b</sup>,5,1115,1159,1104,3.9,-4.7
1709,r013,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Animal and Plant Health Inspection Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Animal and Plant Health Inspection Service,5,39,34,34,-12.8,0.0
1709,r014,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> Economic Research Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,Economic Research Service,5,87,87,61,0.0,-30.3
1709,r015,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Agricultural Statistics Service,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Agricultural Statistics Service,5,9,9,9,0.0,0.0
1709,r016,R&D and R&D plant -> R&D -> Agricultural research and services (352) -> Department of Agriculture -> National Institute of Food and Agriculture<sup>c</sup>,R&D and R&D plant,R&D,Agricultural research and services (352),Department of Agriculture,National Institute of Food and Agriculture<sup>c</sup>,5,824,846,856,2.7,1.2
