table_id,row_id,time_period,broad_occupation_category_n2ocprbg_n2ocblst_level_1,broad_occupation_category_n2ocprbg_n2ocblst_level_2,broad_occupation_category_n2ocprbg_n2ocblst_hierarchy_depth,value
5311,r001_1,1,"Broad occupation category (N2OCPRBG, N2OCBLST)",Label,2,S&E occupations
5311,r001_2,1,"Major occupational code and label (N2OCPRMG, N2OCMLST)",Code,2,1
5311,r001_3,1,"Major occupational code and label (N2OCPRMG, N2OCMLST)",Label,2,Computer and mathematical scientists
5311,r001_4,1,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Code,2,11
5311,r001_5,1,"Minor occupational code and label (N3OCPRNG, N3OCNLST)",Label,2,Computer and information scientists
5311,r001_6,1,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110510
5311,r001_7,1,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,"Computer and information scientists, research"
5311,r002_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110520
5311,r002_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Computer network architect
5311,r003_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110540
5311,r003_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Computer support specialists
5311,r004_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110550
5311,r004_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Computer system analysts
5311,r005_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110560
5311,r005_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Database administrators
5311,r006_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110570
5311,r006_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Information security analysts
5311,r007_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110580
5311,r007_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Network and computer systems administrators
5311,r008_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110590
5311,r008_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Software developers – applications and systems software
5311,r009_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110600
5311,r009_7,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Label,2,Web developers
5311,r010_6,,"Detailed occupational code and label (N3OCPR, N3OCLST)",Code,2,110610
